hgnc_symbol,ensembl_gene_id
ARID5B,ENSG00000150347
ARIH2,ENSG00000177479
ARL15,ENSG00000185305
ARL16,ENSG00000214087
ARL17A,ENSG00000185829
ARL6IP4,ENSG00000182196
ARL6IP5,ENSG00000144746
ARL6IP6,ENSG00000177917
ARMC10,ENSG00000170632
ARMC12,ENSG00000157343
ARMC5,ENSG00000140691
ARMC8,ENSG00000114098
ARMCX4,ENSG00000196440
ARNT,ENSG00000143437
ARPC5L,ENSG00000136950
ARPIN,ENSG00000242498
ARPP21,ENSG00000172995
ARRDC3-AS1,ENSG00000281357
ARRDC4,ENSG00000140450
ARSD,ENSG00000006756
ASAH1,ENSG00000104763
ASAP1-IT2,ENSG00000280543
ASCC2,ENSG00000100325
ASCC3,ENSG00000112249
ASCL2,ENSG00000183734
ASH2L,ENSG00000129691
ASIC4,ENSG00000072182
ASNSD1,ENSG00000138381
ASTN2,ENSG00000148219
ATAD2B,ENSG00000119778
ATAD3C,ENSG00000215915
ATF6B,ENSG00000213676
ATG3,ENSG00000144848
ATN1,ENSG00000111676
ATP11A-AS1,ENSG00000232684
ATP11C,ENSG00000101974
ATP12A,ENSG00000075673
ATP13A4,ENSG00000127249
ATP1A1,ENSG00000163399
ATP1B1,ENSG00000143153
ATP1B2,ENSG00000129244
ATP5F1E,ENSG00000124172
ATP5F1EP2,ENSG00000180389
ATP5IF1,ENSG00000285390
ATP5MC1,ENSG00000159199
ATP5MC2,ENSG00000135390
ATP5PD,ENSG00000167863
ATP5PO,ENSG00000241837
ATP6AP1L,ENSG00000205464
ATP6V0D2,ENSG00000147614
ATP6V0E2-AS1,ENSG00000204934
ATP6V1B1,ENSG00000116039
ATP6V1F,ENSG00000128524
ATP6V1G3,ENSG00000263014
ATP8A1,ENSG00000124406
ATP8B2,ENSG00000143515
ATP8B3,ENSG00000130270
ATR,ENSG00000175054
ATRAID,ENSG00000138085
ATRIP,ENSG00000164053
ATXN7L3,ENSG00000087152
ATXN7L3B,ENSG00000253719
AUP1,ENSG00000115307
AURKB,ENSG00000178999
AURKC,ENSG00000105146
AVPR1A,ENSG00000166148
AXDND1,ENSG00000162779
AXIN2,ENSG00000168646
AZIN2,ENSG00000142920
B3GNT3,ENSG00000179913
B3GNT6,ENSG00000198488
B3GNTL1,ENSG00000277033
B4GALNT4,ENSG00000182272
B4GALT3,ENSG00000158850
B4GALT6,ENSG00000118276
B4GAT1,ENSG00000174684
B9D2,ENSG00000123810
BAAT,ENSG00000136881
BABAM1,ENSG00000105393
BACH1,ENSG00000156273
BAD,ENSG00000002330
BAIAP3,ENSG00000007516
BANF2,ENSG00000125888
BARD1,ENSG00000138376
BARX1,ENSG00000131668
BATF3,ENSG00000123685
BAZ2B,ENSG00000123636
BBIP1,ENSG00000214413
BBOX1,ENSG00000129151
BBS2,ENSG00000125124
BBS7,ENSG00000138686
BCAR3,ENSG00000137936
BCAT2,ENSG00000105552
BCKDK,ENSG00000103507
BCL2,ENSG00000171791
BCL2L10,ENSG00000137875
BCL7A,ENSG00000110987
BCL9,ENSG00000116128
BCS1L,ENSG00000074582
BDH1,ENSG00000161267
BDKRB1,ENSG00000100739
BDNF,ENSG00000176697
BDNF-AS,ENSG00000245573
BEND4,ENSG00000188848
BEST1,ENSG00000167995
BGLAP,ENSG00000242252
BGN,ENSG00000182492
BHLHA9,ENSG00000205899
BHLHE40,ENSG00000134107
BICRAL,ENSG00000112624
BIRC3,ENSG00000023445
BLACAT1,ENSG00000281406
BLK,ENSG00000285369
BLOC1S3,ENSG00000189114
BLOC1S6,ENSG00000104164
BLTP1,ENSG00000138688
BLTP3A,ENSG00000065060
BLVRA,ENSG00000106605
BLZF1,ENSG00000117475
BMP3,ENSG00000152785
BMP4,ENSG00000125378
BMP5,ENSG00000112175
BMP7,ENSG00000101144
BMP8A,ENSG00000183682
BMP8B,ENSG00000116985
BMS1P22,ENSG00000232775
BNC1,ENSG00000169594
BNIP2,ENSG00000140299
BNIPL,ENSG00000163141
BOD1,ENSG00000145919
BOD1L1,ENSG00000038219
BORCS7,ENSG00000166275
BPHL,ENSG00000137274
BPIFA1,ENSG00000198183
BPIFA2,ENSG00000131050
BPIFB3,ENSG00000186190
BPIFB4,ENSG00000186191
BPIFC,ENSG00000184459
BPNT2,ENSG00000104331
BRAP,ENSG00000089234
BRAT1,ENSG00000106009
BRI3P1,ENSG00000225169
BRICD5,ENSG00000182685
BRINP1,ENSG00000078725
BRINP3,ENSG00000162670
BRINP3-DT,ENSG00000237457
BRIX1,ENSG00000113460
BRPF1,ENSG00000156983
BTBD10,ENSG00000148925
BTBD17,ENSG00000204347
BTBD2,ENSG00000133243
BTBD3,ENSG00000132640
BTBD8,ENSG00000189195
BYSL,ENSG00000112578
BZW1,ENSG00000082153
C10orf105,ENSG00000214688
C10orf143,ENSG00000237489
C10orf67,ENSG00000179133
C11orf58,ENSG00000110696
C11orf68,ENSG00000175573
C11orf86,ENSG00000173237
C11orf87,ENSG00000185742
C11orf96,ENSG00000187479
C12orf75,ENSG00000235162
C12orf76,ENSG00000174456
C14orf132,ENSG00000227051
C14orf178,ENSG00000197734
C15orf62,ENSG00000188277
C16orf74,ENSG00000154102
C16orf90,ENSG00000215131
C17orf100,ENSG00000256806
C17orf49,ENSG00000258315
C17orf58,ENSG00000186665
C17orf75,ENSG00000108666
C18orf32,ENSG00000177576
C19orf12,ENSG00000131943
C19orf18,ENSG00000177025
C1orf105,ENSG00000180999
C1orf216,ENSG00000142686
C1orf94,ENSG00000142698
C1QA,ENSG00000173372
C1QTNF4,ENSG00000284838
C1QTNF8,ENSG00000184471
C20orf141,ENSG00000258713
C21orf91-OT1,ENSG00000240770
C22orf15,ENSG00000169314
C22orf23,ENSG00000128346
C2CD3,ENSG00000168014
C2CD4A,ENSG00000198535
C2orf49,ENSG00000135974
C2orf74,ENSG00000237651
C2orf80,ENSG00000188674
C3orf33,ENSG00000174928
C3orf70,ENSG00000187068
C3P1,ENSG00000167798
C4A,ENSG00000244207
C4B,ENSG00000224389
C4B_2,ENSG00000233312
C5,ENSG00000106804
C5AR1,ENSG00000197405
C6,ENSG00000039537
C6orf118,ENSG00000112539
C6orf15,ENSG00000204542
C6orf89,ENSG00000198663
C7orf33,ENSG00000170279
C8orf34,ENSG00000165084
C8orf89,ENSG00000274443
C9,ENSG00000113600
C9orf153,ENSG00000187753
C9orf163,ENSG00000196366
C9orf50,ENSG00000179058
C9orf78,ENSG00000136819
CA12,ENSG00000074410
CA5A,ENSG00000174990
CA5B,ENSG00000169239
CABLES2,ENSG00000149679
CABP5,ENSG00000105507
CABS1,ENSG00000145309
CACFD1,ENSG00000280479
CACNA1F,ENSG00000102001
CACNA1S,ENSG00000081248
CACNB3,ENSG00000167535
CACNB4,ENSG00000182389
CACNG2,ENSG00000166862
CACNG8,ENSG00000142408
CACTIN,ENSG00000105298
CACUL1,ENSG00000151893
CADPS,ENSG00000163618
CALML4,ENSG00000129007
CALU,ENSG00000128595
CAMK2N1,ENSG00000162545
CAMSAP2,ENSG00000118200
CAMSAP3,ENSG00000076826
CANT1,ENSG00000171302
CANX,ENSG00000283777
CAP1P1,ENSG00000240809
CAPN10,ENSG00000142330
CAPN11,ENSG00000137225
CAPN5,ENSG00000149260
CAPN9,ENSG00000135773
CAPNS1,ENSG00000126247
CAPRIN1,ENSG00000135387
CARD11,ENSG00000198286
CARD6,ENSG00000132357
CARF,ENSG00000138380
CASC16,ENSG00000249231
CASC3,ENSG00000108349
CASQ1,ENSG00000143318
CASR,ENSG00000036828
CASTOR1,ENSG00000239282
CAT,ENSG00000121691
CATSPER3,ENSG00000152705
CATSPERZ,ENSG00000219435
CAVIN4,ENSG00000170681
CBARP,ENSG00000099625
CBFB,ENSG00000067955
CBLB,ENSG00000114423
CBLL2,ENSG00000175809
CBX1,ENSG00000108468
CBX2,ENSG00000173894
CBY1,ENSG00000100211
CBY3,ENSG00000283718
CCAR1,ENSG00000060339
CCDC112,ENSG00000164221
CCDC126,ENSG00000169193
CCDC136,ENSG00000128596
CCDC137,ENSG00000185298
CCDC138,ENSG00000163006
CCDC144NL-AS1,ENSG00000233098
CCDC149,ENSG00000181982
CCDC150,ENSG00000144395
CCDC152,ENSG00000198865
CCDC158,ENSG00000163749
CCDC166,ENSG00000255181
CCDC172,ENSG00000182645
CCDC174,ENSG00000154781
CCDC178,ENSG00000166960
CCDC18,ENSG00000122483
CCDC183-AS1,ENSG00000228544
CCDC47,ENSG00000108588
CCDC59,ENSG00000133773
CCDC70,ENSG00000123171
CCDC71L,ENSG00000253276
CCDC74A,ENSG00000163040
CCDC81,ENSG00000149201
CCDC86,ENSG00000110104
CCDC87,ENSG00000182791
CCDC90B,ENSG00000137500
CCDC91,ENSG00000123106
CCDC92,ENSG00000275035
CCL15-CCL14,ENSG00000282521
CCL20,ENSG00000115009
CCL7,ENSG00000108688
CCM2L,ENSG00000101331
CCNA1,ENSG00000133101
CCND3,ENSG00000112576
CCNE1,ENSG00000105173
CCNI2,ENSG00000205089
CCNJL,ENSG00000135083
CCNL1,ENSG00000163660
CCNT1,ENSG00000129315
CCR2,ENSG00000121807
CCR3,ENSG00000183625
CCRL2,ENSG00000121797
CCSAP,ENSG00000154429
CCT3,ENSG00000163468
CCT5,ENSG00000150753
CCT6P1,ENSG00000228409
CCZ1,ENSG00000122674
CCZ1B,ENSG00000146574
CD177,ENSG00000204936
CD300H,ENSG00000291925
CD33,ENSG00000105383
CD37,ENSG00000104894
CD3D,ENSG00000167286
CD40,ENSG00000101017
CD55,ENSG00000196352
CD63-AS1,ENSG00000258056
CD74,ENSG00000019582
CD82,ENSG00000085117
CD9,ENSG00000010278
CDA,ENSG00000158825
CDC14B,ENSG00000081377
CDC23,ENSG00000094880
CDC37L1,ENSG00000106993
CDC42,ENSG00000070831
CDC42-IT1,ENSG00000230068
CDC42BPB,ENSG00000198752
CDC45,ENSG00000093009
CDC7,ENSG00000097046
CDCA4,ENSG00000170779
CDCA7,ENSG00000144354
CDCP1,ENSG00000163814
CDH13,ENSG00000140945
CDH3,ENSG00000062038
CDH5,ENSG00000179776
CDHR3,ENSG00000128536
CDIPT,ENSG00000103502
CDK1,ENSG00000170312
CDK12,ENSG00000167258
CDK14,ENSG00000058091
CDK2,ENSG00000123374
CDK2AP2,ENSG00000167797
CDK5RAP1,ENSG00000101391
CDK8,ENSG00000132964
CDKL4,ENSG00000205111
CDKN1C,ENSG00000273707
CDKN2A-AS1,ENSG00000224854
CDKN2B-AS1,ENSG00000240498
CDKN2C,ENSG00000123080
CDKN2D,ENSG00000129355
CDKN3,ENSG00000100526
CDNF,ENSG00000185267
CDR2,ENSG00000140743
CDX2,ENSG00000165556
CEACAM1,ENSG00000079385
CEACAM16,ENSG00000213892
CEACAM18,ENSG00000213822
CEACAM20,ENSG00000273777
CEACAM6,ENSG00000086548
CEBPG,ENSG00000153879
CELA3A,ENSG00000142789
CELF1,ENSG00000149187
CELF2,ENSG00000048740
CELF2-AS1,ENSG00000181800
CELSR3,ENSG00000008300
CENPB,ENSG00000125817
CENPK,ENSG00000123219
CENPN,ENSG00000291964
CENPQ,ENSG00000031691
CENPVL1,ENSG00000223591
CENPVL2,ENSG00000283093
CEP112,ENSG00000154240
CEP120,ENSG00000168944
CEP126,ENSG00000110318
CEP152,ENSG00000103995
CEP162,ENSG00000135315
CEP19,ENSG00000174007
CEP20,ENSG00000276914
CEP55,ENSG00000138180
CEP63,ENSG00000182923
CEP76,ENSG00000101624
CEP78,ENSG00000148019
CEP89,ENSG00000121289
CERS1,ENSG00000223802
CERT1,ENSG00000113163
CETN4P,ENSG00000224786
CFAP141,ENSG00000163263
CFAP161,ENSG00000156206
CFAP20,ENSG00000070761
CFAP43,ENSG00000197748
CFAP52,ENSG00000166596
CFAP57,ENSG00000243710
CFAP58-DT,ENSG00000231233
CFAP68,ENSG00000137720
CFAP92,ENSG00000114656
CFLAR,ENSG00000003402
CGAS,ENSG00000164430
CGB1,ENSG00000267631
CGNL1,ENSG00000128849
CGREF1,ENSG00000138028
CHAF1A,ENSG00000167670
CHAMP1,ENSG00000198824
CHAT,ENSG00000070748
CHCHD4,ENSG00000163528
CHCT1,ENSG00000141371
CHD1L,ENSG00000131778
CHD9,ENSG00000177200
CHI3L1,ENSG00000133048
CHIAP2,ENSG00000203878
CHIC2,ENSG00000109220
CHID1,ENSG00000177830
CHKB-CPT1B,ENSG00000254413
CHKB-DT,ENSG00000205559
CHL1-AS2,ENSG00000224318
CHM,ENSG00000188419
CHML,ENSG00000203668
CHMP3,ENSG00000115561
CHRM3,ENSG00000133019
CHRNA1,ENSG00000138435
CHRNA3,ENSG00000080644
CHRNA7,ENSG00000274542
CHRND,ENSG00000135902
CHST11,ENSG00000171310
CHST12,ENSG00000136213
CHST5,ENSG00000135702
CHTF8,ENSG00000168802
CHUK,ENSG00000213341
CIAO2B,ENSG00000166595
CIBAR1P2,ENSG00000230219
CILK1,ENSG00000112144
CILP2,ENSG00000160161
CIMAP1B,ENSG00000177989
CIMAP1D,ENSG00000181781
CIMAP2,ENSG00000162398
CIMIP2B,ENSG00000215187
CINP,ENSG00000100865
CIRBP,ENSG00000099622
CISH,ENSG00000114737
CIZ1,ENSG00000148337
CKB,ENSG00000166165
CLASRP,ENSG00000104859
CLBA1,ENSG00000140104
CLC,ENSG00000105205
CLCA1,ENSG00000016490
CLCN3,ENSG00000109572
CLDN24,ENSG00000185758
CLDN3,ENSG00000165215
CLDND2,ENSG00000160318
CLEC11A,ENSG00000105472
CLEC16A,ENSG00000038532
CLEC18B,ENSG00000140839
CLEC3A,ENSG00000166509
CLEC4C,ENSG00000198178
CLEC4E,ENSG00000166523
CLEC7A,ENSG00000172243
CLEC9A,ENSG00000197992
CLECL1P,ENSG00000184293
CLIC1,ENSG00000226651
CLIC3,ENSG00000169583
CLIC5,ENSG00000112782
CLIP1-AS1,ENSG00000257097
CLIP3,ENSG00000105270
CLIP4,ENSG00000115295
CLN3,ENSG00000188603
CLNK,ENSG00000109684
CLRN3,ENSG00000180745
CLSPN,ENSG00000092853
CLTA,ENSG00000122705
CLVS1,ENSG00000177182
CMC4,ENSG00000182712
CMTM6,ENSG00000091317
CMTM7,ENSG00000153551
CNBD1,ENSG00000176571
CNGA4,ENSG00000132259
CNIH4,ENSG00000143771
CNKSR1,ENSG00000142675
CNKSR3,ENSG00000153721
CNOT10,ENSG00000291502
CNOT9,ENSG00000144580
CNR1,ENSG00000118432
CNST,ENSG00000162852
CNTN4,ENSG00000144619
CNTNAP1,ENSG00000108797
COASY,ENSG00000068120
COG2,ENSG00000135775
COG3,ENSG00000136152
COG5,ENSG00000284369
COL10A1,ENSG00000123500
COL1A1,ENSG00000108821
COL25A1,ENSG00000188517
COL28A1,ENSG00000215018
COL4A3,ENSG00000169031
COL6A1,ENSG00000142156
COL6A2,ENSG00000142173
COL6A6,ENSG00000206384
COL8A2,ENSG00000171812
COLEC10,ENSG00000184374
COLGALT2,ENSG00000198756
COLQ,ENSG00000206561
COMMD3,ENSG00000148444
COMMD5,ENSG00000170619
COMP,ENSG00000105664
COMT,ENSG00000093010
COPS4,ENSG00000138663
COPS8,ENSG00000198612
COQ5,ENSG00000110871
COQ8A,ENSG00000163050
CORO1C,ENSG00000110880
CORO6,ENSG00000167549
CORO7,ENSG00000282725
COTL1,ENSG00000103187
COX10-DT,ENSG00000236088
COX14,ENSG00000178449
COX5A,ENSG00000178741
COX6A1,ENSG00000111775
CPA1,ENSG00000091704
CPD,ENSG00000108582
CPEB2,ENSG00000137449
CPNE3,ENSG00000085719
CPNE4,ENSG00000196353
CPNE6,ENSG00000285221
CPOX,ENSG00000080819
CPSF3,ENSG00000119203
CPT1A,ENSG00000110090
CPT1C,ENSG00000169169
CPVL,ENSG00000106066
CRAT,ENSG00000095321
CRB3,ENSG00000130545
CREB5,ENSG00000146592
CRELD1,ENSG00000163703
CRHBP,ENSG00000145708
CRIM1,ENSG00000150938
CRIP1,ENSG00000213145
CRIP2,ENSG00000182809
CRISP3,ENSG00000096006
CRNN,ENSG00000143536
CROCC,ENSG00000058453
CROCCP2,ENSG00000215908
CRP,ENSG00000132693
CRTC3,ENSG00000140577
CRTC3-AS1,ENSG00000259736
CRYBA1,ENSG00000108255
CRYBB3,ENSG00000100053
CRYBG1,ENSG00000112297
CRYBG2,ENSG00000176092
CRYGEP,ENSG00000285058
CRYM,ENSG00000103316
CS,ENSG00000062485
CSAG2,ENSG00000268902
CSAG4,ENSG00000292197
CSE1L,ENSG00000124207
CSF2RA,ENSG00000292357
CSNK1A1P1,ENSG00000223518
CSNK1E,ENSG00000213923
CSNK1G1,ENSG00000169118
CSNK1G2,ENSG00000133275
CSNK2B,ENSG00000204435
CSPG4,ENSG00000173546
CST1,ENSG00000170373
CST11,ENSG00000125831
CST2,ENSG00000170369
CST8,ENSG00000125815
CSTF1,ENSG00000101138
CSTL1,ENSG00000125823
CSTPP1,ENSG00000149179
CT45A1,ENSG00000268940
CT45A10,ENSG00000269586
CT45A2,ENSG00000271449
CT45A5,ENSG00000228836
CTAGE1,ENSG00000212710
CTBP1-AS,ENSG00000280927
CTBP2,ENSG00000175029
CTDSPL,ENSG00000144677
CTIF,ENSG00000134030
CTNNA1,ENSG00000044115
CTNND1,ENSG00000198561
CTRL,ENSG00000141086
CTSF,ENSG00000174080
CTSG,ENSG00000100448
CTSK,ENSG00000143387
CTSO,ENSG00000263238
CTSV,ENSG00000136943
CTSW,ENSG00000172543
CTXN1,ENSG00000178531
CUBN,ENSG00000107611
CUL2,ENSG00000108094
CUTALP,ENSG00000226752
CUTC,ENSG00000119929
CUX2,ENSG00000111249
CWC27,ENSG00000153015
CXCL10,ENSG00000169245
CXCL14,ENSG00000145824
CXCR1,ENSG00000163464
CXCR4,ENSG00000121966
CYB561,ENSG00000008283
CYB5D1,ENSG00000182224
CYB5R2,ENSG00000166394
CYGB,ENSG00000161544
CYLC1,ENSG00000183035
CYP17A1,ENSG00000148795
CYP1B1-AS1,ENSG00000232973
CYP21A2,ENSG00000231852
CYP27B1,ENSG00000111012
CYP27C1,ENSG00000186684
CYP2B6,ENSG00000197408
CYP2D7,ENSG00000263181
CYP3A7-CYP3A51P,ENSG00000282301
CYP4F30P,ENSG00000214081
CYP51A1,ENSG00000001630
CYP7A1,ENSG00000167910
CYSLTR2,ENSG00000152207
CYTH1,ENSG00000108669
DAGLA,ENSG00000134780
DANCR,ENSG00000226950
DAO,ENSG00000110887
DAOA-AS1,ENSG00000232307
DAP,ENSG00000112977
DAP3,ENSG00000132676
DAZ4,ENSG00000205916
DBH,ENSG00000123454
DBH-AS1,ENSG00000225756
DBN1,ENSG00000113758
DCAF15,ENSG00000288453
DCAF8,ENSG00000132716
DCK,ENSG00000156136
DCLRE1A,ENSG00000198924
DCSTAMP,ENSG00000164935
DCTN5,ENSG00000166847
DCTN6-DT,ENSG00000271869
DCUN1D3,ENSG00000188215
DCUN1D5,ENSG00000137692
DCX,ENSG00000077279
DDC,ENSG00000132437
DDHD1,ENSG00000100523
DDIT3,ENSG00000175197
DDR2,ENSG00000162733
DDRGK1,ENSG00000198171
DDX10,ENSG00000178105
DDX11L2,ENSG00000236397
DDX19B,ENSG00000157349
DDX23,ENSG00000174243
DDX25,ENSG00000109832
DDX42,ENSG00000198231
DDX43,ENSG00000080007
DDX47,ENSG00000213782
DDX59,ENSG00000118197
DDX60,ENSG00000137628
DECR2,ENSG00000274296
DEFB103B,ENSG00000285376
DEFB119,ENSG00000180483
DEFB129,ENSG00000125903
DEGS1,ENSG00000143753
DEK,ENSG00000124795
DENND10P1,ENSG00000221930
DENND4C,ENSG00000137145
DEPDC1-AS1,ENSG00000234264
DERA,ENSG00000023697
DERL3,ENSG00000099958
DGCR8,ENSG00000128191
DGKE,ENSG00000153933
DGKI,ENSG00000157680
DHCR24,ENSG00000116133
DHDH,ENSG00000104808
DHH,ENSG00000139549
DHODH,ENSG00000102967
DHRS1,ENSG00000284868
DHRS2,ENSG00000100867
DICER1-AS1,ENSG00000235706
DIMT1,ENSG00000086189
DIO1,ENSG00000211452
DIP2A,ENSG00000160305
DIRC3,ENSG00000231672
DIS3,ENSG00000083520
DIS3L,ENSG00000166938
DISC1,ENSG00000162946
DISP3,ENSG00000204624
DLD,ENSG00000091140
DLEU1,ENSG00000176124
DLGAP1,ENSG00000170579
DLGAP1-AS3,ENSG00000263724
DLGAP1-AS4,ENSG00000263878
DLX3,ENSG00000064195
DMAC2L,ENSG00000125375
DMBX1,ENSG00000197587
DMD,ENSG00000198947
DMRTC2,ENSG00000142025
DMTN,ENSG00000158856
DMWD,ENSG00000185800
DNAAF2,ENSG00000165506
DNAAF5,ENSG00000164818
DNAH11,ENSG00000105877
DNAH12,ENSG00000174844
DNAH2,ENSG00000183914
DNAH8,ENSG00000124721
DNAI2,ENSG00000171595
DNAJA2,ENSG00000069345
DNAJA3,ENSG00000276726
DNAJB12,ENSG00000148719
DNAJC27-AS1,ENSG00000224165
DNAJC3,ENSG00000102580
DNM1,ENSG00000106976
DNMBP,ENSG00000107554
DNMT1,ENSG00000130816
DNMT3L,ENSG00000142182
