target_set,overlap_size,target_set_size,hit_list_size,universe_size,p_value,overlap_hits,fdr
LY96,4,138,138,13176,0.05703106491069555,"Cyclosporin A_3.34_P19_plate_41002701,Atazanavir_3.82_B10_plate_41002896,Bortezomib_0.95_N08_plate_41002875,Bortezomib_1.43_O21_plate_41002945",1.0
MT-ND1,1,46,138,13176,0.38440080632106327,Metformin_3.34_J22_plate_41002701,1.0
CSAD,1,32,138,13176,0.28632057245144965,"2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
SYNE4,0,30,138,13176,1.0,"",1.0
LRIG1,0,120,138,13176,1.0,"",1.0
XAF1,1,46,138,13176,0.38440080632106327,5-Azacytidine_2.86_I02_plate_41002951,1.0
NGLY1,2,91,138,13176,0.24682316617292527,"Glycerol_3.34_P22_plate_41002889,2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
OLIG3,0,59,138,13176,1.0,"",1.0
SNRPG,0,32,138,13176,1.0,"",1.0
SMG6,1,32,138,13176,0.28632057245144965,Glycerol_3.34_P22_plate_41002889,1.0
PAPOLG,1,48,138,13176,0.39727353315756336,Glycerol_3.34_P22_plate_41002889,1.0
POGLUT1,0,31,138,13176,1.0,"",1.0
HBG2,0,29,138,13176,1.0,"",1.0
FRMPD4,0,32,138,13176,1.0,"",1.0
L3MBTL4,0,16,138,13176,1.0,"",1.0
AGO2,1,90,138,13176,0.6135782934422834,Glycerol_3.34_P22_plate_41002889,1.0
KCNA1,0,94,138,13176,1.0,"",1.0
HTATSF1,0,32,138,13176,1.0,"",1.0
STX1A,0,15,138,13176,1.0,"",1.0
VCAM1,1,331,138,13176,0.970685262211396,Sulfasalazine_3.34_O23_plate_41002701,1.0
ADAM10,0,15,138,13176,1.0,"",1.0
CHRM5,8,436,138,13176,0.08756534226038967,"Fesoterodine_3.34_L07_plate_41002890,Cyproheptadine_3.82_F03_plate_41002897,Darifenacin_3.82_E17_plate_41002878,Clomipramine_3.82_F03_plate_41002878,Levomepromazine_3.82_L15_plate_41002897,Fesoterodine_3.34_E11_plate_41002893,Chlorpromazine_3.82_B03_plate_41002878,Darifenacin_3.82_G11_plate_41002692",1.0
XRCC2,1,32,138,13176,0.28632057245144965,Fludarabine_2.36_N13_plate_41002955,1.0
PITX2,0,30,138,13176,1.0,"",1.0
NPW,1,123,138,13176,0.7277706110145585,Melatonin_3.82_D16_plate_41002692,1.0
TYW1,1,46,138,13176,0.38440080632106327,"2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
DHCR7,1,105,138,13176,0.6704199100216062,Cyclosporin A_3.34_P19_plate_41002701,1.0
IGFBP3,0,227,138,13176,1.0,"",1.0
PRRX1,0,44,138,13176,1.0,"",1.0
PCGF3,0,16,138,13176,1.0,"",1.0
ACACA,0,109,138,13176,1.0,"",1.0
TBXAS1,1,77,138,13176,0.556509545887919,Sulfasalazine_3.34_O23_plate_41002701,1.0
HTR1D,0,272,138,13176,1.0,"",1.0
OVOL2,0,44,138,13176,1.0,"",1.0
CYSRT1,0,31,138,13176,1.0,"",1.0
CSF1,2,121,138,13176,0.3624754429328139,"Cyclosporin A_3.34_P19_plate_41002701,Atazanavir_3.82_B10_plate_41002896",1.0
ZHX3,1,46,138,13176,0.38440080632106327,Disulfiram_3.82_I17_plate_41002692,1.0
SERPINA10,0,32,138,13176,1.0,"",1.0
ELP6,0,32,138,13176,1.0,"",1.0
SATL1,0,48,138,13176,1.0,"",1.0
EREG,0,31,138,13176,1.0,"",1.0
PSD3,0,45,138,13176,1.0,"",1.0
CTSH,0,151,138,13176,1.0,"",1.0
GFOD2,2,63,138,13176,0.1410652892955385,"Glycerol_3.34_P22_plate_41002889,2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
ADCYAP1R1,0,59,138,13176,1.0,"",1.0
CCDC71L,0,47,138,13176,1.0,"",1.0
KLHDC8B,0,47,138,13176,1.0,"",1.0
FAM83D,0,46,138,13176,1.0,"",1.0
TNNC2,0,75,138,13176,1.0,"",1.0
BMP2K,0,121,138,13176,1.0,"",1.0
RAI14,0,77,138,13176,1.0,"",1.0
NCK2,0,47,138,13176,1.0,"",1.0
ENDOG,0,45,138,13176,1.0,"",1.0
FOXP3,0,61,138,13176,1.0,"",1.0
MKLN1,0,32,138,13176,1.0,"",1.0
H2BC17,0,47,138,13176,1.0,"",1.0
C12orf56,0,30,138,13176,1.0,"",1.0
GLIPR1,1,93,138,13176,0.6256759102500924,Glycerol_3.34_P22_plate_41002889,1.0
PAK6,1,61,138,13176,0.47467216633255205,Cyclosporin A_3.34_P19_plate_41002701,1.0
SNX29P2,0,31,138,13176,1.0,"",1.0
BEND5,1,30,138,13176,0.27109701643053735,Cyclosporin A_3.34_P19_plate_41002701,1.0
PRMT8,1,32,138,13176,0.28632057245144965,Glycerol_3.34_P22_plate_41002889,1.0
NME7,1,63,138,13176,0.4856697366819983,Glycerol_3.34_P22_plate_41002889,1.0
ACOX1,1,62,138,13176,0.48019982481872137,Glycerol_3.34_P22_plate_41002889,1.0
PPIC,1,110,138,13176,0.6874570288329402,"2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
ZCCHC14,0,59,138,13176,1.0,"",1.0
TUBG2,0,47,138,13176,1.0,"",1.0
GPER1,0,76,138,13176,1.0,"",1.0
SPDL1,0,61,138,13176,1.0,"",1.0
UBALD2,0,31,138,13176,1.0,"",1.0
MCAM,0,75,138,13176,1.0,"",1.0
PRR16,0,60,138,13176,1.0,"",1.0
PSMB7,4,64,138,13176,0.004502717166391608,"Carfilzomib_2.36_P05_plate_41002886,Bortezomib_0.95_N08_plate_41002875,Bortezomib_1.43_O21_plate_41002945,Glycerol_3.34_P22_plate_41002889",1.0
DERA,1,62,138,13176,0.48019982481872137,Glycerol_3.34_P22_plate_41002889,1.0
ARL6,0,31,138,13176,1.0,"",1.0
NDUFS5,1,46,138,13176,0.38440080632106327,Metformin_3.34_J22_plate_41002701,1.0
UAP1L1,2,62,138,13176,0.13748499867623679,"Cyclosporin A_3.34_P19_plate_41002701,Glycerol_3.34_P22_plate_41002889",1.0
DNAAF5,0,32,138,13176,1.0,"",1.0
STON2,0,31,138,13176,1.0,"",1.0
FCER1A,0,44,138,13176,1.0,"",1.0
CLCN1,0,46,138,13176,1.0,"",1.0
URB1,0,16,138,13176,1.0,"",1.0
KRT7,0,61,138,13176,1.0,"",1.0
TLR4,3,193,138,13176,0.32916174194250464,"Cyclosporin A_3.34_P19_plate_41002701,Metformin_3.34_J22_plate_41002701,Atazanavir_3.82_B10_plate_41002896",1.0
NGRN,0,32,138,13176,1.0,"",1.0
MEX3B,0,31,138,13176,1.0,"",1.0
HOXD1,1,30,138,13176,0.27109701643053735,Disulfiram_3.82_I17_plate_41002692,1.0
XRCC6,0,32,138,13176,1.0,"",1.0
FIBP,0,31,138,13176,1.0,"",1.0
RBCK1,0,32,138,13176,1.0,"",1.0
BOLA3,0,16,138,13176,1.0,"",1.0
PSMD12,0,32,138,13176,1.0,"",1.0
AEN,1,62,138,13176,0.48019982481872137,Glycerol_3.34_P22_plate_41002889,1.0
TSC22D1,0,46,138,13176,1.0,"",1.0
LBH,0,44,138,13176,1.0,"",1.0
NEK11,0,47,138,13176,1.0,"",1.0
IRF4,1,45,138,13176,0.3778624634650871,Sulfasalazine_3.34_O23_plate_41002701,1.0
HTR1E,5,628,138,13176,0.7931168433069048,"Cyproheptadine_3.82_F03_plate_41002897,Clomipramine_3.82_F03_plate_41002878,Phentolamine_3.82_N16_plate_41002897,Chlorpromazine_3.82_B03_plate_41002878,Melatonin_3.82_D16_plate_41002692",1.0
SPECC1,0,32,138,13176,1.0,"",1.0
PHOX2B,0,32,138,13176,1.0,"",1.0
GATA2,2,91,138,13176,0.24682316617292527,"Disulfiram_3.82_I17_plate_41002692,Glycerol_3.34_P22_plate_41002889",1.0
FLT4,1,167,138,13176,0.8295891952270639,Nintedanib_3.82_J18_plate_41002878,1.0
TMEM38A,0,31,138,13176,1.0,"",1.0
NPBWR2,5,506,138,13176,0.6157174464158243,"Cyproheptadine_3.82_F03_plate_41002897,Clomipramine_3.82_F03_plate_41002878,Phentolamine_3.82_N16_plate_41002897,Chlorpromazine_3.82_B03_plate_41002878,Melatonin_3.82_D16_plate_41002692",1.0
SLC1A5,0,47,138,13176,1.0,"",1.0
CCR4,5,522,138,13176,0.6432241671387597,"Cyproheptadine_3.82_F03_plate_41002897,Clomipramine_3.82_F03_plate_41002878,Phentolamine_3.82_N16_plate_41002897,Chlorpromazine_3.82_B03_plate_41002878,Melatonin_3.82_D16_plate_41002692",1.0
MRTFB,1,32,138,13176,0.28632057245144965,Glycerol_3.34_P22_plate_41002889,1.0
CCR1,5,534,138,13176,0.6630461813891605,"Cyproheptadine_3.82_F03_plate_41002897,Clomipramine_3.82_F03_plate_41002878,Phentolamine_3.82_N16_plate_41002897,Chlorpromazine_3.82_B03_plate_41002878,Melatonin_3.82_D16_plate_41002692",1.0
FUT3,0,63,138,13176,1.0,"",1.0
P4HTM,1,79,138,13176,0.5658051577263058,Glycerol_3.34_P22_plate_41002889,1.0
ATP6V0A4,0,30,138,13176,1.0,"",1.0
RNF26,0,30,138,13176,1.0,"",1.0
LTB4R,1,44,138,13176,0.3712551847178332,Disulfiram_3.82_I17_plate_41002692,1.0
CNOT8,0,32,138,13176,1.0,"",1.0
GRIK1,2,63,138,13176,0.1410652892955385,"Glycerol_3.34_P22_plate_41002889,2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
METAP2,1,15,138,13176,0.14616451619727241,8-Hydroxyquinoline_3.82_B22_plate_41002896,1.0
CNIH3,0,45,138,13176,1.0,"",1.0
SELENBP1,0,61,138,13176,1.0,"",1.0
ELN,0,30,138,13176,1.0,"",1.0
MPHOSPH8,0,61,138,13176,1.0,"",1.0
SLC22A2,4,623,138,13176,0.8968028088674167,"Linagliptin_2.86_J02_plate_41002904,Metformin_3.34_J22_plate_41002701,Baricitinib_3.34_N13_plate_41002701,Levofloxacin_3.82_P18_plate_41002878",1.0
TOMM20,0,30,138,13176,1.0,"",1.0
DNM1,0,31,138,13176,1.0,"",1.0
SIRT4,0,78,138,13176,1.0,"",1.0
FBLN5,0,31,138,13176,1.0,"",1.0
C14orf132,0,74,138,13176,1.0,"",1.0
EEF1E1,1,48,138,13176,0.39727353315756336,Glycerol_3.34_P22_plate_41002889,1.0
SEC14L2,0,61,138,13176,1.0,"",1.0
LNX1,0,61,138,13176,1.0,"",1.0
MTFR2,0,46,138,13176,1.0,"",1.0
H3-4,1,46,138,13176,0.38440080632106327,Disulfiram_3.82_I17_plate_41002692,1.0
RUNDC3A,0,46,138,13176,1.0,"",1.0
KBTBD7,0,77,138,13176,1.0,"",1.0
CCDC69,0,62,138,13176,1.0,"",1.0
TNFRSF1B,0,123,138,13176,1.0,"",1.0
TTL,2,79,138,13176,0.20055884827662895,"Glycerol_3.34_P22_plate_41002889,2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
ANKRD20A1,0,45,138,13176,1.0,"",1.0
DCBLD2,0,92,138,13176,1.0,"",1.0
PARP2,1,107,138,13176,0.6773426673512546,Glycerol_3.34_P22_plate_41002889,1.0
SREBF2,0,45,138,13176,1.0,"",1.0
CYP3A5,20,2333,138,13176,0.8671594669117806,"Nevirapine_3.34_N14_plate_41002956,Disulfiram_3.82_I17_plate_41002692,Lopinavir_3.82_O13_plate_41002692,Amlodipine_3.82_N07_plate_41002897,Astemizole_3.34_J02_plate_41002889,Acalabrutinib_3.82_I10_plate_41002878,Lopinavir_3.82_F09_plate_41002897,Atazanavir_3.82_B10_plate_41002896,Sulfasalazine_3.34_O23_plate_41002701,Ciprofloxacin_3.82_M08_plate_41002947,Mycophenolate Mofetil_3.34_J19_plate_41002701,Amlodipine_3.34_C02_plate_41002892,Sildenafil_2.36_P23_plate_41002689,Cyclosporin A_3.34_P19_plate_41002701,Astemizole_3.82_E10_plate_41002878,Rifapentine_3.82_M11_plate_41002693,Erlotinib_1.43_J23_plate_41002703,Cobicistat_3.82_I05_plate_41002693,Lopinavir_3.34_O01_plate_41002700,Metronidazole_3.34_L15_plate_41002889",1.0
ANXA11,0,46,138,13176,1.0,"",1.0
TLR3,4,183,138,13176,0.12584679592396422,"Triclosan_3.82_F22_plate_41002946,Metformin_3.34_J22_plate_41002701,Glycerol_3.34_P22_plate_41002889,Triclosan_3.82_D24_plate_41002877",1.0
ERBB3,0,148,138,13176,1.0,"",1.0
MTFR1,0,32,138,13176,1.0,"",1.0
ZNHIT3,0,46,138,13176,1.0,"",1.0
PTPRM,0,32,138,13176,1.0,"",1.0
PTX3,1,74,138,13176,0.5421944501490569,Disulfiram_3.82_I17_plate_41002692,1.0
PHF21B,0,16,138,13176,1.0,"",1.0
DNAJA1,1,75,138,13176,0.5470163983920299,Disulfiram_3.82_I17_plate_41002692,1.0
PTPN14,0,62,138,13176,1.0,"",1.0
DSC2,0,61,138,13176,1.0,"",1.0
BRCA1,2,122,138,13176,0.3662475035608261,"Glycerol_3.34_P22_plate_41002889,Fludarabine_2.36_N13_plate_41002955",1.0
ABTB2,0,31,138,13176,1.0,"",1.0
CYP1B1,6,628,138,13176,0.6487991073850492,"Erlotinib_1.43_J23_plate_41002703,Mitoxantrone_1.82_D06_plate_41002882,5-Azacytidine_2.86_I02_plate_41002951,Melatonin_3.82_D16_plate_41002692,Chlorpromazine_3.82_B03_plate_41002878,Mitoxantrone_1.43_D11_plate_41002703",1.0
EP400,1,30,138,13176,0.27109701643053735,Cyclosporin A_3.34_P19_plate_41002701,1.0
ACTA2,2,215,138,13176,0.6618740014012514,"Disulfiram_3.82_I17_plate_41002692,5-Azacytidine_2.86_I02_plate_41002951",1.0
ADRA2C,9,835,138,13176,0.5141704804571644,"Astemizole_3.82_E10_plate_41002878,Astemizole_3.34_J02_plate_41002889,Cyproheptadine_3.82_F03_plate_41002897,Moxonidine_3.82_N24_plate_41002692,Clomipramine_3.82_F03_plate_41002878,Levomepromazine_3.82_L15_plate_41002897,Phentolamine_3.82_N16_plate_41002897,Chlorpromazine_3.82_B03_plate_41002878,Melatonin_3.82_D16_plate_41002692",1.0
GRM2,1,121,138,13176,0.7219225341641713,Melatonin_3.82_D16_plate_41002692,1.0
NKTR,0,32,138,13176,1.0,"",1.0
MSX2,0,60,138,13176,1.0,"",1.0
PTPRB,0,46,138,13176,1.0,"",1.0
STXBP6,0,77,138,13176,1.0,"",1.0
STAMBPL1,0,61,138,13176,1.0,"",1.0
ZNF282,0,32,138,13176,1.0,"",1.0
TPD52L1,0,137,138,13176,1.0,"",1.0
KCNJ13,0,62,138,13176,1.0,"",1.0
H2BC14,0,62,138,13176,1.0,"",1.0
CDC42EP3,0,90,138,13176,1.0,"",1.0
KNDC1,0,16,138,13176,1.0,"",1.0
PGAM5,2,48,138,13176,0.0899484529971214,"Glycerol_3.34_P22_plate_41002889,2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
FST,1,92,138,13176,0.6216857415195591,Glycerol_3.34_P22_plate_41002889,1.0
PRKCD,0,107,138,13176,1.0,"",1.0
FIBCD1,1,47,138,13176,0.39087092732088696,Glycerol_3.34_P22_plate_41002889,1.0
ABI2,0,32,138,13176,1.0,"",1.0
BAG4,1,47,138,13176,0.39087092732088696,Glycerol_3.34_P22_plate_41002889,1.0
NIN,0,48,138,13176,1.0,"",1.0
IPO7,0,16,138,13176,1.0,"",1.0
ACOT2,1,32,138,13176,0.28632057245144965,Glycerol_3.34_P22_plate_41002889,1.0
SLC27A4,0,31,138,13176,1.0,"",1.0
TRPA1,0,32,138,13176,1.0,"",1.0
RND3,3,74,138,13176,0.04253189707892909,"Cyclosporin A_3.34_P19_plate_41002701,Bortezomib_0.95_N08_plate_41002875,Bortezomib_1.43_O21_plate_41002945",1.0
MYOF,0,103,138,13176,1.0,"",1.0
DISP1,0,46,138,13176,1.0,"",1.0
C6orf141,0,46,138,13176,1.0,"",1.0
PPP1R7,0,45,138,13176,1.0,"",1.0
THBS4,0,62,138,13176,1.0,"",1.0
LMCD1,1,116,138,13176,0.7067509929118463,Disulfiram_3.82_I17_plate_41002692,1.0
TUBB3,4,275,138,13176,0.3254958751653113,"Disulfiram_3.82_I17_plate_41002692,Glycerol_3.34_P22_plate_41002889,2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883,Estramustine_3.82_N13_plate_41002693",1.0
TRMT13,0,31,138,13176,1.0,"",1.0
C8orf34,0,62,138,13176,1.0,"",1.0
COL3A1,3,154,138,13176,0.21884304040582564,"Cyclosporin A_3.34_P19_plate_41002701,Disulfiram_3.82_I17_plate_41002692,Glycerol_3.34_P22_plate_41002889",1.0
MIA2,1,30,138,13176,0.27109701643053735,Cyclosporin A_3.34_P19_plate_41002701,1.0
TLE1,1,77,138,13176,0.556509545887919,Glycerol_3.34_P22_plate_41002889,1.0
WRNIP1,1,32,138,13176,0.28632057245144965,Glycerol_3.34_P22_plate_41002889,1.0
DKK3,1,62,138,13176,0.48019982481872137,Disulfiram_3.82_I17_plate_41002692,1.0
TRDMT1,1,47,138,13176,0.39087092732088696,Glycerol_3.34_P22_plate_41002889,1.0
G6PC1,0,102,138,13176,1.0,"",1.0
RHOB,2,148,138,13176,0.46075858333152564,"Disulfiram_3.82_I17_plate_41002692,5-Azacytidine_2.86_I02_plate_41002951",1.0
GPR4,0,47,138,13176,1.0,"",1.0
CD1D,2,92,138,13176,0.25070575961891306,"Glycerol_3.34_P22_plate_41002889,2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
TM9SF1,0,30,138,13176,1.0,"",1.0
ZNF532,0,31,138,13176,1.0,"",1.0
UPK1A,0,47,138,13176,1.0,"",1.0
PTGER2,4,550,138,13176,0.8334129091146892,"Cyproheptadine_3.82_F03_plate_41002897,Phentolamine_3.82_N16_plate_41002897,Clomipramine_3.82_F03_plate_41002878,Chlorpromazine_3.82_B03_plate_41002878",1.0
ATP13A3,0,48,138,13176,1.0,"",1.0
RERE,0,32,138,13176,1.0,"",1.0
SLC66A3,0,47,138,13176,1.0,"",1.0
CAMP,0,60,138,13176,1.0,"",1.0
CACNA1C,4,330,138,13176,0.4556576802160979,"Amlodipine_3.82_N07_plate_41002897,Azelnidipine_3.82_I07_plate_41002693,Azelnidipine_3.82_O16_plate_41002897,Amlodipine_3.34_C02_plate_41002892",1.0
EDC3,1,47,138,13176,0.39087092732088696,Glycerol_3.34_P22_plate_41002889,1.0
MT1G,1,105,138,13176,0.6704199100216062,Disulfiram_3.82_I17_plate_41002692,1.0
RRH,4,383,138,13176,0.5726833367914534,"Cyproheptadine_3.82_F03_plate_41002897,Phentolamine_3.82_N16_plate_41002897,Clomipramine_3.82_F03_plate_41002878,Chlorpromazine_3.82_B03_plate_41002878",1.0
SRMS,0,47,138,13176,1.0,"",1.0
HERC6,0,62,138,13176,1.0,"",1.0
WSB1,0,78,138,13176,1.0,"",1.0
CMTM4,0,31,138,13176,1.0,"",1.0
PDZK1,0,58,138,13176,1.0,"",1.0
ABCA6,0,46,138,13176,1.0,"",1.0
H4C8,0,32,138,13176,1.0,"",1.0
GH1,0,32,138,13176,1.0,"",1.0
ETV6,0,30,138,13176,1.0,"",1.0
KCND3,0,92,138,13176,1.0,"",1.0
ARRB2,0,15,138,13176,1.0,"",1.0
PAPPA2,0,45,138,13176,1.0,"",1.0
HLA-DOA,1,89,138,13176,0.6094601225020597,Glycerol_3.34_P22_plate_41002889,1.0
ITM2B,0,29,138,13176,1.0,"",1.0
EDN2,0,78,138,13176,1.0,"",1.0
GSTM2,1,91,138,13176,0.6176533504119434,Cyclosporin A_3.34_P19_plate_41002701,1.0
TPP1,0,94,138,13176,1.0,"",1.0
RUNX2,0,151,138,13176,1.0,"",1.0
TNFRSF10B,5,332,138,13176,0.26843679951621885,"Capsaicin_3.34_P14_plate_41002701,Metformin_3.34_J22_plate_41002701,Bortezomib_1.43_O21_plate_41002945,Bortezomib_0.95_N08_plate_41002875,Capsaicin_3.82_F24_plate_41002878",1.0
SIPA1L3,0,16,138,13176,1.0,"",1.0
CACNA2D2,1,150,138,13176,0.7957415604346596,Cyclosporin A_3.34_P19_plate_41002701,1.0
SOCS3,0,103,138,13176,1.0,"",1.0
TMEM250,0,16,138,13176,1.0,"",1.0
FOXP1,0,47,138,13176,1.0,"",1.0
CCND1,5,406,138,13176,0.42130825638774694,"Encorafenib_3.82_I09_plate_41002946,Metformin_3.34_J22_plate_41002701,Glycerol_3.34_P22_plate_41002889,Encorafenib_3.82_F14_plate_41002877,Cyclosporin A_3.34_P19_plate_41002701",1.0
TAS2R39,1,107,138,13176,0.6773426673512546,Melatonin_3.82_D16_plate_41002692,1.0
KYAT1,0,32,138,13176,1.0,"",1.0
FUT11,0,31,138,13176,1.0,"",1.0
COPG1,0,16,138,13176,1.0,"",1.0
ERP27,0,105,138,13176,1.0,"",1.0
VLDLR,1,74,138,13176,0.5421944501490569,Cyclosporin A_3.34_P19_plate_41002701,1.0
FNDC11,1,30,138,13176,0.27109701643053735,Disulfiram_3.82_I17_plate_41002692,1.0
NEAT1,0,61,138,13176,1.0,"",1.0
CRP,0,43,138,13176,1.0,"",1.0
ICMT,0,16,138,13176,1.0,"",1.0
IFNGR2,1,59,138,13176,0.4634411826267809,Disulfiram_3.82_I17_plate_41002692,1.0
SIDT2,0,48,138,13176,1.0,"",1.0
PCDHA11,0,47,138,13176,1.0,"",1.0
ALDH1L2,2,78,138,13176,0.1967470017704313,"Glycerol_3.34_P22_plate_41002889,2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
MAP2,1,123,138,13176,0.7277706110145585,Estramustine_3.82_N13_plate_41002693,1.0
PDP1,1,75,138,13176,0.5470163983920299,Glycerol_3.34_P22_plate_41002889,1.0
ATP7B,0,45,138,13176,1.0,"",1.0
FNBP1,0,107,138,13176,1.0,"",1.0
ABCA5,1,92,138,13176,0.6216857415195591,Cyclosporin A_3.34_P19_plate_41002701,1.0
HARS2,0,48,138,13176,1.0,"",1.0
GRAMD1B,0,15,138,13176,1.0,"",1.0
HTR2C,8,777,138,13176,0.5716915119545785,"Astemizole_3.82_E10_plate_41002878,Astemizole_3.34_J02_plate_41002889,Cyproheptadine_3.82_F03_plate_41002897,Clomipramine_3.82_F03_plate_41002878,Levomepromazine_3.82_L15_plate_41002897,Flibanserin_3.34_C11_plate_41002892,Phentolamine_3.82_N16_plate_41002897,Chlorpromazine_3.82_B03_plate_41002878",1.0
KCND2,0,152,138,13176,1.0,"",1.0
HNRNPA3,1,32,138,13176,0.28632057245144965,"2,2'-Oxybis(ethan-1-ol)_0.48_P18_plate_41002883",1.0
ACSS1,0,31,138,13176,1.0,"",1.0
WDR72,0,59,138,13176,1.0,"",1.0
TRIM25,0,46,138,13176,1.0,"",1.0
MME,0,62,138,13176,1.0,"",1.0
FAM210A,1,60,138,13176,0.46908615608088705,Disulfiram_3.82_I17_plate_41002692,1.0
PTCHD1,0,30,138,13176,1.0,"",1.0
HEXB,1,94,138,13176,0.6296242955123024,Glycerol_3.34_P22_plate_41002889,1.0
ATP2B4,0,32,138,13176,1.0,"",1.0
IL18,1,137,138,13176,0.7654261213084218,Glycerol_3.34_P22_plate_41002889,1.0
NRARP,1,45,138,13176,0.3778624634650871,Disulfiram_3.82_I17_plate_41002692,1.0
NTSR2,4,415,138,13176,0.6362234612595857,"Cyproheptadine_3.82_F03_plate_41002897,Phentolamine_3.82_N16_plate_41002897,Clomipramine_3.82_F03_plate_41002878,Chlorpromazine_3.82_B03_plate_41002878",1.0
MDS2,0,16,138,13176,1.0,"",1.0
SORCS2,1,59,138,13176,0.4634411826267809,Cyclosporin A_3.34_P19_plate_41002701,1.0
HILPDA,0,75,138,13176,1.0,"",1.0
HTRA2,0,63,138,13176,1.0,"",1.0
TCEA2,1,46,138,13176,0.38440080632106327,Disulfiram_3.82_I17_plate_41002692,1.0
HYI,1,45,138,13176,0.3778624634650871,Cyclosporin A_3.34_P19_plate_41002701,1.0
GRK1,2,60,138,13176,0.13038774883454665,"Cyclosporin A_3.34_P19_plate_41002701,Glycerol_3.34_P22_plate_41002889",1.0
JAG1,0,139,138,13176,1.0,"",1.0
NUDT18,0,48,138,13176,1.0,"",1.0
MBD2,0,47,138,13176,1.0,"",1.0
ZNF721,0,32,138,13176,1.0,"",1.0
PIMREG,0,46,138,13176,1.0,"",1.0
FMO1,3,185,138,13176,0.30620635411811437,"Triclosan_3.82_F22_plate_41002946,Cyclosporin A_3.34_P19_plate_41002701,Triclosan_3.82_D24_plate_41002877",1.0
ABCA3,1,77,138,13176,0.556509545887919,Disulfiram_3.82_I17_plate_41002692,1.0
folA,0,32,138,13176,1.0,"",1.0
SSTR5,6,536,138,13176,0.4931676762741747,"Cyproheptadine_3.82_F03_plate_41002897,Clomipramine_3.82_F03_plate_41002878,Cyclosporin A_3.34_P19_plate_41002701,Phentolamine_3.82_N16_plate_41002897,Chlorpromazine_3.82_B03_plate_41002878,Melatonin_3.82_D16_plate_41002692",1.0
LRAT,0,46,138,13176,1.0,"",1.0
VPS4B,0,32,138,13176,1.0,"",1.0
SVIP,1,45,138,13176,0.3778624634650871,Cyclosporin A_3.34_P19_plate_41002701,1.0
SLC35F3,0,31,138,13176,1.0,"",1.0
TSTD1,0,45,138,13176,1.0,"",1.0
VGLL1,0,93,138,13176,1.0,"",1.0
