target_set,p_value,fdr,overlap_size,target_set_size,overlap_hits
PSMA6,6.310854447273532e-7,0.000372676991292993,6,32,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
CARD9,3.168932475604324e-7,0.000372676991292993,7,46,"Bortezomib_0.0456431545317173_B22_plate_41002949,Cyclosporin A_11.0_J15_plate_41002880,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
PCYT1A,6.310854447273532e-7,0.000372676991292993,6,32,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
PSMD1,6.310854447273532e-7,0.000372676991292993,6,32,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
PSMA8,6.310854447273532e-7,0.000372676991292993,6,32,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
BMX,8.919228650986691e-7,0.0004937907961902507,9,104,"Ibrutinib_33.5_D05_plate_41002889,Ibrutinib_100.0_F10_plate_41002878,Cyclosporin A_11.0_J15_plate_41002880,Fostamatinib_33.5_J22_plate_41002957,Dasatinib_0.1369294673204422_A18_plate_41002699,Fostamatinib_11.0_L09_plate_41002950,Ibrutinib_33.5_M15_plate_41002701,Fostamatinib_11.0_J18_plate_41002879,Ibrutinib_100.0_I07_plate_41002692"
AKR7A2,2.037216311803082e-6,0.0010615095347030412,7,60,"Bortezomib_0.0456431545317173_B22_plate_41002949,Cyclosporin A_11.0_J15_plate_41002880,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
TNK1,2.551781473897502e-6,0.0012557600164324486,7,62,"Erlotinib_100.0_G14_plate_41002878,Fostamatinib_33.5_J22_plate_41002957,Fostamatinib_11.0_L09_plate_41002950,Erlotinib_11.0_G14_plate_41002880,Erlotinib_33.5_J06_plate_41002889,Erlotinib_100.0_I18_plate_41002692,Fostamatinib_11.0_J18_plate_41002879"
BRAF,3.6450256190844014e-6,0.0016993493123078753,9,123,"Encorafenib_11.0_I02_plate_41002950,Fostamatinib_33.5_J22_plate_41002957,Encorafenib_100.0_F14_plate_41002877,Fostamatinib_11.0_L09_plate_41002950,Encorafenib_33.5_P16_plate_41002957,Encorafenib_33.5_D19_plate_41002890,Vemurafenib_100.0_M15_plate_41002878,Fostamatinib_11.0_J18_plate_41002879,Encorafenib_100.0_I09_plate_41002946"
LGR4,6.61840758370043e-6,0.0023735134559488896,6,47,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
PSMD2,6.61840758370043e-6,0.0023735134559488896,6,47,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
BTK,6.658810048165868e-6,0.0023735134559488896,8,100,"Ibrutinib_33.5_D05_plate_41002889,Ibrutinib_100.0_F10_plate_41002878,Fostamatinib_33.5_J22_plate_41002957,Dasatinib_0.1369294673204422_A18_plate_41002699,Fostamatinib_11.0_L09_plate_41002950,Ibrutinib_33.5_M15_plate_41002701,Fostamatinib_11.0_J18_plate_41002879,Ibrutinib_100.0_I07_plate_41002692"
HECW1,6.61840758370043e-6,0.0023735134559488896,6,47,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
STK4,7.502639056961945e-6,0.0023735134559488896,6,48,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
STS,7.502639056961945e-6,0.0023735134559488896,6,48,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
PSMB3,7.502639056961945e-6,0.0023735134559488896,6,48,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
PAWR,6.61840758370043e-6,0.0023735134559488896,6,47,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
PSMB11,7.502639056961945e-6,0.0023735134559488896,6,48,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
BLK,8.317168099194365e-6,0.00254046465595392,9,136,"Ibrutinib_33.5_D05_plate_41002889,Ibrutinib_100.0_F10_plate_41002878,Fostamatinib_33.5_J22_plate_41002957,Dasatinib_0.1369294673204422_A18_plate_41002699,Fostamatinib_11.0_L09_plate_41002950,Ibrutinib_33.5_M15_plate_41002701,Afatinib_3.5_F02_plate_41002688,Fostamatinib_11.0_J18_plate_41002879,Ibrutinib_100.0_I07_plate_41002692"
NFKBIE,0.000010108031783827962,0.002984564851371603,7,76,"Tamoxifen_100.0_F23_plate_41002896,Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
ULK3,0.000011027684477986202,0.0031510719066452186,7,77,"Fostamatinib_11.0_J18_plate_41002879,Fostamatinib_33.5_J22_plate_41002957,Erlotinib_11.0_G14_plate_41002880,Fostamatinib_11.0_L09_plate_41002950,Erlotinib_33.5_J06_plate_41002889,Erlotinib_100.0_I18_plate_41002692,Erlotinib_100.0_G14_plate_41002878"
PIP4K2C,0.000012015612827979722,0.003326071825945137,7,78,"Erlotinib_100.0_G14_plate_41002878,Fostamatinib_33.5_J22_plate_41002957,Erlotinib_11.0_G14_plate_41002880,Fostamatinib_11.0_L09_plate_41002950,Erlotinib_33.5_J06_plate_41002889,Erlotinib_100.0_I18_plate_41002692,Fostamatinib_11.0_J18_plate_41002879"
CYP3A4,0.000012638395254935801,0.0033924516717642825,83,5895,"Brigatinib_1.0_M23_plate_41002959,Cilnidipine_100.0_I21_plate_41002692,Artesunate_33.5_O23_plate_41002890,Artesunate_100.0_L13_plate_41002946,Bortezomib_0.1369294673204422_K13_plate_41002952,Fluvastatin_3.5_C21_plate_41002688,Ibrutinib_33.5_M15_plate_41002701,Cabazitaxel_100.0_C06_plate_41002692,Bortezomib_1.0_F15_plate_41002958,Ceritinib_11.0_P05_plate_41002880,Nintedanib_33.5_K18_plate_41002701,Ceritinib_11.0_G21_plate_41002951,Encorafenib_100.0_F14_plate_41002877,Olanzapine_100.0_K15_plate_41002693,Erlotinib_33.5_J06_plate_41002889,Fostamatinib_11.0_J18_plate_41002879,Erlotinib_100.0_G14_plate_41002878,Siponimod_100.0_N18_plate_41002693,Gilteritinib_2.200000047683716_M09_plate_41002951,Encorafenib_11.0_I02_plate_41002950,Vitamin D2_100.0_O18_plate_41002896,Ibrutinib_100.0_F10_plate_41002878,Artesunate_100.0_I15_plate_41002877,Panobinostat_0.0456431545317173_M23_plate_41002691,Artesunate_33.5_K21_plate_41002957,Encorafenib_100.0_I09_plate_41002946,Selpercatinib_33.5_I22_plate_41002892,Cinacalcet_100.0_F15_plate_41002946,Bortezomib_0.0456431545317173_B22_plate_41002949,Rifabutin_100.0_A08_plate_41002692,Docetaxel_100.0_E02_plate_41002946,Brigatinib_11.0_K11_plate_41002950,Telaprevir_100.0_G11_plate_41002693,Ziprasidone_100.0_C16_plate_41002877,Sildenafil_33.5_P24_plate_41002701,Temsirolimus_0.1369294673204422_D08_plate_41002895,Panobinostat_3.5_G09_plate_41002885,Lopinavir_33.5_G15_plate_41002893,Lercanidipine_100.0_L18_plate_41002692,Erlotinib_100.0_I18_plate_41002692,Azoxystrobin_33.5_D09_plate_41002701,Hydroxyzine_33.5_P14_plate_41002700,Selpercatinib_33.5_P08_plate_41002701,Vemurafenib_100.0_M15_plate_41002878,Fostamatinib_33.5_J22_plate_41002957,Romidepsin_0.1369294673204422_B10_plate_41002894,Tamoxifen_100.0_F23_plate_41002896,Artesunate_11.0_J02_plate_41002879,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_M19_plate_41002882,Entrectinib_33.5_K13_plate_41002892,Romidepsin_3.5_I07_plate_41002886,Ibrutinib_100.0_I07_plate_41002692,Lercanidipine_100.0_I13_plate_41002878,Erlotinib_11.0_G14_plate_41002880,Norethindrone_100.0_D17_plate_41002946,Exemestane_100.0_K05_plate_41002946,Romidepsin_0.0456431545317173_F21_plate_41002902,Moxidectin_100.0_B11_plate_41002877,Hydroxyzine_100.0_G19_plate_41002693,Atazanavir_33.5_M08_plate_41002892,Ixazomib_0.4107883870601654_A22_plate_41002703,Artesunate_11.0_K17_plate_41002950,Encorafenib_33.5_P16_plate_41002957,Ibrutinib_33.5_D05_plate_41002889,Fluvastatin_11.0_M06_plate_41002904,Dasatinib_0.1369294673204422_A18_plate_41002699,Encorafenib_33.5_D19_plate_41002890,Mirabegron_100.0_O22_plate_41002878,Ixazomib_1.0_L09_plate_41002907,Etravirine_100.0_E23_plate_41002693,Finasteride_100.0_E01_plate_41002896,Telaprevir_100.0_P24_plate_41002897,Oxcarbazepine_100.0_D18_plate_41002946,Cyclosporin A_11.0_J15_plate_41002880,Metronidazole_100.0_N10_plate_41002878,Bicalutamide_100.0_I11_plate_41002692,Fluvastatin_100.0_C24_plate_41002896,Granisetron_100.0_I01_plate_41002692,Fostamatinib_11.0_L09_plate_41002950,Ixazomib_3.5_M08_plate_41002689,Bortezomib_0.0456431545317173_N01_plate_41002883,Voxelotor_100.0_B19_plate_41002693"
IL6,0.000023750819999691464,0.006028200425260116,19,653,"Ibrutinib_100.0_F10_plate_41002878,Bortezomib_0.1369294673204422_K13_plate_41002952,Atazanavir_33.5_M08_plate_41002892,Ibrutinib_33.5_M15_plate_41002701,Erlotinib_100.0_I18_plate_41002692,Ibrutinib_33.5_D05_plate_41002889,Bortezomib_1.0_F15_plate_41002958,Tamoxifen_100.0_F23_plate_41002896,Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.4107883870601654_O21_plate_41002945,Erlotinib_33.5_J06_plate_41002889,Bortezomib_1.0_M19_plate_41002882,Erlotinib_100.0_G14_plate_41002878,Ibrutinib_100.0_I07_plate_41002692,Triclosan_100.0_F22_plate_41002946,Cyclosporin A_11.0_J15_plate_41002880,Bicalutamide_100.0_I11_plate_41002692,Erlotinib_11.0_G14_plate_41002880,Bortezomib_0.0456431545317173_N01_plate_41002883"
ALK,0.000023818809537604884,0.006028200425260116,9,155,"Brigatinib_1.0_M23_plate_41002959,Brigatinib_11.0_K11_plate_41002950,Fostamatinib_33.5_J22_plate_41002957,Ceritinib_11.0_G21_plate_41002951,Fostamatinib_11.0_L09_plate_41002950,Gilteritinib_2.200000047683716_M09_plate_41002951,Ceritinib_11.0_P05_plate_41002880,Entrectinib_33.5_K13_plate_41002892,Fostamatinib_11.0_J18_plate_41002879"
TNFRSF10A,0.000026018229256272814,0.006228904723028773,11,239,"Bortezomib_0.0456431545317173_B22_plate_41002949,Cyclosporin A_11.0_J15_plate_41002880,Fluvastatin_11.0_M06_plate_41002904,Bortezomib_0.1369294673204422_K13_plate_41002952,Fluvastatin_3.5_C21_plate_41002688,Bortezomib_0.4107883870601654_O21_plate_41002945,Fluvastatin_100.0_C24_plate_41002896,Atazanavir_33.5_M08_plate_41002892,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
MKNK1,0.000025468831027098133,0.006228904723028773,8,120,"Fostamatinib_11.0_J18_plate_41002879,Cyclosporin A_11.0_J15_plate_41002880,Fostamatinib_33.5_J22_plate_41002957,Erlotinib_11.0_G14_plate_41002880,Fostamatinib_11.0_L09_plate_41002950,Erlotinib_33.5_J06_plate_41002889,Erlotinib_100.0_I18_plate_41002692,Erlotinib_100.0_G14_plate_41002878"
HDAC2,0.000027046673829027293,0.0063047220204611515,8,121,"Romidepsin_0.0456431545317173_F21_plate_41002902,Panobinostat_3.5_G09_plate_41002885,Fluvastatin_11.0_M06_plate_41002904,Fluvastatin_3.5_C21_plate_41002688,Panobinostat_0.0456431545317173_M23_plate_41002691,Fluvastatin_100.0_C24_plate_41002896,Romidepsin_3.5_I07_plate_41002886,Romidepsin_0.1369294673204422_B10_plate_41002894"
DCLK2,0.000027764927006777093,0.00630619803656491,6,60,"Fostamatinib_11.0_J18_plate_41002879,Cyclosporin A_11.0_J15_plate_41002880,Panobinostat_3.5_G09_plate_41002885,Panobinostat_0.0456431545317173_M23_plate_41002691,Fostamatinib_11.0_L09_plate_41002950,Fostamatinib_33.5_J22_plate_41002957"
PSMB2,0.00004025169816382053,0.006591239642282432,6,64,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
EPHA6,0.00004092551143887263,0.006591239642282432,9,166,"Fostamatinib_11.0_J18_plate_41002879,Fostamatinib_33.5_J22_plate_41002957,Dasatinib_0.1369294673204422_A18_plate_41002699,Erlotinib_11.0_G14_plate_41002880,Fostamatinib_11.0_L09_plate_41002950,Erlotinib_100.0_I18_plate_41002692,Erlotinib_33.5_J06_plate_41002889,Afatinib_3.5_F02_plate_41002688,Erlotinib_100.0_G14_plate_41002878"
PSMA2,0.00004025169816382053,0.006591239642282432,6,64,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
PSMB9,0.00003677534660795948,0.006591239642282432,6,63,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
PSMA5,0.00004025169816382053,0.006591239642282432,6,64,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
TNKS,0.00004025169816382053,0.006591239642282432,6,64,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
SLK,0.00003550968217840611,0.006591239642282432,7,92,"Erlotinib_100.0_G14_plate_41002878,Fostamatinib_33.5_J22_plate_41002957,Erlotinib_11.0_G14_plate_41002880,Fostamatinib_11.0_L09_plate_41002950,Erlotinib_33.5_J06_plate_41002889,Erlotinib_100.0_I18_plate_41002692,Fostamatinib_11.0_J18_plate_41002879"
PSMB6,0.00004025169816382053,0.006591239642282432,6,64,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
PSMA4,0.00004025169816382053,0.006591239642282432,6,64,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
PSMB1,0.00004081312729467962,0.006591239642282432,7,94,"Bortezomib_0.0456431545317173_B22_plate_41002949,Cyclosporin A_11.0_J15_plate_41002880,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
CBR3,0.00003808562823802953,0.006591239642282432,7,93,"Oxcarbazepine_100.0_D18_plate_41002946,Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
PSMB7,0.00004025169816382053,0.006591239642282432,6,64,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
BCL3,0.00003054483792450485,0.006591239642282432,6,61,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
SLC31A1,0.00003354409397278424,0.006591239642282432,6,62,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
FGF21,0.00003354409397278424,0.006591239642282432,6,62,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
NLRP12,0.00003054483792450485,0.006591239642282432,6,61,"Bortezomib_0.0456431545317173_B22_plate_41002949,Bortezomib_0.1369294673204422_K13_plate_41002952,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
GAK,0.00004494932876081877,0.007110020610059512,9,168,"Fostamatinib_11.0_J18_plate_41002879,Fostamatinib_33.5_J22_plate_41002957,Dasatinib_0.1369294673204422_A18_plate_41002699,Erlotinib_11.0_G14_plate_41002880,Fostamatinib_11.0_L09_plate_41002950,Erlotinib_100.0_I18_plate_41002692,Erlotinib_33.5_J06_plate_41002889,Afatinib_3.5_F02_plate_41002688,Erlotinib_100.0_G14_plate_41002878"
MAPK14,0.00005190885950590847,0.00806681890356732,10,213,"Bortezomib_0.0456431545317173_B22_plate_41002949,Fostamatinib_33.5_J22_plate_41002957,Bortezomib_0.1369294673204422_K13_plate_41002952,Dasatinib_0.1369294673204422_A18_plate_41002699,Bortezomib_0.4107883870601654_O21_plate_41002945,Fostamatinib_11.0_L09_plate_41002950,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882,Fostamatinib_11.0_J18_plate_41002879"
CCNG2,0.00005331844677419342,0.008143013819410436,8,133,"Bortezomib_0.0456431545317173_B22_plate_41002949,Panobinostat_3.5_G09_plate_41002885,Bortezomib_0.1369294673204422_K13_plate_41002952,Panobinostat_0.0456431545317173_M23_plate_41002691,Bortezomib_0.4107883870601654_O21_plate_41002945,Bortezomib_1.0_F15_plate_41002958,Bortezomib_0.0456431545317173_N01_plate_41002883,Bortezomib_1.0_M19_plate_41002882"
