target,mode,count
MMP24,Negative,1
CYP3A7,Positive,1
PSMB7,Negative,1
MAP2K,unspecified,2
IL1B,Negative,4
PDE6H,unspecified,2
PHLDA2,unspecified,1
SLC7A5,Positive,5
SLCO1B2,Negative,10
TRPM2,Positive,1
PRSS2,unspecified,3
Phosphatidylcholine,unspecified,1
YWHAB,unspecified,2
YES,Negative,4
IL17RB,unspecified,1
RXRB,Negative,5
PLCG2,Negative,3
TACR3,unspecified,4
MECP2,unspecified,1
PTGER2,unspecified,13
ACP1,Negative,9
NR1H3,Negative,4
KCNN4,Positive,3
SLC1A5,unspecified,1
KCNU1,Negative,1
TMEM184A,Positive,1
TNF,unspecified,36
ADK,Positive,1
Calcium channel verapamil binding site,unspecified,6
NUAK1,Negative,65
FUT4,Negative,1
MAP3K9,Negative,61
CYP7A1,Negative,2
CCNE1,unspecified,3
CHRNA10,Negative,3
CYSLTR1,Positive,1
AKR1C14,Negative,2
CPOX,Positive,1
KAT6A,Negative,2
FADS2,Negative,1
MT1L,unspecified,1
ZC3H8,Positive,1
DNA reactive,unspecified,2
GABRG3,Positive,20
C14ORF180,unspecified,1
EHMT2,unspecified,1
PIK3CA,Positive,1
CACNA2D3,unspecified,2
DNASE1,Negative,2
PTGR1,unspecified,1
MGST1,Positive,1
NR1H3,Positive,11
TUBB3,Negative,19
CCDC92,unspecified,1
NUAK1,unspecified,60
GPSM1,unspecified,1
MRGPRD,Positive,1
Tubulin,unspecified,2
TRPV4,Negative,6
TNNT2,Positive,3
S100A12,unspecified,3
prothrombin,unspecified,3
SLC6A9,unspecified,2
CDH11,unspecified,2
APOH,Negative,1
gyrB,unspecified,1
POP4,unspecified,1
ACHE,Negative,703
"Carbonic Anhydrase Isozymes, CA II",unspecified,4
antibiotic penicillin,unspecified,22
P2RY6,Negative,3
APP,Negative,57
Na+/Ca2+ Exchanger,unspecified,1
Benzodiazepine peripheral,unspecified,1
TUBB6,unspecified,7
Aaar,unspecified,1
CCKBR,unspecified,13
KCNK13,Negative,1
MPO,Negative,5
SSTR4,Positive,1
B4GALNT1,Positive,1
AKT1S1,Negative,1
AKR1C1,Positive,1
GRIN2B,Positive,5
casein Kinase,unspecified,3
PAK7,unspecified,12
SRC,Positive,2
"Neurotrophic tyrosine kinase, receptor, type ",unspecified,1
dopamine uptake,unspecified,10
STK16,Negative,1
Serotonergic receptor,unspecified,1
MAP3K20,unspecified,61
CDKL2,unspecified,56
PTH1R,unspecified,9
IDE,Positive,7
NEK2,unspecified,107
PRKACB|PRKAR1B|PRKAR2B|PRKAR2A|PRKACA|PRKACG|,Negative,2
FCGRT,Positive,1
GRIA1,Positive,7
P2RY2,unspecified,2
KAT7,Negative,1
ATG5,unspecified,1
ATM/ATR,unspecified,6
pbpX,unspecified,1
CAD,unspecified,1
RET,Negative,94
GCLM,Negative,3
GAA,Negative,209
LIPE,Positive,1
PIK3CD,unspecified,56
CLP1,Positive,1
FPGT-TNNI3K,unspecified,60
ADORA2B,Negative,16
MYLK4,unspecified,60
TIMM10B,Positive,1
ERMP1,Positive,1
TBXAS1,unspecified,2
Na+/Cl- symporter,unspecified,1
NDUFS8,Negative,2
MAB21L2,Positive,1
IL1A,Negative,2
NEU3,Negative,2
C3ORF52,unspecified,1
JMJD6,Positive,1
TRPM5,Negative,2
MC4R,unspecified,614
SERPINA7,unspecified,3
RXRG,unspecified,13
VMAT1,unspecified,1
PIK3CB,unspecified,57
NUDT19,Positive,1
CRABP2,Negative,2
GRM8,unspecified,5
ZCCHC9,Positive,1
KCNE2,Negative,1
FLCN,Positive,1
MBTPS1,Negative,1
MTOR,Negative,221
mecA,unspecified,1
IL4R,Positive,1
GLI1,unspecified,2
AADAC,unspecified,3
TUBB,Negative,25
NPY1R,unspecified,615
TUBB2A,Negative,19
LAG3,Positive,1
ABCC10,Negative,11
NR2F1,Positive,1
MAU2,Positive,1
TH,Negative,3
JUN,Negative,6
Nitrogen oxide synthase - neuronal,unspecified,2
CDC42BPA,Positive,1
VE,unspecified,2
FAM126A,Positive,1
UGT2B15,unspecified,58
GABRG3,Negative,27
5-HT5B,unspecified,8
KCNQ1,Negative,8
IGF2R,Positive,1
FGB,Negative,4
ZKSCAN5,unspecified,1
GJB3,Negative,3
SLC29A4,Negative,7
HBEGF,unspecified,1
Thromboxane B2,unspecified,2
PLLP,Positive,1
CYP2B2,unspecified,1
KRT12,unspecified,1
ASIC5,Positive,2
ER agonist,unspecified,1
CSK,unspecified,70
IF,unspecified,2
NR3C2,Negative,17
TAP2,unspecified,1
EZR,Negative,1
SULF1,Positive,1
AURKA,Positive,2
NPM1,Negative,4
ZNF114,unspecified,1
SLC22A3,Negative,35
integrase,unspecified,1
endothelin receptor,unspecified,2
ENTPD2,unspecified,1
NOD2,unspecified,2
SLCO2B1,Negative,192
NFATC2,unspecified,1
ANXA5,unspecified,1
CDK11B,Negative,4
C1QA,Positive,1
PLA2G4A,unspecified,3
SLC4A4,Positive,1
ACAT1,Negative,2
SLC6A11,Negative,12
GABA,unspecified,8
GSTM1,unspecified,1
S100A4,Negative,4
ADA,unspecified,6
GPR44,unspecified,1
ORF28,unspecified,1
GABRB1,Positive,25
PPIF,unspecified,1
VKORC1,Negative,7
SULT4A1,unspecified,5
TGFB1,Positive,1
CDK3,Negative,67
AURKA,Negative,90
ACTB,unspecified,2
C5AR1,Positive,2
anticholinergic,unspecified,1
AGXT,unspecified,2
GFAP,Positive,1
ABCC4,Negative,42
TRPC4,Negative,6
APCDD1L,unspecified,1
CTBP1,unspecified,1
SLC2A1,unspecified,2
FAP,Negative,4
GJB4,Negative,3
VC,unspecified,2
TSSK2,Negative,64
BIRC3,unspecified,2
P4HB,Negative,3
SHC1,Negative,1
Hexokinase,unspecified,1
ASIC2,Positive,1
ADRA2A,unspecified,682
SLC20A1,Positive,1
CA5B,Positive,18
GLO1,unspecified,2
ACE inhibitor,unspecified,1
ACSL5,Positive,1
TUBB6,Positive,3
Serine/threonine kinase 6,unspecified,12
MC5R,unspecified,612
CACNA2D4,Negative,2
CACNA2D4,unspecified,2
TUBB2B,unspecified,8
BRD2,Negative,3
NT,unspecified,6
INSRR,Negative,61
TK1,unspecified,1
KCNMA1,unspecified,14
NCOA3,unspecified,1
GRIN3B,Negative,17
ETV6,Positive,1
Tyrosine binder,unspecified,1
thyroid,unspecified,1
ZFAND2A,unspecified,1
CHRM1,Negative,302
POU2F2,Negative,3
CDK16,unspecified,105
GRIN2D,Positive,5
CRBN,unspecified,1
ACADL,unspecified,2
TRPV,unspecified,3
TRIM27,Positive,1
CDK7,Negative,73
KHDRBS3,unspecified,1
MVK,Negative,1
GPR18,Positive,3
ADRB2,Positive,72
IL23A,Positive,1
KCNQ5,Positive,2
HTR1A,Negative,43
CEL,unspecified,2
TMEM167A,unspecified,1
PB1,unspecified,1
DOT1L,Negative,4
DHFR,Negative,24
NEU3,Positive,1
TOP1MT,unspecified,34
MYLK2,unspecified,64
CCAR1,unspecified,1
mndD,unspecified,1
HRAS,Negative,2
ALDH3A2,Positive,1
HDAC6,unspecified,3
NDP,Positive,1
CHRNA2,Negative,10
ADRA1D,unspecified,644
M,Positive,1
PDGFB,unspecified,6
PDE6A,Negative,6
ATF3,Positive,1
CLEC4E,Positive,1
SMARCA2,Positive,6
GABBR1,Negative,10
CFTR,unspecified,5
BRSK1,unspecified,60
ATE1,Positive,1
ANKRD11,Positive,1
MYOG,unspecified,1
CPT1B,Negative,4
PSMA6,Negative,1
SLC25A42,unspecified,1
CNR2,unspecified,34
PLA2G2E,Negative,1
ST14,Positive,1
OBP2A,Positive,1
PSMD13,Negative,1
PORCN,Positive,1
LOC102724428,Negative,61
P2RY13,Negative,1
COX2,Negative,4
MYLIP,unspecified,1
"Glycine betaine-binding periplasmic protein,C",unspecified,2
UXS1,unspecified,1
SLC22A3,Positive,1
MAP2,unspecified,3
HIV Reverse Transcriptase,unspecified,3
CA5A,unspecified,13
GRIN,unspecified,5
AS3MT,unspecified,2
HTR3B,Negative,17
PSMD12,Negative,1
iNOS,unspecified,1
O-acetyltransferase,unspecified,2
RAB36,unspecified,1
mineralocorticoid,unspecified,1
TP73,Negative,1
ANGPT2,unspecified,1
AFF4,Positive,1
Tyk,unspecified,2
APH1A,unspecified,5
NOB1,Positive,1
CCR9,unspecified,1
PAQR7,Positive,1
ITGB3,unspecified,8
CYP4A10,Positive,1
CHRND,unspecified,3
GABRR3,Negative,4
IL5,Negative,1
MYLK,Positive,1
CALCRL|RAMP1,Negative,1
ANXA5,Positive,1
SUMO1,Negative,6
Protein-tyrosine kinase Tie2,unspecified,1
HRH4,Positive,6
HCRTR1,Negative,6
RHOF,Positive,1
KLF5,Negative,2
GUCY1A2,Positive,3
GABA A Alpha1Beta3Gamma2,unspecified,2
ALDH3A1,Negative,4
CCDC106,Positive,1
AGRP,Negative,1
GCN1,unspecified,1
TTL,Positive,1
IRAK4,unspecified,56
BCR,Negative,16
SLC16A10,unspecified,1
KCNH2,Positive,5
mrcA,Negative,3
AGTR,unspecified,6
PDE3A,Negative,29
GUCY1B1|GUCY1A1,Positive,2
PRMT1,unspecified,1
TSSK3,Negative,1
ERBB2,Positive,3
JARID2,Positive,1
VCAN,unspecified,2
Melatonin 1C,unspecified,1
C2CD2,Positive,1
PDE3/4 inhibitor,unspecified,1
MAK,unspecified,58
HCRTR2,Positive,2
RPIA,Positive,1
Glutamate-NMDA-Channel,unspecified,1
B2M,unspecified,1
ACBD4,Positive,1
ABCD2,Positive,1
BBC3,Positive,1
ERG11,unspecified,1
rpsC,unspecified,1
CCNA2,Positive,2
MAT2A,Positive,1
IGF-1R,unspecified,4
TGFBR2,Negative,7
POU4F2,Positive,1
RIPK2,unspecified,68
PEMT,Positive,1
DYRK1A,unspecified,56
AQP9,Negative,1
ALPPL2,Negative,6
CDKL3,unspecified,56
SQSTM1,Positive,1
S1P,unspecified,1
LOC102724428,unspecified,60
RGL3,Positive,1
CHRNAx [ CHRNA2 CHRNA7 ],unspecified,2
MPHOSPH8,Negative,211
ZACN,Negative,1
GBX2,unspecified,1
IKBKB,Negative,107
CAMK2D,Negative,69
RXRB,unspecified,14
RERE,Positive,1
ABCC1,unspecified,14
VPS37B,unspecified,1
GABA B rho 1,unspecified,3
kynurenine hydroxylase,unspecified,1
SLC19A1,Negative,4
LOC100911581,Negative,20
CNR1,Negative,14
GUCY1B3,Positive,3
MT-ND4,Negative,1
AKR1C4,Negative,10
PRKAR1A,Negative,1
TRPV2,Negative,7
SIRT1,Negative,20
COQ3,Positive,1
DRD2,Negative,109
flavor,unspecified,1
TGFB2,unspecified,1
MAP2K2,Negative,16
HEXIM1,Positive,1
CDK19,Negative,7
CSF2,Positive,1
BMPR1A,unspecified,64
HSD17B1,unspecified,3
KCNF1,unspecified,1
MPEG1,Negative,2
CFAP53,unspecified,1
SRMS,Negative,7
Tyrosine-protein kinase Abl,unspecified,1
TPK1,Negative,1
GABRA6,Positive,25
TBXAS1,Positive,1
ALPL,Positive,8
MAP3K8,Negative,1
GIPR,unspecified,1
ADRA1B,unspecified,57
CHRM2,Positive,18
SLC15A2,unspecified,22
CYP2C11,unspecified,2
BAX,Negative,2
ZNF20,unspecified,1
phosphodiesterase inhibitor,unspecified,1
NDUFS4,Negative,2
TRPA1,unspecified,2
VKORC1L1,unspecified,1
contrast agent,unspecified,2
ITGA11,unspecified,1
ataractive,unspecified,1
AMZ1,Positive,1
COMT,Negative,11
AKR1B8,Positive,1
SPANXN5,unspecified,1
KDM6B,Negative,5
SOD1,Negative,1
MBD2,Negative,2
SUPT3H,Positive,1
KCNMB1,Positive,2
APOBEC1,unspecified,1
SOX5,unspecified,2
NEK6,Negative,89
RNF186,Positive,1
PSG9,unspecified,1
GABA reuptake,unspecified,1
TFF1,unspecified,2
ADAMTS1,Positive,1
CDK1,Negative,86
ETNPPL,Positive,1
mmaA2,Negative,1
MAPK9,Positive,1
RAPGEF3,Positive,62
ATP1A1,Positive,1
GUK1,unspecified,1
CBLB,Positive,1
RTN4R,Negative,1
ITGB5,Negative,2
CTP synthase,unspecified,1
STAR,unspecified,4
AURK,unspecified,1
TMEM97,Positive,1
STK10,unspecified,108
EPAS1,unspecified,1
SENP8,Negative,17
PSMC1,Negative,1
MT-ND6,Negative,1
SLC4A2,Positive,1
TRMT61A,Positive,1
PKD2L1,unspecified,1
DDX1,Negative,1
CDK12,Negative,4
VHL,unspecified,2
TEK,unspecified,72
SMAGP,Positive,1
APEX1,unspecified,2
JUN,Positive,2
PPARGC1A,unspecified,4
DVL3,Positive,1
SAR1B,unspecified,1
SIRT6,unspecified,1
MYO5B,Positive,1
FolC,unspecified,1
S1P receptor,unspecified,2
antiviral,unspecified,24
GABAR1,unspecified,5
ACSM3,Positive,1
GPER1,Positive,7
P2RY6,Positive,6
PRKCG,unspecified,2
CD207,unspecified,1
POLA2,unspecified,1
DNAJA4,unspecified,2
ADCY5,Negative,4
NMUR2,Positive,4
AGL,Positive,1
SOAT1,unspecified,3
H2AFX,unspecified,2
CAPN7,Positive,1
GABRA,unspecified,2
KCNJ11,Negative,18
IDE,Negative,5
HCAR3,Positive,6
GJB6,Positive,1
EFEMP1,unspecified,1
GRM3,Positive,4
HTR1D,Negative,26
AKR1D1,unspecified,2
"Arsenic,Lead,Mercury,Cadmium",unspecified,1
CACNA1F,unspecified,5
SF3B3,unspecified,1
SLC25A13,unspecified,1
LGALS3,Negative,3
NOS1,Negative,17
LAMA4,Positive,1
NEK1,unspecified,60
CCNE2,Negative,60
HSD17B12,Negative,1
FABP1,unspecified,19
LCT,unspecified,1
HSDL2,unspecified,1
INS,unspecified,4
DDB1,Negative,2
ALOX5,Positive,2
thrombin,unspecified,1
SLC6A4,unspecified,672
GBA3,Negative,4
Casein kinase 1 Delta,unspecified,2
MPL,Positive,2
NLRP3,Positive,1
ACVRL1,Negative,2
FBXL4,Positive,1
AURKB,unspecified,65
TRPC6,Negative,4
ZP2,Positive,1
EDN1,Positive,1
B lymphoid tyrosine kinase,unspecified,1
KCNA3,Negative,6
CHSY1,Positive,1
LAMB3,Positive,1
TOP2A,unspecified,10
UGT2B17,Negative,6
IGF2R,unspecified,1
Th2 cytokine,unspecified,1
SLC9A5,Negative,1
Retinoid receptor,unspecified,2
FAM103A1,unspecified,1
SFTPA1,unspecified,1
CACNG7,Negative,2
CAR7,unspecified,4
integrin,unspecified,5
Nischarin,unspecified,1
CYP17A1,Positive,1
Norepinephrine transporter,unspecified,57
MAX,Positive,1
PCK2,unspecified,1
SF3B3,Positive,1
NR1H2,Positive,20
RPL29,unspecified,1
LPAR1,unspecified,3
50S ribosomal subunit,unspecified,11
FBXO39,Positive,1
SCNM1,unspecified,1
ALDH3A1,Positive,1
ACSS2,unspecified,1
IDE,unspecified,7
CYSLTR1,unspecified,615
MGLL,unspecified,2
IMPDH2,Positive,1
FCN1,unspecified,1
5-Lipoxygenase,unspecified,1
TMEM35B,unspecified,1
ADNP,Positive,1
DEFB103B,unspecified,1
TF,Negative,3
Ito,unspecified,1
BPIFB1,unspecified,1
ABCC3,Positive,3
EGF,unspecified,10
HES1,Positive,1
F7,Negative,5
SPEN,Positive,1
AVL9,Positive,1
AVP,unspecified,1
DGAT1,Negative,3
TRPM8,Positive,18
FUT9,Negative,2
PLA2G,unspecified,1
TEKT5,Positive,1
SPTBN1,unspecified,1
ROCK2,unspecified,57
TARS2,unspecified,1
TBXA2R,unspecified,16
KCNB2,Negative,6
DRD5,unspecified,51
PGE2,unspecified,1
MUSK,unspecified,64
APRT,unspecified,1
SMAD3,Negative,439
EDN1,Negative,2
APOBEC3G,Negative,95
KYNU,Negative,2
S100A8,unspecified,1
PDGFRA,Negative,97
GRM8,Negative,3
HSPA1B,unspecified,2
CSRP2,unspecified,1
HTR1,unspecified,1
LRFN3,Positive,1
RIPK1,Negative,1
F2RL3,unspecified,1
TRHR2,Positive,1
CAT,Negative,5
ADIPOR2,Positive,1
NADPH,unspecified,4
SULT1E1,Negative,2
KCNK2,Negative,12
GH1,unspecified,1
SMARCD3,Positive,1
SLCO2A1,Negative,6
ACVR2A,unspecified,60
HTR1E,unspecified,39
ZFP235,Positive,1
,Negative,39
TSPO,unspecified,14
NR1H2,unspecified,2
SDHA,Negative,1
GSTZ1,unspecified,2
LGALS4,Positive,1
LPAR2,unspecified,1
EP300,Negative,9
STOX2,Positive,1
SULT1B1,Positive,1
DYRK1A,Negative,61
NMUR1,Positive,2
APBB3,unspecified,1
MMP3,Negative,46
HSPA5,unspecified,118
RARA,Positive,14
WRN,Negative,71
MKNK2,Negative,90
CTSV,Negative,1
PLK2,unspecified,57
ATM,Negative,7
ATXN1L,unspecified,1
HK1,Positive,4
RELA,unspecified,65
TCF21,unspecified,1
CYP26A1,Negative,4
CDK2,Negative,132
GPR35,Negative,14
GSTM3,unspecified,1
UCP2,Positive,3
LSMEM1,unspecified,1
DDR2,unspecified,60
C11ORF96,unspecified,1
PAK6,unspecified,108
PRLR,unspecified,1
GRM6,Positive,2
EBF1,Positive,1
CCND1,Positive,1
EGLN1,unspecified,11
GCKR,Positive,1
KDM5B,Negative,2
hydroxylase,unspecified,3
NFKBIB,unspecified,3
CAPN2,Negative,1
ATP5A1,unspecified,3
Survivin,unspecified,1
BLVRA,Negative,1
ADH1C,Negative,2
TMPRSS4,Negative,2
DUSP10,Negative,2
ITGB2,unspecified,6
WRN,Positive,1
CDC6,Positive,1
MAPK13,unspecified,58
RGS12,Negative,5
IL6R,Negative,3
PUS1,Positive,1
PPP2R2D,Positive,1
ADRA2 antagonist,unspecified,1
LPAR2,Negative,2
cell division inhibitor,unspecified,1
LPAR1,Negative,2
ULK3,Negative,58
ALDH1A3,Negative,3
SLC16A2,Negative,7
BCL2L1,Negative,9
CXCR5,Negative,1
DNAJA1,unspecified,1
LGR6,Positive,1
TACC2,Positive,1
MAP2K5,unspecified,56
CD36,Positive,1
XIAP,Negative,4
CATSPER2,Negative,1
SLC6A1,Positive,3
ITGAV,Negative,4
SERPINC1,unspecified,3
TRP53,unspecified,3
PARP3,Negative,5
FANCM,unspecified,1
HTR6,Negative,32
CHMP1B,unspecified,1
EYA1,Positive,1
CHRNE,Positive,5
SRD5A1,Negative,10
pbpA,unspecified,8
SLC15A2,Negative,6
PTCD1,Positive,1
DDX31,Positive,1
TK2,unspecified,3
FEN1,Negative,291
ABCC2,unspecified,35
NDUFC2,Negative,2
TRPC5,Positive,4
BCL2L1,unspecified,10
CHRNA9,Negative,3
TLR7,Negative,5
CHPT1,Positive,1
ALAS1,unspecified,1
TRABD,unspecified,1
PTMA,unspecified,1
WDR73,Positive,1
SYT8,Positive,1
Glycine,unspecified,1
RHBDF1,unspecified,1
SPECC1L,Positive,1
RGS19,Negative,1
UGT2B10,unspecified,23
GJA5,Negative,3
FAK,unspecified,4
MAP2,Negative,2
phytoestrogen,unspecified,1
PPARA,Negative,19
SHMT1,unspecified,1
GSR,unspecified,3
CSK,Negative,97
CHRNA9,Positive,1
PGK1,unspecified,2
F2,unspecified,13
MAP3K4,Positive,1
PDE1C,unspecified,3
PTK2B,Negative,68
JAK,unspecified,16
P2RX4,Positive,1
PPARD,unspecified,24
CHRNA3,Positive,11
Telomerase,unspecified,1
LTBP1,Positive,1
ponA,Negative,1
HEXA,unspecified,2
ABAT,Positive,4
UGT2B1,unspecified,1
TFAP2C,unspecified,1
Dopamine D1B,unspecified,4
GRM5,unspecified,14
SCGB2A1,unspecified,1
TMEM131,Positive,1
KCNN3,Negative,7
TH,unspecified,3
CCND1,Negative,10
p53,unspecified,9
HTR1F,Negative,4
CYP1B1,Negative,30
CYP2B6,Positive,7
phospholipase,unspecified,1
SH3PXD2A,unspecified,1
STK17A,unspecified,107
FKBP1A,Negative,67
TIE1,unspecified,60
NPPB,unspecified,4
HMTase,unspecified,1
INHBA,Positive,1
TRPC5,Negative,5
IKv1.1,unspecified,1
MAP3K6,unspecified,56
RDH5,Positive,1
NAT2,Positive,1
KEAP1,Negative,14
FGF21,Positive,1
ARF1,Negative,1
CACNG3,unspecified,2
PDE4B,Negative,28
AFP,unspecified,23
HIPK3,Negative,86
HTR2A,Positive,40
FAM171A1,Positive,1
DTWD1,Positive,1
CACNA1L,unspecified,11
PDSS1,Positive,1
FDPS,Negative,10
SEL1L3,unspecified,1
NDUFB8,Negative,2
PRPP Amidotransferase,unspecified,1
SSX3,unspecified,1
MAPK3,unspecified,119
ERBB3,unspecified,57
CLDN23,Positive,1
PLEC,unspecified,1
TLR7,Positive,3
PR agonist,unspecified,1
histamine,unspecified,2
PDE4,unspecified,2
SLC9A3,unspecified,1
SLC22A11,Negative,33
ALDH,unspecified,2
MAP3K9,unspecified,60
adrenergic agonist,unspecified,2
CHGA,unspecified,1
PRMT7,Negative,1
"Cholinergic, Nicotinic Alpha4Beta4",unspecified,8
TOP2,unspecified,2
MMP9,unspecified,11
PTPRE,Negative,1
CUL4A,Negative,2
MYH3,Positive,1
DNM1L,Negative,1
CCR5,unspecified,616
GABRR1,unspecified,1
POU3F4,Positive,1
DYNLL2,unspecified,1
BBS9,Positive,1
GJB1,Negative,3
YES1,Negative,163
GSK3B,unspecified,102
RAB3A,Positive,1
Adrenergic Alpha,unspecified,32
KDM1A,Negative,9
CHRM,unspecified,19
ADAM9,Negative,1
TNNI2,Positive,1
Thrombopoiesis,unspecified,1
CYP3A11,Positive,2
SNX24,unspecified,1
ARL2,Positive,1
CASP10,Negative,1
Leukotriene 2,unspecified,1
GABRA2,Negative,7
SLCO1A4,Negative,2
ALDH1A1,unspecified,5
Hemozoin synthesis,unspecified,1
SZRD1,unspecified,1
CCL5,unspecified,2
MMP12,unspecified,4
ARHGAP36,unspecified,1
NSUN3,Positive,1
CLCNKA,unspecified,2
GPR,unspecified,3
TUBB2B,Negative,19
COX-2,unspecified,35
SLC16A1,Negative,25
VLDLR,Positive,1
SIK1,unspecified,1
CYP3A23/3A1,Positive,1
MAP3K1,Negative,2
GCG,Positive,2
SLC2A1,Negative,4
GJA8,Negative,3
CCNG2,unspecified,1
PTGR1,Positive,1
CRIP1,Positive,1
BECN1,unspecified,2
PLA2G5,Negative,1
FAM160B1,Positive,1
GNRHR,Positive,8
NAAA,Negative,1
Tyrosine kinase receptor ron,unspecified,1
CDC25B,Negative,13
RAMP1,Negative,1
RPS6,Positive,1
HSD3B2,unspecified,1
TNK1,unspecified,64
CYP2D3,Negative,6
XDH,Positive,4
EPHX2,unspecified,1
RAD1,Negative,1
SCNN1A,Positive,1
CTSD,Negative,11
GRIK,unspecified,1
RPL38,unspecified,1
GRB2,Negative,1
AGPAT3,Positive,1
5-HT2C-INI,unspecified,3
CDK,unspecified,16
CAMP,Positive,1
CDH1,unspecified,1
ITGB5,unspecified,2
RARB,unspecified,10
BMP1,Negative,1
ABCC11,Negative,9
GABRD,Negative,28
SEC14L4,Positive,1
TOP2B,Negative,5
MBNL1,Negative,297
GDF15,Positive,4
ASMTL,unspecified,1
TIRAP,Positive,1
HDAC10,Negative,63
ZNF77,unspecified,1
ACACA,Negative,1
SEPT9,unspecified,1
DAPK2,unspecified,68
GNRHR,Negative,3
JSRP1,unspecified,1
STK39,Positive,1
HMGCR,Negative,630
SULT1A2,unspecified,2
KCNK9,Negative,4
nfsA,unspecified,1
PRKD3,Negative,9
TAF7,unspecified,1
BCAT1,unspecified,3
UBFD1,unspecified,1
ALOX5,unspecified,20
CHRNB1,unspecified,3
Xanthine Oxidase,unspecified,5
Motilin,unspecified,1
GluR,unspecified,15
OPRS1,unspecified,2
A2M,Positive,1
ADRA1,unspecified,28
PLK1,Negative,299
KCNJ6,Negative,14
ESR2,Positive,51
TNNI1,Positive,1
GABAR,unspecified,27
gap junction,unspecified,1
DNMT,unspecified,2
CACNA1G,unspecified,13
DCXR,unspecified,1
IGFALS,Positive,1
SNAPC1,Positive,1
AKT inhibitor,unspecified,1
AP2S1,unspecified,1
ZBTB43,unspecified,1
5-HT4d,unspecified,1
PIK3CA,Negative,41
blaZ,Negative,1
IL6ST,Negative,3
