INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
DTXSID50658272,DSSTox_Substance_Id,DTXSID50658272,5-Chloro-2-[4-(methanesulfonyl)phenyl]-3-(pyridin-3-yl)-4H-pyran-4-one,CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)C(Cl)=CO1)C1=CN=CC=C1
DTXSID70658274,DSSTox_Substance_Id,DTXSID70658274,5-Chloro-2-[4-(methanesulfonyl)phenyl]-3-phenyl-4H-pyran-4-one,CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)C(Cl)=CO1)C1=CC=CC=C1
DTXSID90204434,DSSTox_Substance_Id,DTXSID90204434,Bisfenazone [INN:DCF],CC(C)C1=C(CNC2=C(C)N(C)N(C2=O)C2=CC=CC=C2)N(C)N(C1=O)C1=CC=CC=C1
DTXSID5022803,DSSTox_Substance_Id,DTXSID5022803,Chlorphenesin carbamate,NC(=O)OCC(O)COC1=CC=C(Cl)C=C1
DTXSID2057578,DSSTox_Substance_Id,DTXSID2057578,beta-Boswellic acid,C[C@@H]1CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@@H](O)[C@@](C)([C@@H]5CC[C@@]34C)C(O)=O)[C@@H]2[C@H]1C
DTXSID60677378,DSSTox_Substance_Id,DTXSID60677378,"2-(1,3-Diphenyl-1H-pyrazol-4-yl)-5-phenyl-1,3,4-oxadiazole",O1C(=NN=C1C1=CC=CC=C1)C1=CN(N=C1C1=CC=CC=C1)C1=CC=CC=C1
DTXSID70466376,DSSTox_Substance_Id,DTXSID70466376,"3-[3-[2-(3,4,5-trimethoxyanilino)pyrrolo[2,3-d]pyrimidin-7-yl]phenyl]propanenitrile",COC1=CC(NC2=NC=C3C=CN(C3=N2)C2=CC=CC(CCC#N)=C2)=CC(OC)=C1OC
DTXSID60355381,DSSTox_Substance_Id,DTXSID60355381,2-acetamido-5-chloropyridine,CC(=O)NC1=NC=C(Cl)C=C1
DTXSID10400274,DSSTox_Substance_Id,DTXSID10400274,5-(5-Bromo-3-pyridyl)-1H-tetrazole,BrC1=CN=CC(=C1)C1=NNN=N1
DTXSID40353188,DSSTox_Substance_Id,DTXSID40353188,"5-(4-pyridyl)-1,3-oxazole",O1C=NC=C1C1=CC=NC=C1
DTXSID90322460,DSSTox_Substance_Id,DTXSID90322460,4-quinazolin-4-ylmorpholine,C1CN(CCO1)C1=NC=NC2=CC=CC=C12
DTXSID40359307,DSSTox_Substance_Id,DTXSID40359307,"3-Methyl-4-oxo-4,5,6,7-tetrahydro-1H-indole-2-carboxylic acid",CC1=C(NC2=C1C(=O)CCC2)C(O)=O
DTXSID20178533,DSSTox_Substance_Id,DTXSID20178533,"Pyridine, 2-(2-(dimethylamino)ethylamino)-",CN(C)CCNC1=CC=CC=N1
DTXSID00498802,DSSTox_Substance_Id,DTXSID00498802,4-(Pyridin-3-yl)pyrimidin-2-amine,NC1=NC=CC(=N1)C1=CN=CC=C1
DTXSID20236607,DSSTox_Substance_Id,DTXSID20236607,Sigmoidin A,CC(C)=CCC1=CC([C@@H]2CC(=O)C3=C(O)C=C(O)C=C3O2)=C(CC=C(C)C)C(O)=C1O
DTXSID5029188,DSSTox_Substance_Id,DTXSID5029188,1-Triacontanol,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO
DTXSID50575192,DSSTox_Substance_Id,DTXSID50575192,3-(Carboxymethoxy)thiophene-2-carboxylic acid,OC(=O)COC1=C(SC=C1)C(O)=O
DTXSID50191270,DSSTox_Substance_Id,DTXSID50191270,Phaseollidin,CC(C)=CCC1=C(O)C=CC2=C1O[C@@H]1[C@H]2COC2=C1C=CC(O)=C2
DTXSID90203543,DSSTox_Substance_Id,DTXSID90203543,Afromosin,COC1=CC=C(C=C1)C1=COC2=CC(O)=C(OC)C=C2C1=O
DTXSID9042041,DSSTox_Substance_Id,DTXSID9042041,Glycerol monopalmitate,N/A
DTXSID70167957,DSSTox_Substance_Id,DTXSID70167957,"Disodium naphthalene-2,6-disulphonate",[Na+].[Na+].[O-]S(=O)(=O)C1=CC2=C(C=C1)C=C(C=C2)S([O-])(=O)=O
DTXSID80331864,DSSTox_Substance_Id,DTXSID80331864,Ohioensin A,OC1=CC2=C(C=C1)C1=C3[C@@H]4[C@H](CC(=O)C3=C(O)C=C1O)C1=CC=CC=C1O[C@@H]24
DTXSID70219869,DSSTox_Substance_Id,DTXSID70219869,Iodoxybenzene,O=[I](=O)C1=CC=CC=C1
DTXSID30438317,DSSTox_Substance_Id,DTXSID30438317,"Benzene, 1-iodyl-3-nitro-",[O-][N+](=O)C1=CC(=CC=C1)[I](=O)=O
DTXSID10331832,DSSTox_Substance_Id,DTXSID10331832,5'-Prenylhomoeriodictyol,COC1=CC(=CC(CC=C(C)C)=C1O)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1
DTXSID40197322,DSSTox_Substance_Id,DTXSID40197322,Canthin-6-one,O=C1C=CC2=NC=CC3=C2N1C1=CC=CC=C31
DTXSID60472865,DSSTox_Substance_Id,DTXSID60472865,"2,7-Naphthalenedicarboxylic acid",OC(=O)C1=CC2=C(C=C1)C=CC(=C2)C(O)=O
DTXSID5063730,DSSTox_Substance_Id,DTXSID5063730,"1,3,6-Naphthalenetrisulfonic acid, trisodium salt",[Na+].[Na+].[Na+].[O-]S(=O)(=O)C1=CC2=CC(=CC(=C2C=C1)S([O-])(=O)=O)S([O-])(=O)=O
DTXSID00156834,DSSTox_Substance_Id,DTXSID00156834,"1,2-Benziodoxole, 1,3-dihydro-1-hydroxy-3-oxo-",O[I]1OC(=O)C2=CC=CC=C12
DTXSID90439688,DSSTox_Substance_Id,DTXSID90439688,[difluoro(naphthalen-2-yl)methyl]phosphonic acid,OP(O)(=O)C(F)(F)C1=CC2=CC=CC=C2C=C1
DTXSID7041255,DSSTox_Substance_Id,DTXSID7041255,"1,5-Naphthalenedisulfonic acid, disodium salt",[Na+].[Na+].[O-]S(=O)(=O)C1=CC=CC2=C1C=CC=C2S([O-])(=O)=O
DTXSID00210723,DSSTox_Substance_Id,DTXSID00210723,O-Iodoxybenzoic acid,O[I]1(=O)OC(=O)C2=CC=CC=C12
DTXSID20152358,DSSTox_Substance_Id,DTXSID20152358,3'-Prenylnaringenin,CC(C)=CCC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1
DTXSID80561583,DSSTox_Substance_Id,DTXSID80561583,"Dipotassium naphthalene-2,6-dicarboxylate",[K+].[K+].[O-]C(=O)C1=CC2=C(C=C1)C=C(C=C2)C([O-])=O
DTXSID60147642,DSSTox_Substance_Id,DTXSID60147642,Sigmoidin D,CC1(C)OC2=C(C[C@@H]1O)C=C(C=C2O)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1
DTXSID60236606,DSSTox_Substance_Id,DTXSID60236606,Sigmoidin B,CC(C)=CCC1=C(O)C(O)=CC(=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1
DTXSID50453209,DSSTox_Substance_Id,DTXSID50453209,"1-(tert-Butylperoxy)-1lambda~3~,2-benziodoxol-3(1H)-one",CC(C)(C)OO[I]1OC(=O)C2=CC=CC=C12
DTXSID30174682,DSSTox_Substance_Id,DTXSID30174682,Oxovanadium IV,O=[V++]
DTXSID10168100,DSSTox_Substance_Id,DTXSID10168100,"9H-Pyrido(3,4-b)indole-3-carboxylic acid, 1-methyl-, methyl ester",COC(=O)C1=NC(C)=C2NC3=CC=CC=C3C2=C1
DTXSID70563192,DSSTox_Substance_Id,DTXSID70563192,2-(4-Hydroxyphenyl)ethyl 4-methoxybenzoate,COC1=CC=C(C=C1)C(=O)OCCC1=CC=C(O)C=C1
DTXSID30199653,DSSTox_Substance_Id,DTXSID30199653,(+)-Shikonin,CC(C)=CC[C@@H](O)C1=CC(=O)C2=C(O)C=CC(O)=C2C1=O
DTXSID2027204,DSSTox_Substance_Id,DTXSID2027204,Methyl isothiocyanate,CN=C=S
DTXSID0052679,DSSTox_Substance_Id,DTXSID0052679,Aluminium hydroxide oxide,O[Al]=O
DTXSID50418510,DSSTox_Substance_Id,DTXSID50418510,AURICULASIN,CC(C)=CCC1=C2OC(C)(C)C=CC2=C(O)C2=C1OC=C(C2=O)C1=CC(O)=C(O)C=C1
DTXSID30236335,DSSTox_Substance_Id,DTXSID30236335,Triacetoxyperiodinane,CC(=O)O[I]1(OC(C)=O)(OC(C)=O)OC(=O)C2=CC=CC=C12
DTXSID90432290,DSSTox_Substance_Id,DTXSID90432290,CHEBI:66699,COC1=CC2=C(C=C1)C1=C3N2C(=O)C=CC3=NC=C1
DTXSID40393544,DSSTox_Substance_Id,DTXSID40393544,3-Iodyl-benzoic acid,OC(=O)C1=CC(=CC=C1)[I](=O)=O
DTXSID60176795,DSSTox_Substance_Id,DTXSID60176795,Guajaverin,O[C@H]1CO[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@H]1O
DTXSID90171076,DSSTox_Substance_Id,DTXSID90171076,"6H-Indolo(3,2,1-de)(1,5)naphthyridin-6-one, 4,5-dimethoxy-",COC1=C(OC)C2=NC=CC3=C2N(C2=CC=CC=C32)C1=O
DTXSID50208938,DSSTox_Substance_Id,DTXSID50208938,"3,5,7-Trihydroxy-2-(4-hydroxy-phenyl)-6-(3-methyl-but-2-enyl)-1-benzopyran-4-one",CC(C)=CCC1=C(O)C=C2OC(=C(O)C(=O)C2=C1O)C1=CC=C(O)C=C1
DTXSID00419310,DSSTox_Substance_Id,DTXSID00419310,NSC149848,COCC1=NC=CC2=C1NC1=CC=CC=C21
DTXSID90181150,DSSTox_Substance_Id,DTXSID90181150,"9H-Pyrido(3,4-b)indole, 1-ethyl-4-methoxy-",CCC1=NC=C(OC)C2=C1NC1=CC=CC=C21
DTXSID20389763,DSSTox_Substance_Id,DTXSID20389763,"1-Isopropyl-2,3,4,9-tetrahydro-1H-beta-carboline-3-carboxylic acid",CC(C)C1NC(CC2=C1NC1=CC=CC=C21)C(O)=O
DTXSID50160946,DSSTox_Substance_Id,DTXSID50160946,Uralenol,CC(C)=CCC1=C(O)C(O)=CC(=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1
DTXSID50415746,DSSTox_Substance_Id,DTXSID50415746,"1-Ethenyl-4,8-dimethoxy-9H-beta-carboline",COC1=CC=CC2=C1NC1=C2C(OC)=CN=C1C=C
DTXSID20872408,DSSTox_Substance_Id,DTXSID20872408,18alpha-Glycyrrhetinic acid,CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@H]3C[C@](C)(CC[C@]3(C)CC[C@@]12C)C(O)=O
DTXSID40203619,DSSTox_Substance_Id,DTXSID40203619,Liquiritin,OC[C@H]1O[C@@H](OC2=CC=C(C=C2)[C@@H]2CC(=O)C3=C(O2)C=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]1O
DTXSID10415722,DSSTox_Substance_Id,DTXSID10415722,"9H-pyrido[3,4-b]indole-1-carbaldehyde",O=CC1=NC=CC2=C1NC1=CC=CC=C21
DTXSID00616928,DSSTox_Substance_Id,DTXSID00616928,"1-(4-Methoxy-9H-beta-carbolin-1-yl)ethane-1,2-diol",COC1=CN=C(C(O)CO)C2=C1C1=CC=CC=C1N2
DTXSID60282901,DSSTox_Substance_Id,DTXSID60282901,"n,n'-biphenyl-4,4'-diyldibenzamide",O=C(NC1=CC=C(C=C1)C1=CC=C(NC(=O)C2=CC=CC=C2)C=C1)C1=CC=CC=C1
DTXSID50353275,DSSTox_Substance_Id,DTXSID50353275,"Methyl 4'-amino[1,1'-biphenyl]-4-carboxylate",COC(=O)C1=CC=C(C=C1)C1=CC=C(N)C=C1
DTXSID90162166,DSSTox_Substance_Id,DTXSID90162166,Glyinflanin B,CC1(C)OC2=CC(O)=C(C=C2C=C1)C(=O)CC(=O)C1=CC=C(O)C=C1
DTXSID60347069,DSSTox_Substance_Id,DTXSID60347069,1-(4-Methoxy-9H-beta-carbolin-1-yl)ethan-1-one,COC1=CN=C(C(C)=O)C2=C1C1=CC=CC=C1N2
DTXSID20237937,DSSTox_Substance_Id,DTXSID20237937,"3-(9H-Pyrido(3,4-b)indol-1-yl)propanoic acid",OC(=O)CCC1=NC=CC2=C1NC1=CC=CC=C21
DTXSID30176868,DSSTox_Substance_Id,DTXSID30176868,1-Methyl-beta-carboline-3-carboxylic acid,CC1=C2NC3=CC=CC=C3C2=CC(=N1)C(O)=O
DTXSID70422199,DSSTox_Substance_Id,DTXSID70422199,"9H-Pyrido[3,4-b]indole-3-carboxylic acid, 1-ethyl-, methyl ester",CCC1=C2NC3=CC=CC=C3C2=CC(=N1)C(=O)OC
DTXSID60365662,DSSTox_Substance_Id,DTXSID60365662,STK848494,CCOC(=O)C(=O)NC1=NC2=CC=CC=C2S1
DTXSID60389762,DSSTox_Substance_Id,DTXSID60389762,"1-Ethyl-2,3,4,9-tetrahydro-1H-beta-carboline-3-carboxylic acid",CCC1NC(CC2=C1NC1=CC=CC=C21)C(O)=O
DTXSID00419315,DSSTox_Substance_Id,DTXSID00419315,"(E)-3-(1,3-benzodioxol-5-yl)-1-(4-nitrophenyl)prop-2-en-1-one",[O-][N+](=O)C1=CC=C(C=C1)C(=O)\C=C\C1=CC2=C(OCO2)C=C1
DTXSID90466393,DSSTox_Substance_Id,DTXSID90466393,"3,4-dibromo-5-[(2,3-dibromo-4,5-dihydroxyphenyl)methyl]benzene-1,2-diol",OC1=C(O)C(Br)=C(Br)C(CC2=CC(O)=C(O)C(Br)=C2Br)=C1
DTXSID20357003,DSSTox_Substance_Id,DTXSID20357003,"Diethyl 2,5-diaminothiophene-3,4-dicarboxylate",CCOC(=O)C1=C(N)SC(N)=C1C(=O)OCC
DTXSID20233797,DSSTox_Substance_Id,DTXSID20233797,"Acetic acid, ((6-methyl-2-benzothiazolyl)amino)oxo-, ethyl ester",CCOC(=O)C(=O)NC1=NC2=C(S1)C=C(C)C=C2
DTXSID70188208,DSSTox_Substance_Id,DTXSID70188208,"9H-Pyrido(3,4-b)indole-1-carboxylic acid, methyl ester",COC(=O)C1=NC=CC2=C1NC1=CC=CC=C21
DTXSID6059609,DSSTox_Substance_Id,DTXSID6059609,"2,7-Naphthalenedisulfonic acid, 4,5-dihydroxy-, disodium salt",[Na+].[Na+].OC1=CC(=CC2=CC(=CC(O)=C12)S([O-])(=O)=O)S([O-])(=O)=O
DTXSID40369926,DSSTox_Substance_Id,DTXSID40369926,"26,28-Dipropoxypentacyclo[19.3.1.1~3,7~.1~9,13~.1~15,19~]octacosa-1(25),3(28),4,6,9(27),10,12,15(26),16,18,21,23-dodecaene-25,27-diol",CCCOC1=C2CC3=CC=CC(CC4=C(OCCC)C(CC5=C(O)C(CC1=CC=C2)=CC=C5)=CC=C4)=C3O
DTXSID80173963,DSSTox_Substance_Id,DTXSID80173963,"Urs-12-en-28-oic acid, 3,19,23-trihydroxy-, (3beta,4alpha)-",C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]34C)[C@@H]2[C@]1(C)O)C(O)=O
DTXSID00596130,DSSTox_Substance_Id,DTXSID00596130,"1-Cyclopropyl-6-fluoro-4-oxo-1,4-dihydroquinoline-3-carboxylic acid",OC(=O)C1=CN(C2CC2)C2=C(C=C(F)C=C2)C1=O
DTXSID80446780,DSSTox_Substance_Id,DTXSID80446780,"2,9-Dihydro-1H-beta-carbolin-1-one",O=C1NC=CC2=C1NC1=CC=CC=C21
DTXSID50332484,DSSTox_Substance_Id,DTXSID50332484,"bis(3,4-dihydroxyphenyl)methanone",OC1=C(O)C=C(C=C1)C(=O)C1=CC(O)=C(O)C=C1
DTXSID00209576,DSSTox_Substance_Id,DTXSID00209576,"6H-Indolo(3,2,1-de)(1,5)naphthyridin-6-one, 1-methoxy-",COC1=CN=C2C=CC(=O)N3C4=CC=CC=C4C1=C23
DTXSID80225951,DSSTox_Substance_Id,DTXSID80225951,"3H-Indolo(3,2,1-de)(1,5)naphthyridine-2,6-dione, 3-methoxy-",CON1C(=O)C=C2C3=CC=CC=C3N3C2=C1C=CC3=O
DTXSID80173948,DSSTox_Substance_Id,DTXSID80173948,"9H-Pyrido(3,4-b)indole, 1-ethyl-",CCC1=NC=CC2=C1NC1=CC=CC=C21
DTXSID70348587,DSSTox_Substance_Id,DTXSID70348587,"1-(9H-pyrido[3,4-b]indol-1-yl)ethanone",CC(=O)C1=NC=CC2=C1NC1=CC=CC=C21
DTXSID5045093,DSSTox_Substance_Id,DTXSID5045093,Procodazole,OC(=O)CCC1=NC2=C(N1)C=CC=C2
DTXSID10409207,DSSTox_Substance_Id,DTXSID10409207,NSC114792,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CN1C=NC2=C1NC=NC2=S
DTXSID00392250,DSSTox_Substance_Id,DTXSID00392250,NSC58612,NC(CC1=CNC2=C1C=C(C=C2)[N+]([O-])=O)C(O)=O
DTXSID30279868,DSSTox_Substance_Id,DTXSID30279868,8-Theophyllinepropionic acid,CN1C2=C(NC(CCC(O)=O)=N2)C(=O)N(C)C1=O
DTXSID40293459,DSSTox_Substance_Id,DTXSID40293459,3-Pyridinepropionic acid,OC(=O)CCC1=CN=CC=C1
DTXSID50170863,DSSTox_Substance_Id,DTXSID50170863,(p-tert-Butylphenoxy)acetic acid,CC(C)(C)C1=CC=C(OCC(O)=O)C=C1
DTXSID60181384,DSSTox_Substance_Id,DTXSID60181384,3-Cyclohexylaminopropionic acid,OC(=O)CCNC1CCCCC1
DTXSID70222510,DSSTox_Substance_Id,DTXSID70222510,"2-(2-(3,5-Dihydroxy-1,2,4-triazin-6-yl)phenyl)-3,5-dioxo-2,3,4,5-tetrahydro-1,2,4-triazine-6-carboxylic acid",OC(=O)C1=NN(C(=O)NC1=O)C1=CC=CC=C1C1=NNC(=O)NC1=O
DTXSID90288118,DSSTox_Substance_Id,DTXSID90288118,"7h-purine-2,8-diamine",NC1=NC2=NC(N)=NC=C2N1
DTXSID20418704,DSSTox_Substance_Id,DTXSID20418704,"1H-Pyrrolo[2,3-b]pyridine-3-carbaldehyde",O=CC1=CNC2=C1C=CC=N2
DTXSID10419422,DSSTox_Substance_Id,DTXSID10419422,NSC182400,OC(=O)C1=NC2=C(N1)N=C(Cl)C(Cl)=N2
DTXSID10278475,DSSTox_Substance_Id,DTXSID10278475,Red Violet 2RN Acid Anthraquinone,OC(=O)C1=C(NC2=CC=CC=C2)C2=C(C=C1)C(=O)C1=CC=CC=C1C2=O
DTXSID50278959,DSSTox_Substance_Id,DTXSID50278959,3-Chloro-7-methoxy-9-cyanoacridine,COC1=CC2=C(C#N)C3=C(C=C(Cl)C=C3)N=C2C=C1
DTXSID30287443,DSSTox_Substance_Id,DTXSID30287443,MLS002667430,O=C1NC(=O)C=C(N1)C1=NNN=N1
DTXSID40284766,DSSTox_Substance_Id,DTXSID40284766,8-benzylsulfanyl-7H-purine,C(SC1=NC2=NC=NC=C2N1)C1=CC=CC=C1
DTXSID30182722,DSSTox_Substance_Id,DTXSID30182722,"Theophylline, 8-isopropyl-",CC(C)C1=NC2=C(N1)C(=O)N(C)C(=O)N2C
DTXSID60285472,DSSTox_Substance_Id,DTXSID60285472,MLS000737050,CCCCSC1=NC(N)=NC(C)=C1
DTXSID60286787,DSSTox_Substance_Id,DTXSID60286787,NSC47617,OC(=O)C1OCC2(CO1)COC(OC2)C(O)=O
DTXSID90202793,DSSTox_Substance_Id,DTXSID90202793,"N,N'-Bis(6-methyl-2-pyridinyl)thiourea",CC1=NC(NC(=S)NC2=CC=CC(C)=N2)=CC=C1
DTXSID30284619,DSSTox_Substance_Id,DTXSID30284619,NSC38042,CC(=O)NC1=C(C)C=C(OCC(O)=O)C=C1C
DTXSID00292327,DSSTox_Substance_Id,DTXSID00292327,MLS000737094,CN1C2=C(NC(CNC3=CC=C(C=C3)C(O)=O)=N2)C(=O)N(C)C1=O
DTXSID40212665,DSSTox_Substance_Id,DTXSID40212665,5-Amino-4-cyclohexylisoxazol-3(2H)-one,NC1=C(C2CCCCC2)C(=O)NO1
DTXSID00279956,DSSTox_Substance_Id,DTXSID00279956,"1h-naphtho[2,3-d]imidazole-4,9-dione",O=C1C2=C(N=CN2)C(=O)C2=CC=CC=C12
DTXSID10202396,DSSTox_Substance_Id,DTXSID10202396,Methyl fluorone black,CC1=C2C=C(O)C(=O)C=C2OC2=CC(O)=C(O)C=C12
DTXSID40170771,DSSTox_Substance_Id,DTXSID40170771,Myricitrin,C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H](O)[C@H]1O
DTXSID40471417,DSSTox_Substance_Id,DTXSID40471417,[Bromo(Phenyl)Methyl]Phosphonic Acid,OP(O)(=O)C(Br)C1=CC=CC=C1
DTXSID10418970,DSSTox_Substance_Id,DTXSID10418970,"5,7-Dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-3-methoxy-4H-1-benzopyran-4-one",COC1=C(O)C=C(C=C1)C1=C(OC)C(=O)C2=C(O)C=C(O)C=C2O1
DTXSID70419827,DSSTox_Substance_Id,DTXSID70419827,"7,3',4',5'-Tetrahydroxyflavone",OC1=CC2=C(C=C1)C(=O)C=C(O2)C1=CC(O)=C(O)C(O)=C1
DTXSID30197710,DSSTox_Substance_Id,DTXSID30197710,alpha-D-Glucopyranose,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
DTXSID70171897,DSSTox_Substance_Id,DTXSID70171897,CP-91149,CN(C)C(=O)[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CC2=C(N1)C=CC(Cl)=C2
DTXSID90435160,DSSTox_Substance_Id,DTXSID90435160,Glycogen Phosphorylase Inhibitor,CNC(=O)NC1=CC(NC(=O)NC(=O)C2=CC(F)=C(F)C=C2Cl)=C(OC)C=C1
DTXSID90889321,DSSTox_Substance_Id,DTXSID90889321,alpha-D-Glucose 1-phosphate,OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O
DTXSID70872554,DSSTox_Substance_Id,DTXSID70872554,Disodium monofluorophosphate,[Na+].[Na+].[O-]P([O-])(F)=O
DTXSID90328386,DSSTox_Substance_Id,DTXSID90328386,NSC 23766 trihydrochloride,Cl.Cl.Cl.CCN(CC)CCCC(C)NC1=NC(C)=CC(NC2=CC3=C(N)C=C(C)N=C3C=C2)=N1
DTXSID40352156,DSSTox_Substance_Id,DTXSID40352156,"3-Chloro-4-morpholin-4-yl-1-phenyl-pyrrole-2,5-dione",ClC1=C(N2CCOCC2)C(=O)N(C1=O)C1=CC=CC=C1
DTXSID80359902,DSSTox_Substance_Id,DTXSID80359902,3-(benzylsulfamoyl)-4-bromo-N-(4-bromophenyl)benzamide,BrC1=CC=C(NC(=O)C2=CC(=C(Br)C=C2)S(=O)(=O)NCC2=CC=CC=C2)C=C1
DTXSID70442271,DSSTox_Substance_Id,DTXSID70442271,"Benzoic acid, 4-[5-(4,5,7-trimethyl-2-benzofuranyl)-1H-pyrrol-2-yl]-",CC1=C2OC(=CC2=C(C)C(C)=C1)C1=CC=C(N1)C1=CC=C(C=C1)C(O)=O
DTXSID70439469,DSSTox_Substance_Id,DTXSID70439469,"4-(5,7,7,10,10-pentamethyl-8,9-dihydronaphtho[2,3-b][1,4]benzodiazepin-13-yl)benzoic acid",CN1C2=CC=CC=C2C(=NC2=C1C=C1C(=C2)C(C)(C)CCC1(C)C)C1=CC=C(C=C1)C(O)=O
DTXSID40438025,DSSTox_Substance_Id,DTXSID40438025,"4-[2-(5,5,8,8-tetramethyl-6,7-dihydronaphthalen-2-yl)ethynyl]benzoic acid",CC1(C)CCC(C)(C)C2=C1C=CC(=C2)C#CC1=CC=C(C=C1)C(O)=O
DTXSID80172254,DSSTox_Substance_Id,DTXSID80172254,HX-630,CC1(C)CCC(C)(C)C2=C1C=C1SC3=CC=CC=C3N=C(C3=CC=C(C=C3)C(O)=O)C1=C2
DTXSID70173316,DSSTox_Substance_Id,DTXSID70173316,ER-38925,CC1=C2OC(=CC2=C(C)C=C1)C1=CC=C(N1)C1=CC=C(C=C1)C(O)=O
