target,mode,count
TBX5,unspecified,3
FAK-VEGFR-3,unspecified,1
Cadherin,unspecified,1
S100A9,Negative,1
TRHR,Positive,11
ASNS,unspecified,1
SULF1,unspecified,1
TXN,Negative,4
CASP,unspecified,2
ST5,Positive,1
CCDC51,Positive,1
HPGDS,Negative,19
DMBT1,unspecified,1
pbp3,Negative,6
DNMT,unspecified,2
ZFP605,Positive,1
GBA,Negative,514
Fe(II)-protoporphyrin IX,unspecified,1
PLA2G4C,Negative,1
KLK,unspecified,1
MMP8,Negative,101
RARG,Negative,9
ADH4,Negative,4
EIF4G1,unspecified,1
CHRM,unspecified,22
PAQR9,Positive,1
CEBPB,Positive,2
TEKT5,Positive,1
a4b2 nicotinic cholinergic,unspecified,1
FAH,unspecified,2
GRIK3,unspecified,23
IL3,unspecified,1
RBP4,unspecified,10
DHO,unspecified,2
TERF2,Positive,1
bla,unspecified,1
F7,unspecified,5
VIPR2,Positive,2
ACSS2,unspecified,1
DNPEP,Negative,1
"Purinergic, P2X7",unspecified,1
GLUL,unspecified,2
ACVRL1,Negative,3
PDE2A,Positive,3
MTNR1A,unspecified,34
antihistamine,unspecified,1
CCL2,Negative,7
CRIPT,unspecified,1
CD46,unspecified,1
APOH,Negative,1
CYP3A9,unspecified,1
FDPS,Negative,21
CD3E,Negative,3
Mast/stem cell GFR Kit,unspecified,3
ADIPOQ,unspecified,1
DPYD,Negative,2
IGL,unspecified,1
ATP7B,Negative,1
SLC1A1,unspecified,9
COMT,unspecified,10
ABHD3,unspecified,1
ATP7B,unspecified,4
EIF4E,Negative,40
MAOA,Negative,1113
FAHD2A,Positive,1
KCNK6,Negative,1
PFKFB3,Negative,3
MAP4K3,unspecified,63
SLC28A3,Negative,2
PRKCH,Positive,1
CD14,Negative,1
LY75,Positive,1
DECR1,Positive,2
GRK3,Negative,1
MAP3K20,unspecified,63
DDX60,Positive,1
EIF4EBP2,Positive,1
CTSC,Negative,2
IL18,Positive,1
ZCCHC11,Positive,1
FUT9,Negative,3
MYO3B,Negative,1
BIRC5,unspecified,8
KCNT2,Negative,5
CENPA,Positive,1
HIST4H4,unspecified,1
VEGFC,unspecified,1
TUSC1,Positive,1
CAV3,Positive,1
CASP7,Negative,147
METTL9,Positive,1
NDUFS5,Negative,2
SLC22A20,Negative,32
USP7,Negative,4
EPB41,Positive,1
"Pepsin, FGF2, PGF, Fibrinogen chain",unspecified,1
DST,unspecified,2
ASAH1,Negative,3
CDC42BPG,unspecified,62
ADAMTS1,Positive,1
GCLC,unspecified,3
Bile salt export pump,unspecified,3
mitochondria,unspecified,25
HBA1,Negative,1
AKT3,unspecified,68
CACNB3,Negative,4
HMGB1,unspecified,2
ALK,unspecified,75
IMPDH2,Positive,1
PNRC1,unspecified,1
HSD17B6,Positive,1
Leukotriene B4,unspecified,1
PENK,Negative,1
FASN,Negative,33
ATG101,unspecified,1
GCNA,unspecified,1
RAB36,unspecified,1
CLDN1,unspecified,1
TUBD1,unspecified,1
ADCY2,Positive,2
S100A6,unspecified,1
PLG,Negative,33
analog of VB5,unspecified,1
Factor Xa,unspecified,5
ZBTB5,unspecified,1
MAP kinase inhibitor,unspecified,1
RTP4,Positive,1
DDIT4,unspecified,1
P2RY11,unspecified,1
OPRM1,Positive,143
noradrenaline uptake,unspecified,16
PRELID3B,Positive,1
KTI12,Positive,1
KLF4,Positive,1
SLC25A37,unspecified,1
KALRN,unspecified,2
PRMT8,Negative,1
PRKAR2A,unspecified,2
KMT5A,Positive,1
SLCO2B1,Negative,214
IL10,Negative,1
Protein S100,unspecified,1
FABP4,Negative,10
SLC7A5,Positive,6
CHRM1,unspecified,902
PRKCG,Negative,152
GCN1,unspecified,2
antiinflammatory,unspecified,5
MMP14,Negative,24
ADCK2,Positive,1
MARK3,unspecified,64
RPL29,unspecified,1
NEK7,Negative,136
RYR3,Negative,3
CHRNA9,unspecified,14
JUND,Positive,2
BAZ1A,Positive,1
KMT2D,unspecified,3
FGFR,unspecified,12
ERO1B,Positive,1
AKR1A1,Negative,12
RPS6KA1,unspecified,67
SIX3,Positive,1
MAP3K3,Negative,1
MYH3,Positive,1
SCARB1,Negative,7
KCND1,Negative,9
ZBTB17,Positive,1
BBX,Positive,1
TMEM140,Positive,1
TOP2A,Positive,13
CTSS,unspecified,1
5-Lipoxygenase,unspecified,1
SPP1,unspecified,2
ATP5H,Negative,1
BATF2,Positive,1
bpuJIR,unspecified,1
AKR1D1,unspecified,2
fusA,Negative,1
HDLBP,unspecified,1
Pro-opiomelanocortin,unspecified,1
SLCO1B2,Negative,12
Raf,unspecified,8
ileS,Negative,1
JAK2,Positive,1
PLSCR4,unspecified,2
SNX33,Positive,1
C3ORF52,unspecified,1
NOS2,unspecified,17
HMG20A,Positive,1
RUNX1,Negative,599
P2RX1,Negative,6
KLK3,unspecified,10
,subunit-specific,14
catalase,unspecified,1
FOSB,unspecified,2
SLC5A5,Negative,1
SULT1B1,unspecified,6
ITGA5,Negative,2
TUBB,Negative,43
PYGM,Negative,6
MAP3K11,Negative,4
SLC18A1,unspecified,1
mutagen,unspecified,2
anthelminthic,unspecified,2
AGR2,Positive,1
BABAM1,unspecified,1
gyrA,Negative,6
mAChR,unspecified,2
CACYBP,unspecified,1
ORAI2,Negative,10
JAG2,unspecified,1
USP1,Negative,1629
BMP5,Positive,1
TRIM28,unspecified,1
LPL,Positive,1
UCP3,unspecified,1
IL36A,unspecified,1
LATS2,unspecified,62
CLIC3,unspecified,1
BRSK2,unspecified,66
ABCC10,Negative,13
CNTNAP1,unspecified,1
RHAG,unspecified,1
TRP53,Negative,9
NQO1,Negative,32
ANPEP,Negative,8
ABCC5,Positive,2
TUBB4A,unspecified,14
PGAM2,unspecified,1
PPIA,unspecified,7
RRAGD,unspecified,1
antitussive,unspecified,1
USP9X,Negative,1
ITGAL,unspecified,1
MAP2K4,Positive,1
ponA,Negative,1
SF3B3,Positive,1
KMT2C,Negative,1
BCL6,Positive,1
MCM2,unspecified,1
RAD51,Negative,2
ANXA6,unspecified,2
SLC47A1,Negative,67
SLC12A4,unspecified,1
CDC42BPB,Negative,106
NPM1,Negative,4
LPAR2,Positive,4
IL12A,unspecified,22
NSD1,Negative,1
EPAS1,unspecified,4
CDK13,unspecified,58
SCN7A,Negative,60
GABRE,unspecified,29
GJD4,Negative,4
CNGA3,Positive,2
OBP2A,unspecified,2
MAPK6,unspecified,127
TPPP,unspecified,1
PLIN5,Positive,1
COX-2,unspecified,41
MAPK4,unspecified,62
phosphorylase,unspecified,5
MAPK3,Negative,918
DNMT3A,unspecified,1
OPRD1,Positive,74
ALPI,Positive,11
CRABP1,unspecified,3
EGLN3,unspecified,6
PADI4,unspecified,1
ZIC2,unspecified,1
POP4,unspecified,1
SP_0314,unspecified,1
PIK3CG,Negative,73
ATF4,unspecified,1
APH1A,unspecified,11
GRIA3,Positive,10
EPHB1,unspecified,71
SLC12A1,unspecified,12
ESPL1,Positive,1
SRPX,Positive,1
SKP1,Negative,1
SLC23A1,Positive,1
KCNJ11,Positive,9
UQCRC2,unspecified,1
MTNR1A,Negative,12
OGT,unspecified,1
TCF7L2,Negative,1
GSTA3,Negative,4
PDE1B,Positive,1
TAS2R38,unspecified,1
TTC7A,Positive,1
ZFP36L1,unspecified,1
TXNIP,Positive,2
NDUFB6,Negative,2
TUBB4B,Negative,36
ME3,Positive,3
KCNJ8,unspecified,7
SELENOI,Positive,1
ACADM,unspecified,1
TRAC,unspecified,1
TUBE1,Positive,1
GALR1,unspecified,1
FOXA1,unspecified,3
SMPD1,Negative,625
Phosphatidylcholine,unspecified,1
RNASE4,unspecified,1
SUCNR1,unspecified,1
EPHB4,Negative,115
CYP3A23/3A1,Positive,1
PABPN1,unspecified,2
KCNN4,Negative,9
NAT2,Positive,1
SHC1,unspecified,2
BACE1,Positive,1
HRH,unspecified,74
CSNK1E,Negative,1
ANKRD40,unspecified,1
GPCRx,unspecified,1
PCK1,Positive,1
MSH2,unspecified,2
PTPN4,unspecified,1
IGF2BP2,Positive,1
Nucleoside antimetabolite/analog,unspecified,1
SCN9A,Negative,68
ST6GALNAC3,Positive,1
PPAT,Positive,1
CRIP1,Positive,1
HSPB1,unspecified,9
TAAR1,Positive,116
ADAMTS5,Negative,2
RYR1,Positive,6
PTGS,unspecified,1
AADAC,unspecified,3
CDH1,unspecified,7
CDK8,Negative,10
MRPL37,unspecified,1
SIRT5,unspecified,3
EP300,Negative,20
HDAC4,Negative,154
SBSN,unspecified,1
FAM160B1,Positive,1
MCCC2,Positive,1
GRIK1,unspecified,28
RAB11FIP4,unspecified,1
PRL,unspecified,3
GSK3A,Negative,125
TRPC3,Negative,2
DCTN1,unspecified,2
GJA3,Negative,4
arabinosyltransferase,unspecified,1
GSR,Negative,20
Sodium (Site 1),unspecified,2
GLTP,unspecified,2
DPP7,Positive,4
NEK4,Negative,1
SLCO1B1,Positive,7
CLK3,Negative,113
IL12B,Negative,5
CA11,Positive,1
KDM1A,unspecified,2
HSD17B8,unspecified,2
CEP83,Positive,1
SCN9A,Positive,1
CAT,Positive,1
TNF,Positive,38
GNMT,unspecified,4
TTR,unspecified,73
Calcium channel,unspecified,42
GPI,unspecified,1
TXNRD2,Negative,25
NTRK2,Negative,112
SPHK1,Negative,19
NDUFV3,Negative,2
collagenase,unspecified,1
ADORA3,Negative,24
ADRB3,Positive,42
ADORA2B,Negative,85
GBX2,unspecified,1
SLC18A1,Negative,3
S6 Kinase,unspecified,3
KAT2A,unspecified,1
CA9,Negative,307
SLC15A1,unspecified,45
CSF1R,Positive,5
PSMD12,Negative,2
DNAJA2,Positive,1
OPIATE ORL-1,unspecified,2
PHKA2,Negative,2
CNKSR1,Positive,1
CEP76,Positive,1
CNOT9,unspecified,1
SBDS,unspecified,1
DUSP23,unspecified,1
SHROOM2,Positive,1
DPP4,unspecified,16
KIF4A,Negative,3
CLDN23,Positive,1
GRIA4,Negative,19
ADK,Positive,1
NOS ,unspecified,1
DCLK1,Negative,1
HSP 90,unspecified,1
GABRP,Positive,69
PI4K2A,Negative,6
PLBD1,Positive,1
Cholecystokinin central,unspecified,1
CT45A3,unspecified,1
GRAMD1A,unspecified,1
ASPA,Positive,1
EEF2K,Negative,2
KCNC2,Negative,10
ADR,unspecified,113
ALDH7A1,unspecified,1
GRM1,unspecified,23
ADAM28,unspecified,1
SATB2,unspecified,1
RAD51,unspecified,2
VMAT,unspecified,1
PKD2L1,Negative,4
RSPH1,Positive,1
TRPM3,Negative,6
ZBP1,Positive,1
SLC9A3R1,unspecified,2
FADS2,Negative,2
PTK5,Negative,1
CD40,unspecified,1
ENTPD8,unspecified,1
SLCO1B3,unspecified,8
XIAP,unspecified,4
AR,Negative,2692
CPT1B,Positive,1
PLK4,unspecified,131
SLC12A2,unspecified,33
SLC9A3,unspecified,1
50S ribosomal subunit,unspecified,13
GPR35,Positive,44
ACSL5,Positive,1
PRNP,Negative,13
TRUB1,unspecified,1
KCNH7,Negative,8
FGFR1,unspecified,74
CATSPER4,Negative,2
CACNB3,unspecified,5
TAPBP,unspecified,1
HSDL1,Positive,1
calmodulin,unspecified,11
CBS,unspecified,4
ARL2,Positive,1
CCR3,Negative,3
PRKCB,unspecified,13
antiantrogen,unspecified,1
STK35,unspecified,58
OPRK1,Negative,65
SLC15A4,unspecified,1
FDPS,unspecified,9
RRAD,unspecified,1
ftsI,Negative,4
PP2A,unspecified,1
NAT2,Negative,3
SLC25A46,Positive,1
IFRD2,Positive,1
BACH1,unspecified,1
STK3,unspecified,67
Mitochondria [ TSPO ],unspecified,15
EGF,Positive,1
ABCB1B,unspecified,6
TYK2,Negative,36
analgesic,unspecified,1
Thromboxane B2,unspecified,2
GOLPH3,unspecified,1
IER3,Positive,1
HOXD1,unspecified,1
NEU1,Negative,3
HIV-1 protease,unspecified,7
folP,unspecified,1
PTAFR,unspecified,760
DTYMK,Positive,2
MEGF8,Positive,1
thiamin,unspecified,1
antibiotic tetracycline,unspecified,17
Bacterial target,unspecified,6
ureC,unspecified,1
TNKS,Negative,40
CYP2C11,Negative,8
FUCA1,Negative,4
HNRNPA1,unspecified,2
RNF144B,unspecified,1
SMARCA2,Positive,33
TSTA3,Positive,1
GRIK4,unspecified,19
DNMT1,Positive,1
PLAC8,unspecified,1
ADAM17,unspecified,2
adrenergic agonist,unspecified,2
TRP53,unspecified,6
DDX24,Positive,1
ADAMx  MMPx [ MMP2 MMP3 MMP13 ],unspecified,1
MET,Negative,158
C1S,unspecified,4
ITGAX,Positive,1
Sigma-2,unspecified,54
TGFBR2,unspecified,64
SPIRE1,unspecified,1
LIPF,unspecified,1
POLRMT,Negative,2
HES1,Positive,1
PLA2G1B,Positive,3
fumC,unspecified,1
TYW3,unspecified,1
TNNC2,Positive,1
FRMD3,Positive,1
STK32C,unspecified,66
SCN4A,Positive,2
MAPK7,Negative,2
ATAD2,unspecified,13
ATP1B3,Negative,7
STOX2,Positive,1
TMEM42,unspecified,1
Vasopressin receptor,unspecified,2
NTRK3,Negative,16
surfactant,unspecified,3
GPT,Negative,1
CCT7,unspecified,1
CCDC58,Positive,1
LCN9,unspecified,1
OAS1,unspecified,1
SLC6A15,Negative,12
NT5E,unspecified,1
IL12B,unspecified,23
DOK3,unspecified,1
NPY5R,Positive,8
COBLL1,unspecified,1
KCNK17,Positive,1
Protein kinase C,unspecified,2
CACNG3,unspecified,3
HDAC10,Positive,2
CDK20,Positive,1
EEF1B2,unspecified,1
SLC12A2,Positive,1
HLX,Positive,1
PHLDB2,unspecified,1
SENP7,Negative,50
GSTA1,Negative,11
HTR1E,unspecified,68
PDE11A,unspecified,1
ecdysone receptor,unspecified,3
mrcA,unspecified,8
CRF-R2 Alpha,unspecified,1
CD28,Negative,3
dry mouth treatment,unspecified,1
ATP1A2,unspecified,1
frdA,unspecified,1
CACNA1I,Negative,10
CYP2C19,unspecified,1
P2RX4,Negative,29
ATP4B,unspecified,2
Histone Acetyltransferase,unspecified,1
ADPGK,unspecified,2
MIR34B,unspecified,1
NSDHL,Positive,1
FAM9C,unspecified,1
GRIK2,unspecified,26
NCOA1,Positive,43
ASB17,Positive,1
ATP2A2,Negative,3
KLF10,Negative,11
HSD3B1,Positive,1
SNRK,unspecified,59
SYT12,Positive,1
ALDH1A3,unspecified,2
TSPO,Positive,7
HPPD,unspecified,3
CPD,Positive,1
pesticide,unspecified,2
ANKEF1,Positive,1
SLC7A11,unspecified,2
CTRC,Negative,2
BAG2,Positive,1
RARG,Positive,22
DHRS9,unspecified,1
SETD7,Negative,10
ADAM10,Negative,2
ST14,Negative,5
Lipopolysaccharide,unspecified,1
CDKN2AIP,unspecified,1
CROT,Positive,1
NOSIP,unspecified,1
FUT7,Negative,2
CENPE,Negative,4
LGALS4,Positive,1
GABA A Benzodiazepine omega5,unspecified,1
PRKAB1,Positive,3
CISD2,Positive,1
NEK9,unspecified,71
PDXP,Negative,2
MYBPH,unspecified,1
DDR2,unspecified,64
antibiotic cephalosporin,unspecified,44
CHRM4,Negative,48
DMPK,Negative,93
W-box synthesis inducer,unspecified,1
EPHX1,unspecified,27
GRK1,Negative,2
antibiotic,unspecified,43
"Glutamate, GluR1",unspecified,1
GBP4,unspecified,1
CPNE5,Positive,1
rpsD,unspecified,4
AXL,Negative,116
HCV,unspecified,1
PLCG1,Negative,19
RIOK2,unspecified,124
SPR,Positive,1
DAPK3,unspecified,133
SLC45A4,unspecified,1
A1CF,unspecified,1
EDNRB,Positive,7
FPR1,Negative,5
UGT3A1,unspecified,2
P2RX1,Positive,4
NR1I2,unspecified,78
MPEG1,Negative,6
NDUFA10,Negative,2
FURIN,unspecified,1
CYP26B1,Negative,5
BGLAP,unspecified,2
ABCG2,Negative,92
AXIN1,Positive,1
GJB2,Positive,1
TENM3,Positive,1
GSTA4,Negative,3
ALDH5A1,Negative,16
MKNK2,Negative,140
FAM46C,unspecified,2
TPO,unspecified,8
DNMT1,Negative,46
GABA A Alpha3Beta2Gamma2,unspecified,1
TP53,Positive,1004
ARRB2,unspecified,5
ORM1,unspecified,9
TNIP1,unspecified,1
INSIG2,Positive,1
immunoregulating,unspecified,1
PRKCE,unspecified,66
Sodium (Site 2),unspecified,2
MPO,unspecified,14
MT1B,unspecified,1
CD44,Negative,4
5-HT2C-INI,unspecified,6
TMEM128,unspecified,1
P-glycoprotein inhibition,unspecified,1
SOAT2,unspecified,1
KCNF1,Negative,8
THR,unspecified,3
CTSD,Negative,17
ZNF428,unspecified,1
WEE1,Negative,5
CHD4,unspecified,1
Vasopressin V3,unspecified,28
dacA,unspecified,1
ENC1,Positive,1
CLCN3,Negative,1
ZNF217,unspecified,1
GSTA2,unspecified,5
HTR4,Positive,20
OGT,Negative,3
MYO3A,unspecified,62
CHMP5,unspecified,1
adenosine reuptake inhibitor,unspecified,1
SLC15A2,unspecified,32
GABRA3,unspecified,94
NTRK1,Negative,122
MERTK,unspecified,66
SLC47A2,unspecified,4
dopamine uptake,unspecified,12
BTK,unspecified,74
VEGFR1,unspecified,6
FOXG1,unspecified,2
PCLAF,Negative,1
PRKAB2,Positive,3
F3,unspecified,2
TMEM128,Positive,1
ALB,Positive,10
EXOC5,unspecified,1
TIMM10B,Positive,1
NRI,unspecified,3
GLA,Positive,1
RHO,Negative,4
CECR6,unspecified,1
heavy metal ion,unspecified,5
PSMC3,Negative,2
CYP3A4,unspecified,32
MAP2K2,Positive,4
RBM12,unspecified,1
LIPC,unspecified,1
GABA A Benzodiazepine omega2,unspecified,1
CYP19A1,unspecified,27
PRKCI,Negative,123
NMDAR,unspecified,4
GABA B rho 1,unspecified,4
ADAM32,Positive,1
ATP1B2,Negative,7
CIDEA,Positive,1
triacylglycerol lipase,unspecified,1
OAT,Negative,1
RPS6KA2,Negative,115
POLL,Negative,12
TLR9,unspecified,2
CA2,unspecified,103
ZFAND2A,Positive,1
DHRS2,unspecified,1
KCNQ5,Negative,11
XIAP,Positive,1
ChK,unspecified,2
PFOR,unspecified,1
CYP2C65,Positive,1
PSEN1,Positive,5
NUMBL,Positive,1
LEO1,Positive,1
AKR1B10,Positive,1
FTH1,Positive,1
HIV Reverse Transcriptase,unspecified,3
FOXO1,unspecified,4
CDA,Negative,5
TAF1L,Negative,1
CDK5,Negative,154
SKP1,unspecified,1
SSTR3,unspecified,7
PLD2,Positive,2
CCNE1,unspecified,6
MTNR1B,unspecified,34
CDK7,unspecified,64
TRPM3,Positive,1
PNOC,Positive,1
Peroxiredoxin-5,unspecified,1
GNB1,unspecified,1
ATPase,unspecified,15
UPP1,Negative,8
MAP2K3,Negative,3
DAPK2,Negative,93
DCAF13,unspecified,1
biophosphonate,unspecified,1
TUBB1,Negative,37
MRP,unspecified,27
IL11RA,Negative,1
PAK3,Negative,106
Camphor 5-monooxygenase,unspecified,1
BCAR1,Positive,2
HCRTR1,unspecified,6
ANXA1,unspecified,4
CACNG2,unspecified,3
CYP3A5,Negative,33
phenol,unspecified,2
NLGN1,Positive,1
PCDH1,Positive,1
TKT,Positive,1
TNFRSF4,Negative,1
PRDX5,unspecified,3
HSD17B4,Negative,1
MRGPRD,Positive,1
SLC29A4,unspecified,1
RAB9A,unspecified,1
microtubule,unspecified,36
STC2,unspecified,1
ROR1,unspecified,2
TRHR2,unspecified,8
EHMT2,unspecified,2
BCKDHA,unspecified,1
IMPDH1,Negative,9
NR1H2,Negative,6
SULT1E1,Negative,2
GABRA,unspecified,3
"Carbonic Anhydrase Isozymes, CA IX",unspecified,5
GCGR,Negative,12
LDHB,Negative,6
SEC24D,Positive,1
SCN3A,Negative,81
MCCC2,unspecified,1
MT1H,unspecified,1
RPLP0,unspecified,1
ICK,unspecified,58
NPSR1,Negative,551
CDKL1,unspecified,124
DIAPH1,unspecified,1
CTSB,unspecified,2
NDUFV1,Negative,2
LGALSL,unspecified,1
CDK13,Negative,6
KAT2B,Negative,19
MAP2K5,Positive,3
TGFBR1,Negative,103
SCNN1A,Positive,2
KCNF1,unspecified,1
EZH2,unspecified,4
IDH1,unspecified,1
KLK3,Positive,3
CCR6,Negative,22
CRYGN,unspecified,1
CA6,unspecified,7
CTP synthase,unspecified,1
POU3F4,Positive,1
NPY1R,Positive,5
SSTR1,Negative,5
ZFP672,Positive,1
PTP4A3,Positive,1
P2RY1,Positive,6
anesthetic,unspecified,7
ACVR1,Negative,4
TMCC3,Positive,1
GHR,unspecified,2
NANS,unspecified,1
TCEAL1,Positive,1
SSTR3,Negative,5
FPGT-TNNI3K,unspecified,62
S1PR5,unspecified,10
HMGXB3,Positive,1
COL17A1,Positive,1
MAO inhibitor,unspecified,1
PRSS3,unspecified,3
SELPLG,Negative,8
RPS6KA2,unspecified,68
MAPRE2,unspecified,1
ATR,Negative,5
fibrate,unspecified,1
SLC1A1,Negative,6
RAB17,unspecified,1
GALT,Positive,1
ITGA2B|ITGB3,Negative,2
RGS19,unspecified,1
HTR3A,Negative,81
KCNK3,Positive,6
BCHE,Positive,11
SHC1,Negative,1
HK,unspecified,1
AKR1C2,unspecified,5
Nischarin,unspecified,1
TTC8,Positive,1
STAT5B,Negative,3
OPRK1,Positive,54
CRHR1,unspecified,6
NDUFA4L2,Negative,2
PARP6,Negative,1
NCOR2,Positive,7
aspartic protease,unspecified,1
CTFR,unspecified,1
NADK,Negative,4
PLK3,unspecified,66
PAK2,unspecified,67
SMO,Negative,10
PAX8,Negative,68
LAMA4,Positive,1
COX4I2,Positive,1
SLC15A2,Negative,10
PTPN22,Negative,20
ACTR2,unspecified,5
ZCCHC17,Positive,1
POFUT1,Positive,1
TRIB2,Positive,1
SKI,unspecified,1
MAML1,Positive,1
IL23A,Positive,1
HSP90AA1,Positive,3
F2RL1,Positive,1
ICAM1,Positive,1
TACC2,Positive,1
Taste receptor,unspecified,1
GPSM1,unspecified,1
STK39,unspecified,58
SELE,Negative,11
FOLH1,Negative,14
SERPINA6,Positive,2
hydantoin,unspecified,1
lycopene cyclase,unspecified,1
KCNJ9,Positive,1
CDK9,unspecified,62
MYOT,unspecified,1
NCSTN,Negative,42
MAPK9,Negative,168
P2RY12,unspecified,20
TM_0857,unspecified,1
TYR,Positive,15
MAOB,Negative,434
ADH7,unspecified,2
PLA2G4A,Positive,1
SIRT1,Positive,17
NOL12,unspecified,1
GPR55,Positive,16
CEBPD,unspecified,1
SCN10A,Negative,70
NEIL1,Negative,2
MYO3B,unspecified,62
PDE3 inhibitor,unspecified,1
GR Alkaline Fosfatase,unspecified,1
CNR1,unspecified,916
POLB,Negative,770
P2RY14,Positive,2
Dynamin,unspecified,2
drug anticoagulant,unspecified,1
MT1A,unspecified,2
GABA A anti-Alpha1,unspecified,1
CLCN2,Positive,4
JUND,unspecified,1
G6PD,Negative,73
STK26,Negative,18
LRRC39,Positive,1
INPP5A,unspecified,1
DECR2,Positive,2
ATG12,unspecified,1
CTSS,Negative,12
HDAC10,unspecified,2
PLA2G2A,Negative,16
RNF165,Positive,1
ABCC8,Negative,12
cholesterol esters,unspecified,1
