target,mode,count
LMAN2L,Positive,1
TOE1,Positive,1
NID2,Positive,1
Hemozoin synthesis,unspecified,1
HTR2C,unspecified,400
ABCC6,unspecified,1
AGTR1A,unspecified,4
TMEM97,Positive,1
POU3F4,Positive,1
FGG,Positive,1
ecdysone receptor,unspecified,1
AADAC,unspecified,2
HOXC6,unspecified,2
TSPO,Positive,1
ADCY8,unspecified,1
TCOF1,Positive,1
IL1B,unspecified,12
TFAP2B,unspecified,1
TTC29,Positive,1
PSMB2,unspecified,1
THAP1,unspecified,1
PRCC,Positive,1
Angiotensin II AT2,unspecified,1
HFE2,Positive,1
COQ8B,unspecified,13
TMEM131,Positive,1
ABCD3,Positive,1
plasminogen,unspecified,2
"Glycine, non-strychnine",unspecified,2
GRIA3,Negative,1
ADAMTS1,Positive,1
ALK,Negative,3
SEC24D,Positive,1
FASN,Negative,10
ARHGAP21,Positive,1
KCNK9,Positive,2
PDE4D,Negative,18
NXF1,unspecified,1
NMDAR,unspecified,2
BRSK2,Negative,1
P3H3,unspecified,1
PDE5A,Negative,374
CASP9,Positive,1
KDM2A,Negative,2
PCK2,unspecified,1
NCOA6,Positive,1
PSG5,unspecified,1
DPP,unspecified,1
FAM98B,Positive,1
MAP2K6,unspecified,15
STK24,unspecified,13
CES1,Positive,11
GMNN,unspecified,41
BHMT2,Positive,1
SNRPB2,unspecified,1
CASP2,Negative,1
ITPR1,Negative,1
MECP2,unspecified,1
DRD1,Positive,75
Potassium channel (ATP modulatory),unspecified,3
ALDH1A1,unspecified,4
TRPV6,Positive,2
CRK,Positive,1
CCND1,Negative,3
FSTL1,unspecified,1
FOLR3,unspecified,1
COL12A1,unspecified,1
MPST,unspecified,1
CRYZ,Positive,1
TH,Negative,1
KLK3,Positive,1
HIPK3,Negative,1
ITGA3,unspecified,1
SERPINA6,Positive,1
HSPA8,unspecified,4
RHEB,unspecified,1
TIMM10B,Positive,1
SIGMAR1,Negative,5
TUBB6,unspecified,4
SLC7A11,unspecified,1
CYP1A2,Negative,411
MAP3K1,unspecified,13
PRKAA1,Positive,3
diuretic,unspecified,1
OLFR73,Positive,3
HBB,unspecified,14
DCXR,unspecified,1
INSIG1,Positive,1
DMBT1,unspecified,1
SMAD5,Negative,1
PDE10A,unspecified,2
ion channel (Cl),unspecified,1
ESPL1,Positive,1
EGR1,Positive,1
CFTR,unspecified,1
CLCN2,Negative,1
opioid,unspecified,1
Raf,unspecified,3
TP53,Negative,2
NR,unspecified,2
STK16,unspecified,16
EPHB4,unspecified,15
ESRRG,unspecified,4
COX2,Negative,3
RFTN2,unspecified,1
Glutamate-NMDA-MK801,unspecified,8
CDH2,unspecified,1
FAH,unspecified,1
MIA2,Positive,1
MAPK10,unspecified,15
NFKB1,unspecified,25
ADCY8,Negative,1
ANK,Positive,1
FRG1,unspecified,1
SLC6A2,Positive,6
ADCY8,Positive,1
UGT2B1,unspecified,1
OPRL1,Positive,1
TRIM6,Positive,1
ADCY5,Positive,1
OXTR,unspecified,4
CASP8,Negative,2
STAR,unspecified,2
GABBR1|GABBR2|KCTD16|KCTD8|KCTD12,Positive,2
AURKB,unspecified,13
CD3G,Positive,2
KCNK3,Positive,3
PTGS1,Positive,5
HPSE,unspecified,2
CYP24A1,Negative,2
GNRHR,Negative,2
PPP3CA,Negative,369
AHR,Negative,4
ADRB2,Positive,26
TBXA2R,Negative,3
ksi,unspecified,1
FOS,Positive,2
GLA,unspecified,1
MAP2K2,Positive,1
ALPL,Positive,2
CHRNA1,unspecified,4
CBR3,unspecified,1
SPP1,unspecified,2
CDK,unspecified,1
CYP3A7,Negative,1
RARA,Positive,7
PTGFR,unspecified,2
disinfectant,unspecified,1
NR1H4,Negative,76
VDR,Negative,165
STRADA,Positive,1
COQ3,Positive,1
SULF1,Positive,1
SHROOM2,Positive,1
ATF3,unspecified,1
CA7,unspecified,10
"Cholinergic, Nicotinic Alpha3Beta2",unspecified,7
serotonin uptake,unspecified,15
MMP9,Negative,370
TBK1,unspecified,13
ADENOSINE A2,unspecified,4
SGK1,Negative,2
SCN1A,unspecified,17
SEL1L3,unspecified,1
PGR,unspecified,13
MEF2D,Positive,1
RRM2,Negative,4
YES,unspecified,1
ITGA2B,Negative,1
PSMD14,Negative,2
STAT5B,Negative,3
AURKC,unspecified,15
PIP5K1C,unspecified,13
MYLK4,unspecified,13
CTSS,Negative,1
MTR,Positive,1
Transient receptor potential cation channel i,unspecified,1
Glutamate delta 2,unspecified,1
AGTR1,Negative,9
choB,unspecified,1
ERBB4,Negative,8
pbpC,Negative,1
PHF8,Negative,1
ADGRL2,Positive,1
ALK,unspecified,14
KCNH1,Negative,6
NDUFB6,Negative,2
ESRRA,Positive,1
Factor Xa,unspecified,3
INSR,Negative,6
TPRKB,unspecified,1
STC2,unspecified,1
WRN,Positive,1
ASAP2,unspecified,1
CHIA,Negative,4
PTGER2,unspecified,3
FOXO3,unspecified,2
CHRNE,Positive,2
HIST1H2BK,unspecified,1
OPRK1,Negative,4
ABL1,unspecified,15
TK2,Negative,3
ATG101,unspecified,1
SFRP4,unspecified,3
PHKG2,unspecified,15
UGT1A9,Negative,10
RSPH4A,Positive,1
FABP2,Positive,1
TRIM7,Positive,1
CHRM1,Positive,5
MANEAL,unspecified,1
TSHR,Negative,1
CACNA1S,unspecified,4
FGF2,unspecified,1
NUDT7,Positive,1
ISY1,unspecified,1
MLNR,Positive,3
CAPN2,Negative,1
HCN2,Negative,2
ILVBL,Positive,1
CA9,unspecified,7
SREBF1,Negative,1
PRSS2,unspecified,1
UBR5,Positive,1
CDC25C,unspecified,1
CACNA1C,unspecified,9
TLR2,unspecified,2
QPRT,unspecified,1
CHUK,unspecified,15
ABCG8,Positive,1
"all-trans-retinoic acid, atRA",unspecified,1
NLRC3,Positive,1
TXNL1,unspecified,2
LRRC39,Positive,1
PSPN,unspecified,1
COX-1,unspecified,25
NEK6,Negative,1
SSTR3,unspecified,1
folP1,unspecified,1
CCL2,unspecified,2
MMP3,unspecified,2
MAPK14,Negative,373
CHRNA6,Negative,1
FLCN,Positive,1
VPS8,unspecified,1
XOD,unspecified,1
KCNJ5,Negative,4
RXR,unspecified,4
GLRA3,Positive,1
HIV-1 protease,Negative,5
TMEM64,Positive,1
ARL2,Positive,1
GRIN2D,unspecified,3
RAPGEF3,Negative,11
BAX,Negative,1
LGI1,Positive,1
MT1G,unspecified,1
PIM3,unspecified,15
Heavy metal ion,unspecified,2
DNA polymerase,unspecified,2
FDX1,unspecified,1
WWC1,Positive,1
RHBDF1,unspecified,1
FOXM1,Positive,1
ASMTL,unspecified,1
RCOR1,unspecified,1
SLC12A2,Negative,2
TF,Negative,2
FBXO8,Positive,1
MAPK9,unspecified,15
AKR1B1,unspecified,2
"Methionine Aminopeptidase, ecMetAP",unspecified,1
REEP6,Positive,1
antibiotic macrolide,unspecified,5
PAK2,Negative,2
SLC9A1,unspecified,1
CYSLTR,unspecified,1
HTR3A,unspecified,53
GABRA3,unspecified,6
SLC6A9,unspecified,1
MAP2K5,Positive,1
SEM1,Negative,2
MFSD3,unspecified,1
MGMT,Negative,1
CDH11,unspecified,2
STK11,unspecified,13
PLAT,Negative,2
GP2,Positive,1
ZNF778,unspecified,1
ATG12,unspecified,1
HCAR2,unspecified,1
GRIA1,unspecified,4
IL18R1,Positive,1
SAT1,unspecified,1
RGS19,unspecified,1
C2ORF49,unspecified,1
CHORDC1,unspecified,1
CHRNB1,unspecified,1
SPATA19,Positive,1
AXL,Negative,2
FGFR4,Negative,4
TUBB2A,unspecified,5
LYN,Negative,5
MAOB,unspecified,7
CSNK1A1L,unspecified,13
KRT8,unspecified,1
HRAS,Negative,2
FBXO21,Positive,1
GST,unspecified,1
ANGPTL1,Positive,1
MAPK,unspecified,1
IL10,unspecified,1
ZNF292,Positive,1
MT2,unspecified,2
BCR-ABL,unspecified,3
GSK3B,unspecified,16
SLC6A3,Negative,31
PFOR,unspecified,1
Ret proto-oncogene,unspecified,1
CACNA1D,unspecified,7
CALM1,Negative,1
RCBTB2,Positive,1
CS,unspecified,1
PTGES,Negative,10
DHCR7,Positive,1
CD44,unspecified,1
embA,unspecified,1
HDAC7,unspecified,1
PPIA,unspecified,3
gyrA,Negative,2
RHOA,unspecified,1
ALDH1B1,unspecified,1
SOCS7,Positive,1
SLC22A1,Negative,130
reductase,unspecified,3
XDH,Negative,3
INTS4,Positive,1
CRIP1,Positive,1
NEU1,unspecified,1
RAC1,unspecified,3
TP53,Positive,66
CAPN1,Negative,2
CYP4A10,Positive,1
MYLIP,unspecified,1
reducer,unspecified,1
PKHD1,Positive,1
GRIN3B,unspecified,4
HAUS4,Positive,1
FAM222A,unspecified,1
SCN3A,Negative,30
GRIN3B,Negative,9
KDM5A,Negative,1
CD3D,Negative,3
"Cholinergic, Nicotinic Alpha2Beta4",unspecified,7
HTR1F,unspecified,7
CCDC110,Positive,1
CSF2RA,unspecified,1
PRSS8,unspecified,1
CDK15,unspecified,13
BTBD11,Positive,1
antimicrobial,unspecified,14
GABRA3,Negative,2
KCNK16,Negative,2
DUSP5,unspecified,1
ZFP672,Positive,1
FAM129A,Positive,1
HBEGF,unspecified,1
VEGFR3,unspecified,3
ICE2,Positive,1
GAPDH,Negative,2
RDH10,Positive,1
DAPK1,Positive,1
ERC2,Positive,1
RXFP1,Positive,2
ITGB6,Positive,1
GALK1,Positive,1
GABA reuptake,unspecified,1
AOX1,unspecified,2
GNAS,Negative,23
NPR2,unspecified,1
DUS4L,Positive,1
CST6,unspecified,1
tubulin,unspecified,7
DRD4,unspecified,387
Na+/Ca2+ Exchanger,unspecified,1
ORC5,Positive,1
PDE4B,Positive,2
SGO2,Positive,1
GSTA1,unspecified,4
NNT,Positive,1
PRSS1,unspecified,1
AP3S2,Positive,1
PCGF5,Positive,1
METTL9,Positive,1
adrenergic,unspecified,3
CPT2,Negative,2
DPH3,unspecified,1
WSB1,Positive,1
HS3ST2,unspecified,1
PDLIM5,unspecified,1
TPM1,unspecified,1
MYLK3,unspecified,14
SLCO3A1,Negative,2
RGS11,unspecified,1
SLC6A13,Negative,3
CILP,Positive,1
C1R,Negative,1
Na+/2Cl-/K+ (NKCC) cotransporter,unspecified,2
TSG101,Negative,3
TDP1,Negative,145
CRY1,Positive,1
POSTN,unspecified,1
1200015E14Rik,unspecified,4
HK2,unspecified,1
CEP76,Positive,1
ZBTB33,Positive,1
PRKG2,unspecified,13
PSMD6,Negative,2
CN,unspecified,1
RORA,Positive,3
immunologic factors,unspecified,2
KRT12,unspecified,1
SCN5A,unspecified,14
CHRM2,Negative,20
LOC400927-CSNK1E,unspecified,13
CA1,Positive,9
SNCA,Negative,41
OBP3,unspecified,2
antimuscarinic,unspecified,1
GSTM2,unspecified,3
HSD11B1,unspecified,2
DRD2,unspecified,416
HGFAC,Negative,1
MTMR12,Positive,1
CYP3A43,Positive,1
RNF219,Positive,1
KCNQ1,unspecified,5
CACNB2,unspecified,3
ITGA2,Negative,1
PRDX2,Negative,1
GUCY1B1|GUCY1A1,Positive,1
TACR3,unspecified,2
GLP1R,unspecified,2
TUBB7P,unspecified,1
PUS3,Positive,1
Vasopressin V3,unspecified,14
ARID2,Positive,1
SAR1B,Positive,1
TTL,Positive,1
ELANE,unspecified,2
Annexin A,unspecified,1
RXRA,unspecified,19
Sodium (Site 1),unspecified,2
"Glycine betaine-binding periplasmic protein,C",unspecified,1
"Carbonic Anhydrase Isozymes, CA IX",unspecified,2
METAP1,Negative,4
ATF1,unspecified,1
DAGLA,Negative,2
DPP4,Negative,3
POR,Negative,1
UGT1A1,Negative,11
ion channel (Ca),unspecified,12
MT-ND4,Negative,1
CLK3,Negative,4
KCNA10,unspecified,1
AVPR2,Positive,3
CASP3,unspecified,3
SGMS1,Positive,1
CDC42SE1,Positive,1
YES1,Negative,20
NDUFA4,Negative,2
KDM4B,Negative,1
PTGER3,unspecified,7
PL,unspecified,3
DDR1,Negative,2
IGF2R,unspecified,1
MTG2,Positive,1
EPHA2,Negative,2
CYP2C65,Positive,1
PXMP4,Positive,1
C1S,unspecified,1
pbpB,unspecified,1
NEK9,unspecified,15
CDK3,unspecified,13
KAT14,Positive,1
STK39,unspecified,13
SCN4A,unspecified,18
CYP27B1,Negative,2
SLCO4C1,Negative,1
PSMD12,Negative,2
ZFP770,Positive,1
ERO1B,Positive,1
ASPH,Positive,1
HTR2C,Positive,4
PDGF,unspecified,1
HIST3H3,Positive,1
ADAM17,Negative,2
RHPN2,Positive,1
CLASP2,unspecified,1
BDKRB1,Positive,1
SMARCD3,Positive,1
GLRA2,unspecified,368
TAOK2,unspecified,13
GRIA1,Negative,1
DCK,Positive,1
SLCO1B3,Positive,7
DEDD2,unspecified,1
COL4A1,unspecified,1
TUBG1,unspecified,1
RRAD,unspecified,1
PPARGC1A,unspecified,1
AKAP13,Positive,1
TRMT61A,Positive,1
MYB,unspecified,1
"Cholinergic, muscarinic",unspecified,29
BRD4,Negative,3
CRBN,unspecified,1
PON1,Positive,1
GREB1,Positive,1
PPP1R15A,unspecified,1
FADS1,Positive,1
MRGPRX1,Positive,1
HACD3,Positive,1
CCDC51,Positive,1
CACNA1S,Negative,8
RNF111,Positive,1
CASP3,Positive,3
GABRG2,Positive,18
ARFRP1,Positive,1
ITGB3,Negative,4
ACAA2,unspecified,1
PKP2,unspecified,1
PHGDH,Positive,1
GNAT1,Positive,1
TNK2,Negative,2
TUBB2C,unspecified,1
SLC22A6,unspecified,7
NDUFA12,Negative,2
KCNJ11,unspecified,5
GCKR,Positive,1
UGCG,unspecified,1
BTK,Negative,3
GBA,Positive,1
ACSS2,unspecified,1
KLF11,Positive,1
ACVR2A,unspecified,13
CSNK1E,unspecified,6
CACNB1,Negative,2
SOD2,Negative,1
PTGS2,Negative,392
HCN1,Negative,3
GRWD1,unspecified,1
PRKAA2,Positive,4
TUBA1B,Positive,1
MPO,Negative,2
LARP1,Positive,1
RAD54L,Negative,3
PHLDA2,unspecified,1
NDUFA11,Negative,2
MYBL1,Positive,1
COX1,Negative,1
SLC39A6,Positive,1
SUMO2,unspecified,1
APOBEC4,Positive,1
MED1,Positive,2
MTOR,Negative,61
GABBR1,unspecified,4
CA,unspecified,11
CDH26,unspecified,1
CSNK2B,unspecified,1
TTF1,unspecified,1
HMOX1,unspecified,2
MORC4,Positive,1
RXRA,Negative,54
CTRB1,unspecified,1
ACE,unspecified,12
gp41,Negative,1
UGT1A8,unspecified,27
B4GALT4,Positive,1
CECR6,Positive,1
PIK3R1,Negative,1
KCNK2,Negative,9
CXCL2,unspecified,2
MBL2,Positive,1
M,Positive,1
ADRA2B,Negative,13
TACR1,Positive,1
PDS5A,Positive,1
NGF,Positive,1
AKR1B7,Negative,1
MYT1L,unspecified,1
XDH,Positive,3
SPATA20,unspecified,1
JUN,unspecified,6
Stathmin-4,unspecified,1
HTR5B,unspecified,3
RIPK2,Positive,1
KCNE1,Negative,1
ICAM1,unspecified,2
CEBPB,Negative,2
GRIK1,Negative,1
GRIN1,Negative,13
DRD5,Negative,10
KCNA5,Negative,7
PDE7A,Negative,5
CYP24A1,Positive,2
CDK11A,unspecified,13
KLK3,unspecified,2
NR3C1,Positive,90
ADRA2A,Negative,18
SLC22A8,Positive,1
SCN1B,Negative,1
GABARx [ GABAR1 ],unspecified,1
Dopamine D2A,unspecified,2
SLCO1B3,unspecified,2
AZIN1,Positive,1
MTAP,Positive,1
CSNK2A2,unspecified,15
NFKB1,Negative,80
HTR5A,Positive,1
CA12,Negative,30
APOBEC3G,Negative,15
WNK3,Negative,1
RIN2,Positive,1
CDC25A,Negative,1
TMIGD3,Negative,2
CYP27B1,unspecified,1
MGST3,unspecified,1
antiviral,unspecified,8
CYP2C19,Positive,1
integrase,unspecified,1
ADARB1,unspecified,1
KCNK9,Negative,3
GABA A Alpha6Beta3Gamma2,unspecified,1
MAOA,unspecified,7
ATP1A2,Negative,1
CHPT1,unspecified,1
PDE6G,Negative,2
GRIA2,unspecified,2
mrcB,unspecified,5
CSNK1A1,unspecified,13
SLC22A5,Positive,1
PI3K,unspecified,4
POLA1,Negative,3
ACE,Negative,16
TYK2,Negative,4
C1R,unspecified,1
BCL6,Positive,1
WDR53,Positive,1
GPR143,Positive,1
TUBB1,Negative,8
CDC42BPB,unspecified,13
FGFR1,unspecified,16
KCNA5,unspecified,2
POLR2A,Positive,1
ZNF217,unspecified,1
PDXP,Positive,1
UMP-CMP kinase,unspecified,1
CYP2C9,Negative,444
GABA A Benzodiazepine Type IIM,unspecified,1
CYP3A4,unspecified,14
EPHA6,Negative,1
Choline Uptake,unspecified,2
CD38,Negative,1
NMRAL1,unspecified,1
TUBB8,Positive,1
MAPK12,unspecified,15
ESRRB,Positive,2
ITGB3,unspecified,3
DYRK2,unspecified,13
RASL11B,unspecified,1
CDA,unspecified,1
HOXA10,unspecified,3
TNFRSF4,Negative,1
SP1,Positive,3
CA6,Positive,4
LOC103694905,Negative,5
ADCY5,unspecified,1
APN,unspecified,1
Sigma-1,unspecified,31
Met proto-oncogene (hepatocyte growth factor ,unspecified,1
FOLR2,unspecified,2
IKBKB,Negative,8
ZAP70,unspecified,13
LRRN4,Positive,1
PTPN1,Positive,1
RSPH1,Positive,1
DHCR24,Negative,9
TNS2,Positive,1
Non-receptor tyrosine kinase Tyk2,unspecified,1
CHRNB4,Negative,2
Tyrosine kinase receptor ron,unspecified,1
BRINP2,Positive,1
IDE,unspecified,2
ALDH5,unspecified,1
HMGCR,Negative,372
FGFR2,Positive,1
BDNF,unspecified,1
MAP2K2,Negative,5
CSNK2A2,Negative,1
ORAI2,Negative,1
CKS1B,Negative,1
SLC25A37,Positive,1
TUBA3D,Positive,1
ERBB2,Positive,1
DDR2,unspecified,13
RACGAP1,Negative,4
carbonic anhydrase,unspecified,10
RGN,unspecified,2
PMP22,Positive,1
CHRND,Positive,2
BCR/ABL,unspecified,3
CACNA1B,unspecified,3
RXRG,Negative,4
C8ORF59,unspecified,1
EIF2AK4,Positive,1
CHEK1,unspecified,13
contrast agent,unspecified,1
ASIC5,Positive,1
NEK6,unspecified,15
GPR35,Positive,8
EDIL3,unspecified,1
RNF17,Positive,1
SUN1,unspecified,1
HINT1,unspecified,1
5alpha reductase inhbitor,unspecified,1
AQP11,Positive,1
catalase-peroxidase,unspecified,2
ALAD,unspecified,2
KDM5B,Negative,1
CCDC137,Positive,1
CETP,unspecified,1
CEL,unspecified,1
PLD2,Negative,1
IL6ST,unspecified,1
KCNK2,unspecified,1
RPL23,unspecified,1
IL4,Negative,1
BMX,Negative,3
CNR1,Negative,3
NANOS1,Positive,1
fatty acid carrier,unspecified,1
SH2B3,Positive,1
HTR3B,Positive,2
CDK11B,unspecified,13
KRT7,unspecified,1
GABAR,unspecified,17
IRF3,unspecified,1
TNFRSF21,Positive,1
IMPA1,Negative,76
CHUK,Negative,5
BRK,Negative,1
HCAR3,Negative,1
ASZ1,Positive,1
TEC,unspecified,13
PDE2A,Negative,5
CFTR,Positive,1
CYP1B1,Negative,5
FABP6,unspecified,1
CKB,unspecified,2
CHRNA6,unspecified,3
MDC1,Positive,1
ZDHHC5,Positive,1
TICAM2,unspecified,1
TNIP2,unspecified,1
KCNK1,unspecified,1
SEC16B,Positive,1
TMEM175,unspecified,1
KCNA4,Negative,1
NPSR1,Negative,67
"Na+, K+-ATPase",unspecified,2
ALS,unspecified,1
CYLC1,Positive,1
TNFRSF1B,Positive,1
FLT4,Negative,12
DLG5,Positive,1
CDKAL1,Positive,1
CD28,Positive,2
GHSR,Positive,1
NDRG2,unspecified,1
ZFP235,Positive,1
5-HT2C-INI,unspecified,1
F2,Positive,1
OBP2A,Positive,1
CHRNA3,Positive,1
PHLDB2,unspecified,1
PTH1R,unspecified,5
CYP2F1,Negative,1
AKT3,unspecified,13
RPS6KA1,Negative,2
AR,Negative,435
GAPDH,unspecified,3
PTGIR,unspecified,2
DHPS,unspecified,3
ADRBx [ ADRB2 ADRB1 ],unspecified,1
PDSS1,Positive,1
SF3B4,unspecified,1
HTR3C,unspecified,6
PUS1,Positive,1
ANKRD13A,Positive,1
MDN1,Positive,1
CYP1A2,Positive,4
ACVR1,Positive,1
IFNGR2,unspecified,1
NSUN6,Positive,1
IQCF1,Positive,1
hydrolase,unspecified,2
APP,Negative,15
MRAP2,unspecified,1
PDE8A,Negative,5
PLIN5,Positive,1
STAT6,unspecified,4
VKOR,unspecified,2
AXL,unspecified,13
STX3,unspecified,1
NRP1,unspecified,1
"Cholinergic, Nicotinic Alpha2Beta2",unspecified,7
HTR2A,Positive,15
SLC6A11,unspecified,1
PPARGC1A,Positive,1
CTNNB1,Negative,3
PDCL,Positive,1
KRAS,Negative,1
MPP1,Positive,1
RBM48,unspecified,1
KAT2B,Positive,1
CTSZ,Negative,1
PSMB2,Negative,3
ABCC3,Negative,12
PPP1R3C,unspecified,1
CRABP1,unspecified,2
COL4A5,Positive,1
MGAT3,unspecified,1
PIK3CG,unspecified,13
AMER2,Positive,1
FLT1,Negative,12
TOP1,unspecified,2
AKR7A2,unspecified,1
NCKIPSD,Positive,1
MAPK8,Negative,3
GAA,Positive,22
PDPN,unspecified,1
AVPR2,Negative,6
