OASIS_ID,DTXSID,PREFERRED_NAME,DTXCID,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,DILILIST_ID,DILIRANK2_ID,DRUGMATRIX_ID,FRAUNHOFER_ID,ICE_ID,TGGATES_ID,TOXREFDB_ID,Invivo_ranking,Purchased_Broad_Enamine,Purchased_Broad_Molport,Purchased_Broad_Medchemxpress,InChIKey14,BESP,animal hepatotoxicity Ambe et al,animal hepatotoxicity Liu et al,human hepatotoxicity Mulliner et al,preclinical hepatotoxicity Mulliner et al
OASIS294,DTXSID0020494,Dimethyl methylphosphonate,DTXCID40494,756-79-6,VONWDASPFIQPDY-UHFFFAOYSA-N,Dimethyl methylphosphonate,COP(C)(=O)OC,"InChI=1S/C3H9O3P/c1-5-7(3,4)6-2/h1-3H3
",,,drugmatrix_30,fraunhofer_85,ice_33,,,2.0,Yes,No,No,VONWDASPFIQPDY,,0.0,,,1.0
OASIS1696,DTXSID1020699,4-Hexylresorcinol,DTXCID10699,136-77-6,WFJIVOKAWHGMBH-UHFFFAOYSA-N,"4-Hexylbenzene-1,3-diol",CCCCCCC1=C(O)C=C(O)C=C1,"InChI=1S/C12H18O2/c1-2-3-4-5-6-10-7-8-11(13)9-12(10)14/h7-9,13-14H,2-6H2,1H3
",,,,,ice_122,,,3.0,Yes,No,Yes,WFJIVOKAWHGMBH,,0.0,0.0,0.0,0.0
OASIS1726,DTXSID101021648,Mirabegron,DTXCID401506657,223673-61-8,PBAPPPCECJKMCM-IBGZPJMESA-N,,[H]OC([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(N([H])C(=O)C([H])([H])C2=C([H])SC(=N2)N([H])[H])C([H])=C1[H],"InChI=1S/C21H24N4O2S/c22-21-25-18(14-28-21)12-20(27)24-17-8-6-15(7-9-17)10-11-23-13-19(26)16-4-2-1-3-5-16/h1-9,14,19,23,26H,10-13H2,(H2,22,25)(H,24,27)/t19-/m0/s1
",,dilirank2_36,,,,,,4.0,No,Yes,Yes,PBAPPPCECJKMCM,,,,1.0,1.0
OASIS911,DTXSID3023180,Itraconazole,DTXCID903180,84625-61-6,VHVPQPYKVGDNFY-ZPGVKDDISA-N,"2-(Butan-2-yl)-4-(4-{4-[4-({(2R,4S)-2-(2,4-dichlorophenyl)-2-[(1H-1,2,4-triazol-1-yl)methyl]-1,3-dioxolan-4-yl}methoxy)phenyl]piperazin-1-yl}phenyl)-2,4-dihydro-3H-1,2,4-triazol-3-one",CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,"InChI=1S/C35H38Cl2N8O4/c1-3-25(2)45-34(46)44(24-40-45)29-7-5-27(6-8-29)41-14-16-42(17-15-41)28-9-11-30(12-10-28)47-19-31-20-48-35(49-31,21-43-23-38-22-39-43)32-13-4-26(36)18-33(32)37/h4-13,18,22-25,31H,3,14-17,19-21H2,1-2H3/t25?,31-,35-/m0/s1
",dilist_406,,,,,,,4.0,Yes,No,Yes,VHVPQPYKVGDNFY,1.0,,,1.0,1.0
OASIS1676,DTXSID5025607,"1,2-Dimethoxy-4-(2-propen-1-yl)benzene",DTXCID505607,93-15-2,ZYEMGPIYFIJGTP-UHFFFAOYSA-N,"1,2-Dimethoxy-4-(prop-2-en-1-yl)benzene",COC1=CC=C(CC=C)C=C1OC,"InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4,6-8H,1,5H2,2-3H3
",,,,,ice_39,,,3.0,Yes,No,Yes,ZYEMGPIYFIJGTP,,,1.0,,1.0
OASIS346,DTXSID8031865,Perfluorooctanoic acid,DTXCID6011865,335-67-1,SNGREZUHAYWORS-UHFFFAOYSA-N,Pentadecafluorooctanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8HF15O2/c9-2(10,1(24)25)3(11,12)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)23/h(H,24,25)
",,,,fraunhofer_20,ice_11,,,3.0,Yes,No,No,SNGREZUHAYWORS,,1.0,1.0,,1.0
OASIS1667,DTXSID0021414,Tris(2-ethylhexyl) phosphate,DTXCID801414,78-42-2,GTVWRXDRKAHEAD-UHFFFAOYSA-N,Tris(2-ethylhexyl) phosphate,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,"InChI=1/C24H51O4P/c1-7-13-16-22(10-4)19-26-29(25,27-20-23(11-5)17-14-8-2)28-21-24(12-6)18-15-9-3/h22-24H,7-21H2,1-6H3
",,,,,ice_74,,,3.0,No,Yes,No,GTVWRXDRKAHEAD,,,,,1.0
OASIS1391,DTXSID8022371,Testosterone,DTXCID302371,58-22-0,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,17beta-Hydroxyandrost-4-en-3-one,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,"InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-17,21H,3-10H2,1-2H3/t14-,15-,16-,17-,18-,19-/m0/s1
",dilist_354,,,,,,,4.0,Yes,No,No,MUMGGOZAMZWBJJ,1.0,,,1.0,
OASIS408,DTXSID4020828,4-Methoxyphenol,DTXCID60828,150-76-5,NWVVVBRKAWDGAB-UHFFFAOYSA-N,4-Methoxyphenol,COC1=CC=C(O)C=C1,"InChI=1S/C7H8O2/c1-9-7-4-2-6(8)3-5-7/h2-5,8H,1H3
",,,,fraunhofer_66,,,,3.0,No,Yes,Yes,NWVVVBRKAWDGAB,,,,,1.0
OASIS1495,DTXSID80879993,Abiraterone,DTXCID501021626,154229-19-3,GZOSMCIZMLWJML-VJLLXTKPSA-N,"17-(Pyridin-3-yl)androsta-5,16-dien-3beta-ol",[H][C@@]12CC=C(C3=CN=CC=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,"InChI=1S/C24H31NO/c1-23-11-9-18(26)14-17(23)5-6-19-21-8-7-20(16-4-3-13-25-15-16)24(21,2)12-10-22(19)23/h3-5,7,13,15,18-19,21-22,26H,6,8-12,14H2,1-2H3/t18-,19-,21-,22-,23-,24+/m0/s1
",dilist_346,,,,,,,4.0,Yes,No,Yes,GZOSMCIZMLWJML,0.0,,,,
OASIS403,DTXSID1032519,Acibenzolar-S-methyl,DTXCID9012519,135158-54-2,UELITFHSCLAHKR-UHFFFAOYSA-N,"S-Methyl 1,2,3-benzothiadiazole-7-carbothioate",CSC(=O)C1=CC=CC2=C1SN=N2,"InChI=1S/C8H6N2OS2/c1-12-8(11)5-3-2-4-6-7(5)13-10-9-6/h2-4H,1H3
",,,,fraunhofer_60,,,,3.0,No,Yes,No,UELITFHSCLAHKR,,,1.0,,1.0
OASIS1844,DTXSID5037577,Moxidectin,DTXCID001511432,113507-06-5,YZBLFMPOMVTDJY-LSGXYNIPSA-N,"[2'R,2a(3)E,4E,4'E,5'S,6R,6'S,8E,11R,15S,17aR,20R,20aR,20bS]-20,20b-Dihydroxy-4'-(methoxyimino)-5',6,8,19-tetramethyl-6'-[(2E)-4-methylpent-2-en-2-yl]-6,7,10,11,14,15,17a,20,20a,20b-decahydro-2H,17H-spiro[11,15-methanofuro[4,3,2-pq][2,6]benzodioxacyclooctadecine-13,2'-oxan]-17-one",CO\N=C1/C[C@]2(C[C@@H]3C[C@@H](C\C=C(C)\C[C@@H](C)\C=C\C=C4/CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@@H]([C@H]1C)C(\C)=C\C(C)C,"InChI=1S/C37H53NO8/c1-21(2)14-25(6)33-26(7)31(38-42-8)19-36(46-33)18-29-17-28(45-36)13-12-23(4)15-22(3)10-9-11-27-20-43-34-32(39)24(5)16-30(35(40)44-29)37(27,34)41/h9-12,14,16,21-22,26,28-30,32-34,39,41H,13,15,17-20H2,1-8H3/b10-9+,23-12+,25-14+,27-11+,38-31+/t22-,26-,28+,29-,30-,32+,33+,34+,36-,37+/m0/s1
",,dilirank2_174,,,,,,4.0,No,Yes,Yes,YZBLFMPOMVTDJY,,0.0,,,
OASIS1338,DTXSID7040651,Artemether,DTXCID30819889,71963-77-4,SXYIRMFQILZOAM-HVNFFKDJSA-N,"(3R,5aS,6R,8aS,9R,10S,12R,12aR)-10-Methoxy-3,6,9-trimethyldecahydro-12H-3,12-epoxypyrano[4,3-j][1,2]benzodioxepine",[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,"InChI=1S/C16H26O5/c1-9-5-6-12-10(2)13(17-4)18-14-16(12)11(9)7-8-15(3,19-14)20-21-16/h9-14H,5-8H2,1-4H3/t9-,10-,11+,12+,13+,14-,15-,16-/m1/s1
",dilist_843,,,,,,,4.0,Yes,No,Yes,SXYIRMFQILZOAM,0.0,,,,1.0
OASIS444,DTXSID9021427,Urethane,DTXCID301427,51-79-6,JOYRKODLDBILNP-UHFFFAOYSA-N,Ethyl carbamate,CCOC(N)=O,"InChI=1S/C3H7NO2/c1-2-6-3(4)5/h2H2,1H3,(H2,4,5)
",,,,fraunhofer_119,,,,3.0,No,Yes,Yes,JOYRKODLDBILNP,0.0,1.0,,1.0,1.0
OASIS1620,DTXSID0020107,Aspartame,DTXCID20107,22839-47-0,IAOZJIPTCAWIRG-QWRGUYRKSA-N,Methyl L-alpha-aspartyl-L-phenylalaninate,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,"InChI=1S/C14H18N2O5/c1-21-14(20)11(7-9-5-3-2-4-6-9)16-13(19)10(15)8-12(17)18/h2-6,10-11H,7-8,15H2,1H3,(H,16,19)(H,17,18)/t10-,11-/m0/s1
",,,,,ice_89,,,3.0,No,Yes,Yes,IAOZJIPTCAWIRG,0.0,,,0.0,0.0
OASIS399,DTXSID7024821,1-Chloro-4-(trifluoromethyl)benzene,DTXCID004821,98-56-6,QULYNCCPRWKEMF-UHFFFAOYSA-N,1-Chloro-4-(trifluoromethyl)benzene,FC(F)(F)C1=CC=C(Cl)C=C1,"InChI=1S/C7H4ClF3/c8-6-3-1-5(2-4-6)7(9,10)11/h1-4H
",,,,fraunhofer_56,,,,3.0,No,Yes,No,QULYNCCPRWKEMF,,,,,1.0
OASIS261,DTXSID6047363,Volinanserin,DTXCID4027363,139290-65-6,HXTGXYRHXAGCFP-OAQYLSRUSA-N,"(R)-(2,3-Dimethoxyphenyl){1-[2-(4-fluorophenyl)ethyl]piperidin-4-yl}methanol",COC1=C(OC)C(=CC=C1)[C@H](O)C1CCN(CCC2=CC=C(F)C=C2)CC1,"InChI=1S/C22H28FNO3/c1-26-20-5-3-4-19(22(20)27-2)21(25)17-11-14-24(15-12-17)13-10-16-6-8-18(23)9-7-16/h3-9,17,21,25H,10-15H2,1-2H3/t21-/m1/s1
",,,,,,,toxrefdb_41,1.0,No,Yes,Yes,HXTGXYRHXAGCFP,,,0.0,,
OASIS1632,DTXSID8031863,Perfluorononanoic acid,DTXCID6011863,375-95-1,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,Heptadecafluorononanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C9HF17O2/c10-2(11,1(27)28)3(12,13)4(14,15)5(16,17)6(18,19)7(20,21)8(22,23)9(24,25)26/h(H,27,28)
",,,,,ice_28,,,3.0,Yes,No,Yes,UZUFPBIDKMEQEQ,,,0.0,,
OASIS011,DTXSID0020365,Cyclosporin A,DTXCID00365,59865-13-3,PMATZTZNYRCHOR-CGLBZJNRSA-N,"(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-30-Ethyl-33-[(1R,2R,4E)-1-hydroxy-2-methylhex-4-en-1-yl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecaazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone",[H][C@@]1([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@H](CC)NC1=O)C(C)C,"InChI=1S/C62H111N11O12/c1-25-27-28-40(15)52(75)51-56(79)65-43(26-2)58(81)67(18)33-48(74)68(19)44(29-34(3)4)55(78)66-49(38(11)12)61(84)69(20)45(30-35(5)6)54(77)63-41(16)53(76)64-42(17)57(80)70(21)46(31-36(7)8)59(82)71(22)47(32-37(9)10)60(83)72(23)50(39(13)14)62(85)73(51)24/h25,27,34-47,49-52,75H,26,28-33H2,1-24H3,(H,63,77)(H,64,76)(H,65,79)(H,66,78)/b27-25+/t40-,41+,42-,43+,44+,45+,46+,47+,49+,50+,51+,52-/m1/s1
",dilist_1106,,drugmatrix_25,,,tggates_9,,2.0,Yes,No,Yes,PMATZTZNYRCHOR,1.0,,,,
OASIS1427,DTXSID8023397,Oxacillin,DTXCID403397,66-79-5,UWYHMGVUTGAWSP-JKIFEVAISA-N,"(2S,5R,6R)-3,3-Dimethyl-6-[(5-methyl-3-phenyl-1,2-oxazole-4-carbonyl)amino]-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)C(=NO1)C1=CC=CC=C1,"InChI=1S/C19H19N3O5S/c1-9-11(12(21-27-9)10-7-5-4-6-8-10)15(23)20-13-16(24)22-14(18(25)26)19(2,3)28-17(13)22/h4-8,13-14,17H,1-3H3,(H,20,23)(H,25,26)/t13-,14+,17-/m1/s1
",dilist_278,,,,,,,4.0,Yes,No,No,UWYHMGVUTGAWSP,0.0,,,1.0,
OASIS1634,DTXSID4031980,Resveratrol,DTXCID2011980,501-36-0,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,"5-[(E)-2-(4-Hydroxyphenyl)ethenyl]benzene-1,3-diol",OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1,"InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H/b2-1+
",,,,,ice_108,,,3.0,Yes,No,Yes,LUKBXSAWLPMMSZ,,,,,1.0
OASIS898,DTXSID3022794,Chlorguanide,DTXCID902794,500-92-5,SSOLNOMRVKKSON-UHFFFAOYSA-N,N-(4-Chlorophenyl)-N'-propan-2-yltriimidodicarbonic diamide,CC(C)NC(=N)NC(=N)NC1=CC=C(Cl)C=C1,"InChI=1S/C11H16ClN5/c1-7(2)15-10(13)17-11(14)16-9-5-3-8(12)4-6-9/h3-7H,1-2H3,(H5,13,14,15,16,17)
",dilist_187,,,,,,,4.0,Yes,No,Yes,SSOLNOMRVKKSON,,,,1.0,0.0
OASIS450,DTXSID7024160,Lactofen,DTXCID404160,77501-63-4,CONWAEURSVPLRM-UHFFFAOYSA-N,1-Ethoxy-1-oxopropan-2-yl 5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoate,CCOC(=O)C(C)OC(=O)C1=C(C=CC(OC2=C(Cl)C=C(C=C2)C(F)(F)F)=C1)[N+]([O-])=O,"InChI=1/C19H15ClF3NO7/c1-3-29-17(25)10(2)30-18(26)13-9-12(5-6-15(13)24(27)28)31-16-7-4-11(8-14(16)20)19(21,22)23/h4-10H,3H2,1-2H3
",,,,fraunhofer_126,,,,3.0,No,Yes,No,CONWAEURSVPLRM,,0.0,1.0,,1.0
OASIS738,DTXSID1023819,Stavudine,DTXCID803819,3056-17-5,XNKLLVCARDGLGL-JGVFFNPUSA-N,"1-[(2R,5S)-5-(Hydroxymethyl)-2,5-dihydrofuran-2-yl]-5-methylpyrimidine-2,4(1H,3H)-dione",CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,"InChI=1S/C10H12N2O4/c1-6-4-12(10(15)11-9(6)14)8-3-2-7(5-13)16-8/h2-4,7-8,13H,5H2,1H3,(H,11,14,15)/t7-,8+/m0/s1
",dilist_324,,,,,,,4.0,Yes,No,Yes,XNKLLVCARDGLGL,0.0,,,,
OASIS389,DTXSID1026665,3-Pyridinecarbonitrile,DTXCID606665,100-54-9,GZPHSAQLYPIAIN-UHFFFAOYSA-N,Pyridine-3-carbonitrile,N#CC1=CN=CC=C1,"InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-3,5H
",,,,fraunhofer_46,,,,3.0,No,Yes,Yes,GZPHSAQLYPIAIN,,1.0,0.0,,
OASIS1691,DTXSID6025692,Myrcene,DTXCID205692,123-35-3,UAHWPYUMFXYFJY-UHFFFAOYSA-N,"7-Methyl-3-methylideneocta-1,6-diene",CC(C)=CCCC(=C)C=C,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3
",,,,,ice_69,,,3.0,Yes,No,Yes,UAHWPYUMFXYFJY,,0.0,1.0,,1.0
OASIS1184,DTXSID6022553,Acitretin,DTXCID902553,55079-83-9,IHUNBGSDBOWDMA-AQFIFDHZSA-N,"(2E,4E,6E,8E)-9-(4-Methoxy-2,3,6-trimethylphenyl)-3,7-dimethylnona-2,4,6,8-tetraenoic acid",COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,"InChI=1S/C21H26O3/c1-14(8-7-9-15(2)12-21(22)23)10-11-19-16(3)13-20(24-6)18(5)17(19)4/h7-13H,1-6H3,(H,22,23)/b9-7+,11-10+,14-8+,15-12+
",dilist_762,,,,,,,4.0,Yes,No,Yes,IHUNBGSDBOWDMA,1.0,,,,
OASIS390,DTXSID1060768,"1,4-Benzenedicarbonitrile",DTXCID7043299,623-26-7,BHXFKXOIODIUJO-UHFFFAOYSA-N,"Benzene-1,4-dicarbonitrile",N#CC1=CC=C(C=C1)C#N,"InChI=1S/C8H4N2/c9-5-7-1-2-8(6-10)4-3-7/h1-4H
",,,,fraunhofer_47,,,,3.0,No,Yes,Yes,BHXFKXOIODIUJO,,1.0,,,
OASIS153,DTXSID0020606,Bis(2-ethylhexyl)hexanedioate,DTXCID40606,103-23-1,SAOKZLXYCUGLFA-UHFFFAOYSA-N,Bis(2-ethylhexyl) hexanedioate,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,"InChI=1/C22H42O4/c1-5-9-13-19(7-3)17-25-21(23)15-11-12-16-22(24)26-18-20(8-4)14-10-6-2/h19-20H,5-18H2,1-4H3
",,,,,,,toxrefdb_100,1.0,No,Yes,Yes,SAOKZLXYCUGLFA,,,,,1.0
OASIS825,DTXSID2023694,Tranylcypromine,DTXCID501473942,155-09-9,AELCINSCMGFISI-MASDURLHNA-N,"(1R,2S)-2-Phenylcyclopropan-1-amine",N[C@@H]1C[C@H]1C1=CC=CC=C1,"InChI=1/C9H11N/c10-9-6-8(9)7-4-2-1-3-5-7/h1-5,8-9H,6,10H2/t8-,9+/s2
",dilist_967,,,,,,,4.0,Yes,No,No,AELCINSCMGFISI,0.0,,,1.0,0.0
OASIS497,DTXSID4024195,2-(4-Chloro-2-methylphenoxy)acetic acid,DTXCID304195,94-74-6,WHKUVVPPKQRRBV-UHFFFAOYSA-N,(4-Chloro-2-methylphenoxy)acetic acid,CC1=C(OCC(O)=O)C=CC(Cl)=C1,"InChI=1S/C9H9ClO3/c1-6-4-7(10)2-3-8(6)13-5-9(11)12/h2-4H,5H2,1H3,(H,11,12)
",,,,fraunhofer_178,,,,3.0,No,Yes,Yes,WHKUVVPPKQRRBV,,1.0,,,1.0
OASIS1282,DTXSID7021237,Reserpine,DTXCID201237,50-55-5,QEVHRUUCFGRFIF-MDEJGZGSSA-N,"Methyl 11,17alpha-dimethoxy-18beta-[(3,4,5-trimethoxybenzoyl)oxy]-3beta,20alpha-yohimban-16beta-carboxylate",[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,"InChI=1S/C33H40N2O9/c1-38-19-7-8-20-21-9-10-35-16-18-13-27(44-32(36)17-11-25(39-2)30(41-4)26(12-17)40-3)31(42-5)28(33(37)43-6)22(18)15-24(35)29(21)34-23(20)14-19/h7-8,11-12,14,18,22,24,27-28,31,34H,9-10,13,15-16H2,1-6H3/t18-,22+,24-,27-,28+,31+/m1/s1
",dilist_829,,,,,,,4.0,Yes,No,Yes,QEVHRUUCFGRFIF,1.0,,,0.0,1.0
