OASIS_ID,DTXSID,PREFERRED_NAME,DTXCID,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,DILILIST_ID,DILIRANK2_ID,DRUGMATRIX_ID,FRAUNHOFER_ID,ICE_ID,TGGATES_ID,TOXREFDB_ID,Invivo_ranking,Purchased_Broad_Enamine,Purchased_Broad_Molport,Purchased_Broad_Medchemxpress,InChIKey14,Y_Caco2_Wang,Y_PAMPA_NCATS,Y_HIA_Hou,Y_Pgp_Broccatelli,Y_Bioavailability_Ma,Y_Lipophilicity_AstraZeneca,Y_Solubility_AqSolDB,Y_HydrationFreeEnergy_FreeSolv,Y_BBB_Martins,Y_PPBR_AZ,Y_CYP2C19_Veith,Y_CYP2D6_Veith,Y_CYP3A4_Veith,Y_CYP1A2_Veith,Y_CYP2C9_Veith,Y_CYP2C9_Substrate_CarbonMangels,Y_CYP2D6_Substrate_CarbonMangels,Y_CYP3A4_Substrate_CarbonMangels,Y_Half_Life_Obach,Y_Clearance_Hepatocyte_AZ
OASIS645,DTXSID0023589,Sotalol,DTXCID303589,3930-20-9,ZBMZVLHSJCTVON-UHFFFAOYSA-N,N-(4-{1-Hydroxy-2-[(propan-2-yl)amino]ethyl}phenyl)methanesulfonamide,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,"InChI=1/C12H20N2O3S/c1-9(2)13-8-12(15)10-4-6-11(7-5-10)14-18(3,16)17/h4-7,9,12-15H,8H2,1-3H3
",dilist_190,,,,,,,4,No,Yes,No,ZBMZVLHSJCTVON,,,,,1,,,,1,,,,,,,,,,6.3,
OASIS1106,DTXSID5023116,Guanethidine,DTXCID203116,55-65-2,ACGDKVXYNVEAGU-UHFFFAOYSA-N,N-[2-(Azocan-1-yl)ethyl]guanidine,NC(=N)NCCN1CCCCCCC1,"InChI=1S/C10H22N4/c11-10(12)13-6-9-14-7-4-2-1-3-5-8-14/h1-9H2,(H4,11,12,13)
",dilist_896,,,,,,,4,Yes,No,No,ACGDKVXYNVEAGU,,,,,0,,,,0,,0,0,0,0,0,,,,,
OASIS510,DTXSID3024239,Oxadiazon,DTXCID304239,19666-30-9,CHNUNORXWHYHNE-UHFFFAOYSA-N,"5-tert-Butyl-3-{2,4-dichloro-5-[(propan-2-yl)oxy]phenyl}-1,3,4-oxadiazol-2(3H)-one",CC(C)OC1=CC(N2N=C(OC2=O)C(C)(C)C)=C(Cl)C=C1Cl,"InChI=1S/C15H18Cl2N2O3/c1-8(2)21-12-7-11(9(16)6-10(12)17)19-14(20)22-13(18-19)15(3,4)5/h6-8H,1-5H3
",,,,fraunhofer_195,,,,3,No,Yes,Yes,CHNUNORXWHYHNE,,,,,,,-5.54,,,,,,,,,,,,,
OASIS703,DTXSID1022843,Clomiphene,DTXCID202843,911-45-5,GKIRPKYJQBWNGO-UHFFFAOYSA-N,"2-[4-(2-Chloro-1,2-diphenylethenyl)phenoxy]-N,N-diethylethan-1-amine",CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C26H28ClNO/c1-3-28(4-2)19-20-29-24-17-15-22(16-18-24)25(21-11-7-5-8-12-21)26(27)23-13-9-6-10-14-23/h5-18H,3-4,19-20H2,1-2H3
",dilist_531,,,,,,,4,Yes,No,No,GKIRPKYJQBWNGO,,,,,,4.09,,,,,,,,,,,,,,
OASIS1105,DTXSID5023114,Guaifenesin,DTXCID403114,93-14-1,HSRJKNPTNIJEKV-UHFFFAOYSA-N,"3-(2-Methoxyphenoxy)propane-1,2-diol",COC1=CC=CC=C1OCC(O)CO,"InChI=1/C10H14O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-5,8,11-12H,6-7H2,1H3
",dilist_810,,,,,,,4,Yes,No,Yes,HSRJKNPTNIJEKV,,,,0,,0.24,-0.73,,,,0,0,0,,0,,,,,
OASIS1024,DTXSID4023462,Phentolamine,DTXCID703462,50-60-2,MRBDMNSDAVCSSF-UHFFFAOYSA-N,"3-{[(4,5-Dihydro-1H-imidazol-2-yl)methyl](4-methylphenyl)amino}phenol",CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1,"InChI=1S/C17H19N3O/c1-13-5-7-14(8-6-13)20(12-17-18-9-10-19-17)15-3-2-4-16(21)11-15/h2-8,11,21H,9-10,12H2,1H3,(H,18,19)
",dilist_313,,,,,,,4,Yes,No,Yes,MRBDMNSDAVCSSF,,,,,,,,,,,1,,,,,,,,,
OASIS1870,DTXSID6040666,Deferiprone,DTXCID4020666,30652-11-0,TZXKOCQBRNJULO-UHFFFAOYSA-N,"3-Hydroxy-1,2-dimethylpyridin-4(1H)-one",CN1C=CC(=O)C(O)=C1C,"InChI=1S/C7H9NO2/c1-5-7(10)6(9)3-4-8(5)2/h3-4,10H,1-2H3
",,dilirank2_155,,,,,,4,No,Yes,Yes,TZXKOCQBRNJULO,-4.8885303,,,,,,,,1,,,,,,,,,,,
OASIS958,DTXSID3046457,Etoricoxib,DTXCID1026457,202409-33-4,MNJVRJDLRVPLFE-UHFFFAOYSA-N,"5-Chloro-3-[4-(methanesulfonyl)phenyl]-6'-methyl-2,3'-bipyridine",CC1=NC=C(C=C1)C1=NC=C(Cl)C=C1C1=CC=C(C=C1)S(C)(=O)=O,"InChI=1S/C18H15ClN2O2S/c1-12-3-4-14(10-20-12)18-17(9-15(19)11-21-18)13-5-7-16(8-6-13)24(2,22)23/h3-11H,1-2H3
",dilist_328,,,,,,,4,Yes,No,Yes,MNJVRJDLRVPLFE,,,,,,,,,,,,,,,,1,1,1,26,
OASIS294,DTXSID0020494,Dimethyl methylphosphonate,DTXCID40494,756-79-6,VONWDASPFIQPDY-UHFFFAOYSA-N,Dimethyl methylphosphonate,COP(C)(=O)OC,"InChI=1S/C3H9O3P/c1-5-7(3,4)6-2/h1-3H3
",,,drugmatrix_30,fraunhofer_85,ice_33,,,2,Yes,No,No,VONWDASPFIQPDY,,,,,,,-0.093687784,,,,,,,,,,,,,
OASIS087,DTXSID4022573,Allopurinol,DTXCID502573,315-30-0,OFCNXPDARWKPPY-UHFFFAOYSA-N,"1,7-Dihydro-4H-pyrazolo[3,4-d]pyrimidin-4-one",O=C1N=CNC2=C1C=NN2,"InChI=1S/C5H4N4O/c10-5-3-1-8-9-4(3)6-2-7-5/h1-2H,(H2,6,7,8,9,10)
",dilist_1063,,,,,tggates_83,,2,Yes,No,Yes,OFCNXPDARWKPPY,,,1,,1,-0.42,-2.3788,,0,,,,,,,,,,0.8,
OASIS767,DTXSID1048837,Phenoxypropazine,DTXCID8028763,3818-37-9,QNEXFJFTGQBXBJ-UHFFFAOYSA-N,(1-Phenoxypropan-2-yl)hydrazine,CC(COC1=CC=CC=C1)NN,"InChI=1/C9H14N2O/c1-8(11-10)7-12-9-5-3-2-4-6-9/h2-6,8,11H,7,10H2,1H3
",dilist_219,,,,,,,4,Yes,No,No,QNEXFJFTGQBXBJ,,,,,,,,,1,,,,,,,,,,,
OASIS1191,DTXSID6022719,Cabergoline,DTXCID502719,81409-90-7,KORNTPPJEAJQIU-KJXAQDMKSA-N,N-[3-(Dimethylamino)propyl]-N-(ethylcarbamoyl)-6-(prop-2-en-1-yl)ergoline-8beta-carboxamide,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(CC=C)C1,"InChI=1S/C26H37N5O2/c1-5-11-30-17-19(25(32)31(26(33)27-6-2)13-8-12-29(3)4)14-21-20-9-7-10-22-24(20)18(16-28-22)15-23(21)30/h5,7,9-10,16,19,21,23,28H,1,6,8,11-15,17H2,2-4H3,(H,27,33)/t19-,21-,23-/m1/s1
",dilist_542,,,,,,,4,No,No,Yes,KORNTPPJEAJQIU,,,,,1,,,,1,,,,,,,,,,,
OASIS1412,DTXSID8023135,Hydroxychloroquine,DTXCID403135,118-42-3,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,2-[{4-[(7-Chloroquinolin-4-yl)amino]pentyl}(ethyl)amino]ethan-1-ol,CCN(CCO)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,"InChI=1/C18H26ClN3O/c1-3-22(11-12-23)10-4-5-14(2)21-17-8-9-20-18-13-15(19)6-7-16(17)18/h6-9,13-14,23H,3-5,10-12H2,1-2H3,(H,20,21)
",dilist_532,,,,,,,4,Yes,No,Yes,XXSMGPRMXLTPCZ,,,,,1,0.77,,,,,,,,,,0,0,0,850,
OASIS1556,DTXSID9023708,Trimeprazine,DTXCID903708,84-96-8,ZZHLYYDVIOPZBE-UHFFFAOYSA-N,"N,N,2-Trimethyl-3-(10H-phenothiazin-10-yl)propan-1-amine",CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=CC=C2,"InChI=1/C18H22N2S/c1-14(12-19(2)3)13-20-15-8-4-6-10-17(15)21-18-11-7-5-9-16(18)20/h4-11,14H,12-13H2,1-3H3
",dilist_212,,,,,,,4,No,Yes,No,ZZHLYYDVIOPZBE,,,1,,,,,,1,,,,,,,,,,,
OASIS612,DTXSID0022648,Benidipene,DTXCID802648,105979-17-7,QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,"(3R)-1-Benzylpiperidin-3-yl methyl (4R)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",COC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)O[C@@H]1CCCN(CC2=CC=CC=C2)C1,"InChI=1S/C28H31N3O6/c1-18-24(27(32)36-3)26(21-11-7-12-22(15-21)31(34)35)25(19(2)29-18)28(33)37-23-13-8-14-30(17-23)16-20-9-5-4-6-10-20/h4-7,9-12,15,23,26,29H,8,13-14,16-17H2,1-3H3/t23-,26-/m1/s1
",dilist_743,,,,,,,4,Yes,No,No,QZVNQOLPLYWLHQ,,,,1,,,,,,,,,,,,0,0,0,,
OASIS1696,DTXSID1020699,4-Hexylresorcinol,DTXCID10699,136-77-6,WFJIVOKAWHGMBH-UHFFFAOYSA-N,"4-Hexylbenzene-1,3-diol",CCCCCCC1=C(O)C=C(O)C=C1,"InChI=1S/C12H18O2/c1-2-3-4-5-6-10-7-8-11(13)9-12(10)14/h7-9,13-14H,2-6H2,1H3
",,,,,ice_122,,,3,Yes,No,Yes,WFJIVOKAWHGMBH,,,,,,,-2.5895,,,,,,,,,,,,,
OASIS735,DTXSID1023734,Valpromide,DTXCID203734,2430-27-5,OMOMUFTZPTXCHP-UHFFFAOYSA-N,2-Propylpentanamide,CCCC(CCC)C(N)=O,"InChI=1S/C8H17NO/c1-3-5-7(6-4-2)8(9)10/h7H,3-6H2,1-2H3,(H2,9,10)
",dilist_452,,,,,,,4,Yes,No,Yes,OMOMUFTZPTXCHP,,,,,,,,,1,,,,,,,,,,,
OASIS911,DTXSID3023180,Itraconazole,DTXCID903180,84625-61-6,VHVPQPYKVGDNFY-ZPGVKDDISA-N,"2-(Butan-2-yl)-4-(4-{4-[4-({(2R,4S)-2-(2,4-dichlorophenyl)-2-[(1H-1,2,4-triazol-1-yl)methyl]-1,3-dioxolan-4-yl}methoxy)phenyl]piperazin-1-yl}phenyl)-2,4-dihydro-3H-1,2,4-triazol-3-one",CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,"InChI=1S/C35H38Cl2N8O4/c1-3-25(2)45-34(46)44(24-40-45)29-7-5-27(6-8-29)41-14-16-42(17-15-41)28-9-11-30(12-10-28)47-19-31-20-48-35(49-31,21-43-23-38-22-39-43)32-13-4-26(36)18-33(32)37/h4-13,18,22-25,31H,3,14-17,19-21H2,1-2H3/t25?,31-,35-/m0/s1
",dilist_406,,,,,,,4,Yes,No,Yes,VHVPQPYKVGDNFY,,,1,,1,,,,0,,,,,,,0,0,1,25,
OASIS661,DTXSID0041060,Levofloxacin,DTXCID8021060,100986-85-4,GSDSWSVVBLHKDQ-JTQLQIEISA-N,"(3S)-9-Fluoro-3-methyl-10-(4-methylpiperazin-1-yl)-7-oxo-2,3-dihydro-7H-[1,4]oxazino[2,3,4-ij]quinoline-6-carboxylic acid",C[C@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O,"InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)/t10-/m0/s1
",dilist_377,,,,,,,4,Yes,No,Yes,GSDSWSVVBLHKDQ,-4.5500002,,1,0,1,-0.4,-1.27,,1,,,,,,,0,0,0,8.85,3
OASIS1053,DTXSID4046157,Fenclozic acid,DTXCID2026157,17969-20-9,APBSKHYXXKHJFK-UHFFFAOYSA-N,"[2-(4-Chlorophenyl)-1,3-thiazol-4-yl]acetic acid",OC(=O)CC1=CSC(=N1)C1=CC=C(Cl)C=C1,"InChI=1S/C11H8ClNO2S/c12-8-3-1-7(2-4-8)11-13-9(6-16-11)5-10(14)15/h1-4,6H,5H2,(H,14,15)
",dilist_1030,,,,,,,4,Yes,No,No,APBSKHYXXKHJFK,,,,,,-0.22,,,,,,,,,,,,,,
OASIS1676,DTXSID5025607,"1,2-Dimethoxy-4-(2-propen-1-yl)benzene",DTXCID505607,93-15-2,ZYEMGPIYFIJGTP-UHFFFAOYSA-N,"1,2-Dimethoxy-4-(prop-2-en-1-yl)benzene",COC1=CC=C(CC=C)C=C1OC,"InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4,6-8H,1,5H2,2-3H3
",,,,,ice_39,,,3,Yes,No,Yes,ZYEMGPIYFIJGTP,,,,,,,-2.55201324,,,,,,,,,,,,,
OASIS1244,DTXSID6045169,Metoclopramide,DTXCID4025169,364-62-5,TTWJBBZEZQICBI-UHFFFAOYSA-N,4-Amino-5-chloro-N-[2-(diethylamino)ethyl]-2-methoxybenzamide,CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,"InChI=1S/C14H22ClN3O2/c1-4-18(5-2)7-6-17-14(19)10-8-11(15)12(16)9-13(10)20-3/h8-9H,4-7,16H2,1-3H3,(H,17,19)
",dilist_525,,,,,,,4,Yes,No,Yes,TTWJBBZEZQICBI,,,1,0,1,0.34,-3.18,,,29.9,,,,,,0,1,1,7.2,
OASIS777,DTXSID20165786,Pyridostigmine,DTXCID3088277,155-97-5,RVOLLAQWKVFTGE-UHFFFAOYSA-N,3-[(Dimethylcarbamoyl)oxy]-1-methylpyridin-1-ium,CN(C)C(=O)OC1=C[N+](C)=CC=C1,"InChI=1S/C9H13N2O2/c1-10(2)9(12)13-8-5-4-6-11(3)7-8/h4-7H,1-3H3/q+1
",dilist_615,,,,,,,4,No,Yes,No,RVOLLAQWKVFTGE,,,,,0,,,,,,0,0,0,0,0,,,,1.5,
OASIS1006,DTXSID4022949,Diphenhydramine,DTXCID802949,58-73-1,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,"2-(Diphenylmethoxy)-N,N-dimethylethan-1-amine",CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C17H21NO/c1-18(2)13-14-19-17(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3-12,17H,13-14H2,1-2H3
",dilist_644,,,,,,,4,No,Yes,Yes,ZZVUWRFHKOJYTH,-4.27,,,0,1,,-2.95,-9.34,1,,,,,,,0,1,0,9.3,
OASIS094,DTXSID8020755,Isoniazid,DTXCID20755,54-85-3,QRXWMOHMRWLFEY-UHFFFAOYSA-N,Pyridine-4-carbohydrazide,NNC(=O)C1=CC=NC=C1,"InChI=1S/C6H7N3O/c7-9-6(10)5-1-3-8-4-2-5/h1-4H,7H2,(H,9,10)
",dilist_987,,,,,tggates_89,,2,Yes,No,Yes,QRXWMOHMRWLFEY,,,1,,1,-0.57,-0.04,,0,,0,,1,,0,0,0,0,1,
OASIS1736,DTXSID10182563,Rucaparib,DTXCID50105054,283173-50-2,HMABYWSNWIZPAG-UHFFFAOYSA-N,"8-Fluoro-2-{4-[(methylamino)methyl]phenyl}-1,3,4,5-tetrahydro-6H-azepino[5,4,3-cd]indol-6-one",CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=C2C(N1)=CC(F)=C3,"InChI=1S/C19H18FN3O/c1-21-10-11-2-4-12(5-3-11)18-14-6-7-22-19(24)15-8-13(20)9-16(23-18)17(14)15/h2-5,8-9,21,23H,6-7,10H2,1H3,(H,22,24)
",,dilirank2_171,,,,,,4,No,Yes,Yes,HMABYWSNWIZPAG,,,,,,1.17,,,,76.81,,,,,,,,,,12.02
OASIS1667,DTXSID0021414,Tris(2-ethylhexyl) phosphate,DTXCID801414,78-42-2,GTVWRXDRKAHEAD-UHFFFAOYSA-N,Tris(2-ethylhexyl) phosphate,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,"InChI=1/C24H51O4P/c1-7-13-16-22(10-4)19-26-29(25,27-20-23(11-5)17-14-8-2)28-21-24(12-6)18-15-9-3/h22-24H,7-21H2,1-6H3
",,,,,ice_74,,,3,No,Yes,No,GTVWRXDRKAHEAD,,,,,,,-8.85998044,,,,,,,,,,,,,
OASIS1391,DTXSID8022371,Testosterone,DTXCID302371,58-22-0,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,17beta-Hydroxyandrost-4-en-3-one,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,"InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-17,21H,3-10H2,1-2H3/t14-,15-,16-,17-,18-,19-/m0/s1
",dilist_354,,,,,,,4,Yes,No,No,MUMGGOZAMZWBJJ,,,1,1,0,3.3,-4.0554,,0,,,,,,,1,1,1,,150
OASIS408,DTXSID4020828,4-Methoxyphenol,DTXCID60828,150-76-5,NWVVVBRKAWDGAB-UHFFFAOYSA-N,4-Methoxyphenol,COC1=CC=C(O)C=C1,"InChI=1S/C7H8O2/c1-9-7-4-2-6(8)3-5-7/h2-5,8H,1H3
",,,,fraunhofer_66,,,,3,No,Yes,Yes,NWVVVBRKAWDGAB,,,,,,,-0.4919,,,,,,,,,,,,,
OASIS1323,DTXSID7023510,Primidone,DTXCID603510,125-33-7,DQMZLTXERSFNPB-UHFFFAOYSA-N,"5-Ethyl-5-phenyl-1,3-diazinane-4,6-dione",CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,"InChI=1S/C12H14N2O2/c1-2-12(9-6-4-3-5-7-9)10(15)13-8-14-11(12)16/h3-7H,2,8H2,1H3,(H,13,15)(H,14,16)
",dilist_417,,,,,,,4,Yes,No,Yes,DQMZLTXERSFNPB,,,1,,1,,-2.64,,1,,,,,0,,0,0,,,
OASIS1163,DTXSID5048398,Bethanechol,DTXCID0028371,674-38-4,NZUPCNDJBJXXRF-UHFFFAOYSA-O,"2-(Carbamoyloxy)-N,N,N-trimethylpropan-1-aminium",CC(C[N+](C)(C)C)OC(N)=O,"InChI=1/C7H16N2O2/c1-6(11-7(8)10)5-9(2,3)4/h6H,5H2,1-4H3,(H-,8,10)/p+1
",dilist_200,,,,,,,4,Yes,No,No,NZUPCNDJBJXXRF,,,0,,,,,,,,,,,,0,,,,,
