OASIS_ID,DTXSID,PREFERRED_NAME,DTXCID,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,DILILIST_ID,DILIRANK2_ID,DRUGMATRIX_ID,FRAUNHOFER_ID,ICE_ID,TGGATES_ID,TOXREFDB_ID,Invivo_ranking,Purchased_Broad_Enamine,Purchased_Broad_Molport,Purchased_Broad_Medchemxpress,Standardized_SMILES_chembl,Standardized_InChI_chembl,Standardized_InChIKey_chembl,ChEMBL_ID,molecule_chembl_id,ABCB1,ABCB11,ABCC2,ADRA1A,ADRA1D,ADRA2B,ADRA2C,AR,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,CYP1A2,CYP2C19,CYP2C9,CYP2D6,CYP3A4,DRD1,DRD2,DRD3,DRD4,EGFR,ERBB2,HRH1,HTR1A,HTR2A,HTR2B,HTR2C,HTR6,HTR7,KCNH2,KDR,PGR,PTGS1,PTGS2,SIGMAR1,SLC22A1,SLC22A2,SLC6A2,SLC6A3,SLC6A4
OASIS703,DTXSID1022843,Clomiphene,DTXCID202843,911-45-5,GKIRPKYJQBWNGO-UHFFFAOYSA-N,"2-[4-(2-Chloro-1,2-diphenylethenyl)phenoxy]-N,N-diethylethan-1-amine",CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C26H28ClNO/c1-3-28(4-2)19-20-29-24-17-15-22(16-18-24)25(21-11-7-5-8-12-21)26(27)23-13-9-6-10-14-23/h5-18H,3-4,19-20H2,1-2H3
",dilist_531,,,,,,,4.0,Yes,No,No,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,"InChI=1S/C26H28ClNO/c1-3-28(4-2)19-20-29-24-17-15-22(16-18-24)25(21-11-7-5-8-12-21)26(27)23-13-9-6-10-14-23/h5-18H,3-4,19-20H2,1-2H3",GKIRPKYJQBWNGO-UHFFFAOYSA-N,CHEMBL2355051,CHEMBL2355051,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0
OASIS1105,DTXSID5023114,Guaifenesin,DTXCID403114,93-14-1,HSRJKNPTNIJEKV-UHFFFAOYSA-N,"3-(2-Methoxyphenoxy)propane-1,2-diol",COC1=CC=CC=C1OCC(O)CO,"InChI=1/C10H14O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-5,8,11-12H,6-7H2,1H3
",dilist_810,,,,,,,4.0,Yes,No,Yes,COc1ccccc1OCC(O)CO,"InChI=1S/C10H14O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-5,8,11-12H,6-7H2,1H3",HSRJKNPTNIJEKV-UHFFFAOYSA-N,CHEMBL980,CHEMBL980,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
OASIS1024,DTXSID4023462,Phentolamine,DTXCID703462,50-60-2,MRBDMNSDAVCSSF-UHFFFAOYSA-N,"3-{[(4,5-Dihydro-1H-imidazol-2-yl)methyl](4-methylphenyl)amino}phenol",CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1,"InChI=1S/C17H19N3O/c1-13-5-7-14(8-6-13)20(12-17-18-9-10-19-17)15-3-2-4-16(21)11-15/h2-8,11,21H,9-10,12H2,1H3,(H,18,19)
",dilist_313,,,,,,,4.0,Yes,No,Yes,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,"InChI=1S/C17H19N3O/c1-13-5-7-14(8-6-13)20(12-17-18-9-10-19-17)15-3-2-4-16(21)11-15/h2-8,11,21H,9-10,12H2,1H3,(H,18,19)",MRBDMNSDAVCSSF-UHFFFAOYSA-N,CHEMBL597,CHEMBL597,,,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
OASIS1870,DTXSID6040666,Deferiprone,DTXCID4020666,30652-11-0,TZXKOCQBRNJULO-UHFFFAOYSA-N,"3-Hydroxy-1,2-dimethylpyridin-4(1H)-one",CN1C=CC(=O)C(O)=C1C,"InChI=1S/C7H9NO2/c1-5-7(10)6(9)3-4-8(5)2/h3-4,10H,1-2H3
",,dilirank2_155,,,,,,4.0,No,Yes,Yes,Cc1c(O)c(=O)ccn1C,"InChI=1S/C7H9NO2/c1-5-7(10)6(9)3-4-8(5)2/h3-4,10H,1-2H3",TZXKOCQBRNJULO-UHFFFAOYSA-N,CHEMBL70927,CHEMBL70927,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
OASIS958,DTXSID3046457,Etoricoxib,DTXCID1026457,202409-33-4,MNJVRJDLRVPLFE-UHFFFAOYSA-N,"5-Chloro-3-[4-(methanesulfonyl)phenyl]-6'-methyl-2,3'-bipyridine",CC1=NC=C(C=C1)C1=NC=C(Cl)C=C1C1=CC=C(C=C1)S(C)(=O)=O,"InChI=1S/C18H15ClN2O2S/c1-12-3-4-14(10-20-12)18-17(9-15(19)11-21-18)13-5-7-16(8-6-13)24(2,22)23/h3-11H,1-2H3
",dilist_328,,,,,,,4.0,Yes,No,Yes,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,"InChI=1S/C18H15ClN2O2S/c1-12-3-4-14(10-20-12)18-17(9-15(19)11-21-18)13-5-7-16(8-6-13)24(2,22)23/h3-11H,1-2H3",MNJVRJDLRVPLFE-UHFFFAOYSA-N,CHEMBL416146,CHEMBL416146,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
OASIS087,DTXSID4022573,Allopurinol,DTXCID502573,315-30-0,OFCNXPDARWKPPY-UHFFFAOYSA-N,"1,7-Dihydro-4H-pyrazolo[3,4-d]pyrimidin-4-one",O=C1N=CNC2=C1C=NN2,"InChI=1S/C5H4N4O/c10-5-3-1-8-9-4(3)6-2-7-5/h1-2H,(H2,6,7,8,9,10)
",dilist_1063,,,,,tggates_83,,2.0,Yes,No,Yes,O=c1nc[nH]c2[nH]ncc12,"InChI=1S/C5H4N4O/c10-5-3-1-8-9-4(3)6-2-7-5/h1-2H,(H2,6,7,8,9,10)",OFCNXPDARWKPPY-UHFFFAOYSA-N,CHEMBL1467,CHEMBL1467,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
OASIS767,DTXSID1048837,Phenoxypropazine,DTXCID8028763,3818-37-9,QNEXFJFTGQBXBJ-UHFFFAOYSA-N,(1-Phenoxypropan-2-yl)hydrazine,CC(COC1=CC=CC=C1)NN,"InChI=1/C9H14N2O/c1-8(11-10)7-12-9-5-3-2-4-6-9/h2-6,8,11H,7,10H2,1H3
",dilist_219,,,,,,,4.0,Yes,No,No,CC(COc1ccccc1)NN,"InChI=1S/C9H14N2O/c1-8(11-10)7-12-9-5-3-2-4-6-9/h2-6,8,11H,7,10H2,1H3",QNEXFJFTGQBXBJ-UHFFFAOYSA-N,CHEMBL1909286,CHEMBL1909286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
OASIS1191,DTXSID6022719,Cabergoline,DTXCID502719,81409-90-7,KORNTPPJEAJQIU-KJXAQDMKSA-N,N-[3-(Dimethylamino)propyl]-N-(ethylcarbamoyl)-6-(prop-2-en-1-yl)ergoline-8beta-carboxamide,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(CC=C)C1,"InChI=1S/C26H37N5O2/c1-5-11-30-17-19(25(32)31(26(33)27-6-2)13-8-12-29(3)4)14-21-20-9-7-10-22-24(20)18(16-28-22)15-23(21)30/h5,7,9-10,16,19,21,23,28H,1,6,8,11-15,17H2,2-4H3,(H,27,33)/t19-,21-,23-/m1/s1
",dilist_542,,,,,,,4.0,No,No,Yes,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,"InChI=1S/C26H37N5O2/c1-5-11-30-17-19(25(32)31(26(33)27-6-2)13-8-12-29(3)4)14-21-20-9-7-10-22-24(20)18(16-28-22)15-23(21)30/h5,7,9-10,16,19,21,23,28H,1,6,8,11-15,17H2,2-4H3,(H,27,33)/t19-,21-,23-/m1/s1",KORNTPPJEAJQIU-KJXAQDMKSA-N,CHEMBL1201087,CHEMBL1201087,,,,0.0,,0.0,1.0,,,,,,,,,,,,0.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,,,,0.0,,,,,,,,0.0,0.0,0.0
OASIS1412,DTXSID8023135,Hydroxychloroquine,DTXCID403135,118-42-3,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,2-[{4-[(7-Chloroquinolin-4-yl)amino]pentyl}(ethyl)amino]ethan-1-ol,CCN(CCO)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,"InChI=1/C18H26ClN3O/c1-3-22(11-12-23)10-4-5-14(2)21-17-8-9-20-18-13-15(19)6-7-16(17)18/h6-9,13-14,23H,3-5,10-12H2,1-2H3,(H,20,21)
",dilist_532,,,,,,,4.0,Yes,No,Yes,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,"InChI=1S/C18H26ClN3O/c1-3-22(11-12-23)10-4-5-14(2)21-17-8-9-20-18-13-15(19)6-7-16(17)18/h6-9,13-14,23H,3-5,10-12H2,1-2H3,(H,20,21)",XXSMGPRMXLTPCZ-UHFFFAOYSA-N,CHEMBL1535,CHEMBL1535,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
OASIS1556,DTXSID9023708,Trimeprazine,DTXCID903708,84-96-8,ZZHLYYDVIOPZBE-UHFFFAOYSA-N,"N,N,2-Trimethyl-3-(10H-phenothiazin-10-yl)propan-1-amine",CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=CC=C2,"InChI=1/C18H22N2S/c1-14(12-19(2)3)13-20-15-8-4-6-10-17(15)21-18-11-7-5-9-16(18)20/h4-11,14H,12-13H2,1-3H3
",dilist_212,,,,,,,4.0,No,Yes,No,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,"InChI=1S/C18H22N2S/c1-14(12-19(2)3)13-20-15-8-4-6-10-17(15)21-18-11-7-5-9-16(18)20/h4-11,14H,12-13H2,1-3H3",ZZHLYYDVIOPZBE-UHFFFAOYSA-N,CHEMBL829,CHEMBL829,,0.0,,1.0,,,,,1.0,0.0,,,,,,,,,1.0,,1.0,,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,0.0
OASIS569,DTXSID7037185,Amiodarone hydrochloride,DTXCID5017185,19774-82-4,ITPDYQOUSLNIHG-UHFFFAOYSA-N,"(2-Butyl-1-benzofuran-3-yl){4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl}methanone--hydrogen chloride (1/1)",Cl.CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2,"InChI=1S/C25H29I2NO3.ClH/c1-4-7-11-22-23(18-10-8-9-12-21(18)31-22)24(29)17-15-19(26)25(20(27)16-17)30-14-13-28(5-2)6-3;/h8-10,12,15-16H,4-7,11,13-14H2,1-3H3;1H
",,,,fraunhofer_266,,,,3.0,No,Yes,Yes,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,"InChI=1S/C25H29I2NO3/c1-4-7-11-22-23(18-10-8-9-12-21(18)31-22)24(29)17-15-19(26)25(20(27)16-17)30-14-13-28(5-2)6-3/h8-10,12,15-16H,4-7,11,13-14H2,1-3H3",IYIKLHRQXLHMJQ-UHFFFAOYSA-N,CHEMBL633,CHEMBL633,1.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,1.0,,,0.0,0.0,0.0
